HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
32001001	1	und	CCONJ	KON								
32001001	2	der	DET	ART					S		Nom	N
32001001	3	Wort	NOUN	NN					S		Nom	N
32001001	4	Jahwe	PROPN	NE					S		Gen	
32001001	5	geschehen	VERB	VVFIN		Fin	Past	3	S	Ind		
32001001	6	zu	ADP	PTKVZ								
32001001	7	Jona	PROPN	NE					S		Nom	M
32001001	8	der	DET	ART					S		Dat	M
32001001	9	Sohn	NOUN	NN					S		Acc	M
32001001	10	Amittai	PROPN	NE					S		Nom	N
32001001	11	also	ADV	ADV								
32001002	1	Mache	VERB	VVIMP				2	S	Imp		
32001002	2	dich	PRON	PPER				2	S		Acc	
32001002	3	auf	ADP	PTKVZ								
32001002	4	gehen	VERB	VVFIN		Fin	Pres	3	S	Sub		
32001002	5	nach	ADP	APPR								
32001002	6	Ninive	NOUN	NN					S		Nom	F
32001002	7	der	DET	ART					S		Nom	M
32001002	8	groß	ADJ	ADJA	Pos				S		Acc	M
32001002	9	Stadt	NOUN	NN					S		Nom	F
32001002	10	und	CCONJ	KON								
32001002	11	predigen	VERB	VVFIN		Fin	Pres	3	S	Sub		
32001002	12	wider	ADP	PTKVZ								
32001002	13	sie	PRON	PPER				3	P		Nom	
32001002	14	denn	CCONJ	KON								
32001002	15	ihr	DET	PPOSAT					S		Nom	F
32001002	16	Bosheit	NOUN	NN					S		Nom	F
32001002	17	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
32001002	18	vor	ADP	APPR								
32001002	19	mich	PRON	PPER				1	S		Acc	
32001002	20	Heraufgestieg	NOUN	NN					P		Nom	N
32001003	1	aber	CCONJ	KON								
32001003	2	Jona	PROPN	NE					S		Nom	M
32001003	3	machen	VERB	VVFIN		Fin	Past	3	S	Ind		
32001003	4	sich	PRON	PRF				3	S		Acc	
32001003	5	auf	ADP	PTKVZ								
32001003	6	um	ADP	APPR								
32001003	7	von	ADP	APPR								
32001003	8	der	DET	ART					S		Dat	M
32001003	9	Angesicht	NOUN	NN					S		Nom	F
32001003	10	Jahwe	PROPN	NE					S		Gen	
32001003	11	hinweg	ADP	APZR								
32001003	12	nach	ADP	APPR								
32001003	13	Tarsis	NOUN	NN					S		Nom	F
32001003	14	zu	ADP	PTKVZ								
32001003	15	fliehen	VERB	VVINF		Inf						
32001003	16	und	CCONJ	KON								
32001003	17	er	PRON	PPER				3	S		Nom	M
32001003	18	gehen	VERB	VVFIN		Fin	Past	3	S	Ind		
32001003	19	nach	ADP	APPR								
32001003	20	Japho	PROPN	NE					S		Gen	
32001003	21	Hinab	ADV	PTKVZ								
32001003	22	und	CCONJ	KON								
32001003	23	finden	VERB	VVFIN		Fin	Past	3	S	Ind		
32001003	24	ein	DET	ART					S		Nom	N
32001003	25	Schiff	NOUN	NN					S		Nom	N
32001003	26	der	DET	ART					S		Nom	N
32001003	27	nach	ADP	APPR								
32001003	28	Tarsis	NOUN	NN					S		Nom	F
32001003	29	fahren	VERB	VVFIN		Fin	Past	3	S	Ind		
32001003	30	und	CCONJ	KON								
