HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
33001001	1	der	DET	ART					S		Nom	N
33001001	2	Wort	NOUN	NN					S		Nom	N
33001001	3	Jahwe	PROPN	NE					S		Gen	
33001001	4	welcher	DET	PWAT					S		Acc	N
33001001	5	zu	ADP	PTKVZ								
33001001	6	Micha	PROPN	NE					S		Nom	M
33001001	7	der	DET	ART					S		Dat	M
33001001	8	Moraschtiter	NOUN	NN					P		Nom	M
33001001	9	geschehen	VERB	VVFIN		Fin	Past	3	S	Ind		
33001001	10	in	ADP	APPR								
33001001	11	der	DET	ART					S		Acc	M
33001001	12	Tag	NOUN	NN					P		Dat	M
33001001	13	Jotham	PROPN	NE					S		Gen	
33001001	14	Aha	PROPN	NE					S		Nom	M
33001001	15	und	CCONJ	KON								
33001001	16	Hiskia	PROPN	NE					S		Nom	
33001001	17	der	DET	ART					S		Nom	M
33001001	18	König	NOUN	NN					P		Nom	M
33001001	19	von	ADP	APPR								
33001001	20	Juda	PROPN	NE					S		Nom	M
33001001	21	der	DET	ART					S		Nom	N
33001001	22	er	PRON	PPER				3	S		Nom	M
33001001	23	schauen	VERB	VVFIN		Fin	Past	3	S	Ind		
33001001	24	über	ADP	APPR								
33001001	25	Samaria	PROPN	NE					S		Nom	N
33001001	26	und	CCONJ	KON								
33001001	27	Jerusalem	PROPN	NE					S		Nom	N
33001002	1	höret	NOUN	NN					S		Nom	N
33001002	2	ihr	PRON	PPOSAT				3	S		Dat	F
33001002	3	Volk	NOUN	NN					P		Nom	N
33001002	4	aller	PRON	PIS					P		Nom	
33001002	5	merken	VERB	VVFIN		Fin	Pres	3	S	Sub		
33001002	6	auf	ADP	PTKVZ								
33001002	7	du	PRON	PPER				2	S		Nom	
33001002	8	Erde	NOUN	NN					S		Nom	F
33001002	9	und	CCONJ	KON								
33001002	10	ihr	DET	PPOSAT					S		Nom	F
33001002	11	Fülle	NOUN	NN					S		Nom	F
33001002	12	und	CCONJ	KON								
33001002	13	der	DET	ART					S		Nom	M
33001002	14	Herr	NOUN	NN					S		Nom	M
33001002	15	Jahwe	NOUN	NN					S		Nom	M
33001002	16	sein	AUX	VAFIN		Fin	Pres	3	S	Sub		
33001002	17	zu	ADP	APPRART					S		Dat	N
33001002	18	Zeuge	NOUN	NN					P		Nom	M
33001002	19	wider	ADP	PTKVZ								
33001002	20	euch	PRON	PPER				2	P		Dat	
33001002	21	der	DET	ART					S		Nom	M
33001002	22	Herr	NOUN	NN					S		Nom	M
33001002	23	aus	ADP	PTKVZ								
33001002	24	sein	DET	PPOSAT					S		Dat	M
33001002	25	heilig	ADJ	ADJA	Pos				S		Acc	M
33001002	26	Palast	NOUN	NN					S		Nom	M
33001003	1	denn	CCONJ	KON								
33001003	2	sehen	VERB	VVIMP				2	S	Imp		
33001003	3	Jahwe	NOUN	NN					S		Nom	M
33001003	4	gehen	VERB	VVFIN		Fin	Pres	3	S	Ind		
33001003	5	aus	ADP	PTKVZ								
33001003	6	von	ADP	APPR								
33001003	7	sein	DET	PPOSAT					S		Dat	F
33001003	8	Stätte	NOUN	NN					S		Nom	F
33001003	9	und	CCONJ	KON								
33001003	10	kommen	VERB	VVFIN		Fin	Pres	3	S	Ind		
33001003	11	herab	ADV	ADV								
33001003	12	und	CCONJ	KON								
33001003	13	schreiten	VERB	VVFIN		Fin	Pres	3	S	Ind		
33001003	14	einher	ADV	APZR								
33001003	15	auf	ADP	PTKVZ								
33001003	16	der	DET	ART					S		Acc	M
33001003	17	Höhe	NOUN	NN					P		Nom	F
33001003	18	der	DET	ART					S		Nom	M
33001003	19	Erde	NOUN	NN					S		Nom	F
33001004	1	und	CCONJ	KON								
33001004	2	der	DET	ART					S		Nom	F
33001004	3	Berg	NOUN	NN					P		Nom	M
33001004	4	zerschmelzen	VERB	VVINF		Inf						
33001004	5	unter	ADP	APPR								
33001004	6	ihm	PRON	PPER				3	S		Dat	M
33001004	7	und	CCONJ	KON								
33001004	8	der	DET	ART					S		Nom	F
33001004	9	Täler	NOUN	NN					P		Nom	N
33001004	10	spalten	VERB	VVINF		Inf						
33001004	11	sich	PRON	PRF				3	S		Acc	
33001004	12	wie	ADP	KOKOM								
33001004	13	der	DET	ART					S		Nom	N
33001004	14	Wachs	NOUN	NN					S		Nom	N
33001004	15	vor	ADP	APPR								
33001004	16	der	DET	ART					S		Dat	M
33001004	17	Feuer	NOUN	NN					S		Nom	N
33001004	18	wie	ADP	KOKOM								
33001004	19	Wasser	NOUN	NN					S		Nom	N
33001004	20	ausgegossen	VERB	VVPP		Part						
33001004	21	an	ADP	APPRART					S		Dat	M
33001004	22	Abhange	NOUN	NN					P		Nom	M
33001005	1	der	DET	ART					S		Nom	N
33001005	2	alle	PRON	PIS					S		Nom	N
33001005	3	wegen	ADP	APPR								
33001005	4	der	DET	ART					S		Nom	M
33001005	5	Übertretung	NOUN	NN					S		Nom	F
33001005	6	Jakobs	PROPN	NE					S		Nom	M
33001005	7	und	CCONJ	KON								
33001005	8	wegen	ADP	APPR								
33001005	9	der	DET	ART					S		Nom	M
33001005	10	Sünde	NOUN	NN					P		Nom	F
33001005	11	der	DET	ART					S		Gen	M
33001005	12	Haus	NOUN	NN					S		Gen	N
33001005	13	Israel	PROPN	NE					S		Nom	N
33001005	14	von	ADP	APPR								
33001005	15	wem	PRON	PWS					S		Dat	M
33001005	16	gehen	VERB	VVFIN		Fin	Pres	3	S	Ind		
33001005	17	der	DET	ART					S		Nom	F
33001005	18	Übertretung	NOUN	NN					S		Nom	F
33001005	19	Jakobs	PROPN	NE					S		Nom	M
33001005	20	aus	ADP	PTKVZ								
33001005	21	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
33001005	22	es	PRON	PPER				3	S		Nom	N
33001005	23	nicht	PART	PTKNEG								
33001005	24	Samaria	PROPN	NE					S		Nom	N
33001005	25	und	CCONJ	KON								
33001005	26	von	ADP	APPR								
33001005	27	wem	PRON	PWS					S		Dat	M
33001005	28	der	DET	ART					S		Nom	F
33001005	29	Höhe	NOUN	NN					P		Nom	F
33001005	30	Judas	PROPN	NE					S		Nom	M
33001005	31	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
33001005	32	es	PRON	PPER				3	S		Nom	N
33001005	33	nicht	PART	PTKNEG								
33001005	34	Jerusalem	PROPN	NE					S		Nom	N
33001006	1	so	ADV	ADV								
33001006	2	werden	AUX	VAFIN		Fin	Pres	3	S	Sub		
33001006	3	ich	PRON	PPER				1	S		Nom	
33001006	4	Samaria	PROPN	NE					S		Nom	N
33001006	5	zu	ADP	PTKVZ								
33001006	6	ein	DET	ART					S		Dat	M
33001006	7	Steinhaufen	NOUN	NN					P		Nom	M
33001006	8	der	DET	ART					S		Gen	M
33001006	9	Felde	NOUN	NE					S		Nom	N
33001006	10	zu	ADP	PTKVZ								
33001006	11	Weinbergpflanzung	NOUN	NN					P		Nom	F
33001006	12	machen	VERB	VVINF		Inf						
33001006	13	und	CCONJ	KON								
33001006	14	ich	PRON	PPER				1	S		Nom	
33001006	15	werden	AUX	VAFIN		Fin	Pres	3	S	Sub		
33001006	16	ihr	DET	PPOSAT					S		Nom	F
33001006	17	Stein	NOUN	NN					P		Nom	M
33001006	18	in	ADP	APPRART					S		Acc	N
33001006	19	Tal	NOUN	NN					S		Nom	N
33001006	20	hinabstürzen	VERB	VVINF		Inf						
33001006	21	und	CCONJ	KON								
33001006	22	ihr	DET	PPOSAT					S		Nom	F
33001006	23	Grundfest	NOUN	NN					P		Dat	M
33001006	24	entblößen	VERB	VVINF		Inf						
33001007	1	und	CCONJ	KON								
33001007	2	aller	PRON	PIS					P		Nom	
33001007	3	ihr	DET	PPOSAT					S		Nom	F
33001007	4	gegossen	ADJ	ADJA	Pos				S		Acc	M
33001007	5	Bild	NOUN	NN					P		Nom	N
33001007	6	werden	AUX	VAFIN		Fin	Pres	3	P	Ind		
33001007	7	zerschlagen	VERB	VVPP		Part						
33001007	8	und	CCONJ	KON								
33001007	9	aller	PRON	PIS					P		Nom	
33001007	10	ihr	DET	PPOSAT					S		Nom	F
33001007	11	Hurengeschenke	NOUN	NN					P		Nom	F
33001007	12	mit	ADP	APPR								
33001007	13	Feuer	NOUN	NN					S		Nom	N
33001007	14	verbrennen	VERB	VVPP		Part						
33001007	15	werden	AUX	VAFIN		Fin	Pres	3	P	Ind		
33001007	16	und	CCONJ	KON								
33001007	17	ich	PRON	PPER				1	S		Nom	
33001007	18	werden	AUX	VAFIN		Fin	Pres	3	S	Sub		
33001007	19	aller	PRON	PIS					P		Nom	
33001007	20	ihr	DET	PPOSAT					S		Nom	F
33001007	21	Götzenbild	NOUN	NN					P		Nom	M
33001007	22	zu	ADP	APPRART					S		Dat	F
33001007	23	Wüste	NOUN	NN					S		Nom	F
33001007	24	machen	VERB	VVINF		Inf						
33001007	25	denn	CCONJ	KON								
33001007	26	sie	PRON	PPER				3	P		Nom	
33001007	27	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
33001007	28	sie	PRON	PPER				3	P		Nom	
33001007	29	durch	ADP	APPR								
33001007	30	Hurenlohn	NOUN	NN					S		Nom	M
33001007	31	sammeln	VERB	VVPP		Part						
33001007	32	und	CCONJ	KON								
33001007	33	zu	ADP	APPRART					S		Dat	N
33001007	34	Hurenlohn	NOUN	NN					S		Nom	M
33001007	35	sollen	AUX	VMFIN		Fin	Pres	3	P	Ind		
33001007	36	sie	PRON	PPER				3	P		Nom	
33001007	37	wieder	ADV	ADV								
33001007	38	werden	AUX	VAFIN		Fin	Pres	3	P	Ind		
33001008	1	darum	ADV	PROAV								
