HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
34001001	1	Ausspruch	NOUN	NN					S		Nom	M
34001001	2	über	ADP	APPR								
34001001	3	Ninive	NOUN	NN					S		Nom	F
34001001	4	der	DET	ART					S		Nom	N
34001001	5	Buch	NOUN	NN					S		Nom	N
34001001	6	der	DET	ART					S		Gen	M
34001001	7	Gesicht	NOUN	NN					S		Nom	N
34001001	8	Nahum	X	FM								
34001001	9	der	DET	ART					S		Gen	M
34001001	10	Elkoschiter	PROPN	NE					S		Gen	
34001002	1	ein	DET	ART					S		Nom	M
34001002	2	Eifernder	ADJ	NN	Pos				S		Nom	M
34001002	3	und	CCONJ	KON								
34001002	4	rächend	ADJ	ADJA	Pos				S		Nom	M
34001002	5	Gott	NOUN	NN					S		Nom	M
34001002	6	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
34001002	7	Jahwe	NOUN	NN					S		Nom	M
34001002	8	ein	DET	ART					S		Nom	N
34001002	9	Rächer	NOUN	NN					P		Nom	M
34001002	10	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
34001002	11	Jahwe	NOUN	NN					S		Nom	M
34001002	12	und	CCONJ	KON								
34001002	13	voll	ADV	ADJD	Pos							
34001002	14	von	ADP	APPR								
34001002	15	Grimm	PROPN	NE					S		Nom	M
34001002	16	Jahwe	NOUN	NN					S		Nom	M
34001002	17	üben	VERB	VVFIN		Fin	Pres	3	S	Ind		
34001002	18	Rache	NOUN	NN					S		Nom	F
34001002	19	an	ADP	PTKVZ								
34001002	20	sein	DET	PPOSAT					S		Acc	M
34001002	21	Widersacher	NOUN	NN					P		Dat	M
34001002	22	und	CCONJ	KON								
34001002	23	tragen	VERB	VVFIN		Fin	Pres	3	S	Ind		
34001002	24	sein	DET	PPOSAT					S		Acc	M
34001002	25	Feind	NOUN	NN					P		Dat	M
34001002	26	nach	ADP	APPR								
34001003	1	Jahwe	NOUN	NN					S		Nom	M
34001003	2	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
34001003	3	langsam	ADV	ADJD	Pos							
34001003	4	zu	ADP	APPRART					S		Dat	N
34001003	5	Zorn	NOUN	NN					S		Nom	M
34001003	6	und	CCONJ	KON								
34001003	7	groß	ADV	ADJD	Pos							
34001003	8	an	ADP	PTKVZ								
34001003	9	Kraft	NOUN	NN					S		Nom	F
34001003	10	und	CCONJ	KON								
34001003	11	er	PRON	PPER				3	S		Nom	M
34001003	12	halten	VERB	VVFIN		Fin	Pres	3	S	Ind		
34001003	13	keineswegs	ADV	ADV								
34001003	14	für	ADP	APPR								
34001003	15	schuldlos	ADV	ADJD	Pos							
34001003	16	der	DET	ART					S		Acc	M
34001003	17	schuldige	NOUN	NN					P		Nom	
34001003	18	Jahwe	NOUN	NN					S		Nom	M
34001003	20	in	ADP	APPRART					S		Dat	N
34001003	21	Sturmwind	NOUN	NN					S		Nom	M
