HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
35001001	1	der	DET	ART					S		Nom	M
35001001	2	Ausspruch	NOUN	NN					S		Nom	M
35001001	3	welcher	DET	PWAT					S		Acc	M
35001001	4	Habakuk	PROPN	NN					S		Nom	N
35001001	5	der	DET	ART					S		Nom	M
35001001	6	Prophet	NOUN	NN					S		Nom	M
35001001	7	schauen	VERB	VVPP		Part						
35001001	8	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
35001002	1	wie	ADV	PWAV								
35001002	2	lange	ADV	ADV								
35001002	3	Jahwe	NOUN	NN					S		Nom	M
35001002	4	haben	AUX	VAFIN		Fin	Pres	3	S	Sub		
35001002	5	ich	PRON	PPER				1	S		Nom	
35001002	6	rufen	VERB	VVPP		Part						
35001002	7	und	CCONJ	KON								
35001002	8	du	PRON	PPER				2	S		Nom	
35001002	9	hörst	VERB	VVFIN		Fin	Pres	3	S	Ind		
35001002	10	nicht	PART	PTKNEG								
35001002	11	ich	PRON	PPER				1	S		Nom	
35001002	12	schreien	VERB	VVFIN		Fin	Pres	3	S	Sub		
35001002	13	zu	ADP	PTKVZ								
35001002	14	dir	PRON	PPER				2	S		Dat	
35001002	15	Gewalttat	NOUN	NN					S		Nom	F
35001002	16	und	CCONJ	KON								
35001002	17	du	PRON	PPER				2	S		Nom	
35001002	18	Rettest	X	XY								
35001002	19	nicht	PART	PTKNEG								
35001003	1	warum	ADV	PWAV								
35001003	2	lassen	VERB	VVFIN		Fin	Pres	3	S	Ind		
35001003	3	du	PRON	PPER				2	S		Nom	
35001003	4	mich	PRON	PPER				1	S		Acc	
35001003	5	Unheil	NOUN	NN					S		Nom	N
35001003	6	sehen	VERB	VVINF		Fin	Pres	3	P	Ind		
35001003	7	und	CCONJ	KON								
35001003	8	schausen	VERB	VVFIN		Fin	Pres	3	S	Ind		
35001003	9	Mühsal	NOUN	NN					S		Nom	F
35001003	10	an	ADP	PTKVZ								
35001003	11	und	CCONJ	KON								
35001003	12	Verwüstung	NOUN	NN					S		Nom	F
35001003	13	und	CCONJ	KON								
35001003	14	Gewalttat	NOUN	NN					S		Nom	F
35001003	15	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
35001003	16	vor	ADP	APPR								
35001003	17	mir	PRON	PPER				1	S		Dat	
35001003	18	und	CCONJ	KON								
35001003	19	Streit	NOUN	NN					S		Nom	M
35001003	20	entstehen	VERB	VVFIN		Fin	Pres	3	S	Ind		
35001003	21	und	CCONJ	KON								
35001003	22	Hader	NOUN	NN					S		Nom	M
35001003	23	erheben	VERB	VVFIN		Fin	Pres	3	S	Ind		
35001003	24	sich	PRON	PRF				3	S		Acc	
35001004	1	darum	ADV	PROAV								
35001004	2	werden	AUX	VAFIN		Fin	Pres	3	S	Ind		
35001004	3	der	DET	ART					S		Nom	N
35001004	4	Gesetz	NOUN	NN					S		Nom	N
35001004	5	kraftlos	ADV	ADJD	Pos							
35001004	6	und	CCONJ	KON								
35001004	7	der	DET	ART					S		Nom	N
35001004	8	Recht	NOUN	NN					S		Nom	N
35001004	9	kommen	VERB	VVFIN		Fin	Pres	3	S	Ind		
35001004	10	nimmermehr	ADV	ADV								
35001004	11	hervor	ADV	PTKVZ								
35001004	12	denn	CCONJ	KON								
35001004	13	der	DET	ART					S		Nom	M
35001004	14	gesetzlose	NOUN	NN					P		Nom	
35001004	15	umzingeln	VERB	VVPP		Part						
35001004	16	der	DET	ART					S		Acc	M
35001004	17	Gerechten	NOUN	NN					P		Dat	
35001004	18	darum	ADV	PROAV								
35001004	19	kommen	VERB	VVFIN		Fin	Pres	3	S	Ind		
35001004	20	der	DET	ART					S		Nom	N
35001004	21	Recht	NOUN	NN					S		Nom	N
35001004	22	verdrehen	VERB	VVPP		Fin	Pres	3	S	Ind		
35001004	23	hervor	ADV	PTKVZ								
35001005	1	sehet	VERB	VVIMP		Fin	Pres	3	S	Ind		
35001005	2	unter	ADP	APPR								
35001005	3	der	DET	ART					S		Acc	M
35001005	4	Nation	NOUN	NN					P		Nom	F
35001005	5	und	CCONJ	KON								
35001005	6	schauet	VERB	VVFIN		Fin	Pres	3	S	Ind		
35001005	7	und	CCONJ	KON								
35001005	8	erstaunet	ADV	ADJD	Pos							
35001005	9	staunet	ADV	ADJD	Pos							
35001005	10	denn	CCONJ	KON								
35001005	11	ich	PRON	PPER				1	S		Nom	
35001005	12	wirken	VERB	VVFIN		Fin	Pres	3	S	Sub		
35001005	13	ein	DET	ART					S		Nom	N
35001005	14	Werk	NOUN	NN					S		Nom	N
35001005	15	in	ADP	APPR								
35001005	16	euren	DET	PPOSAT					S		Acc	M
35001005	17	Tag	NOUN	NN					P		Dat	M
35001005	19	ihr	PRON	PPOSAT				3	S		Dat	F
35001005	20	würdet	AUX	VMFIN		Fin	Past	3	S	Sub		
35001005	21	es	PRON	PPER				3	S		Nom	N
35001005	22	nicht	PART	PTKNEG								
35001005	23	glauben	VERB	VVFIN		Fin	Pres	3	P	Ind		
35001005	24	wenn	SCONJ	KOUS								
35001005	25	es	PRON	PPER				3	S		Nom	N
35001005	26	erzählen	VERB	VVFIN		Fin	Pres	3	S	Ind		
35001005	27	werden	AUX	VAFIN		Fin	Past	3	S	Sub		
35001006	1	denn	CCONJ	KON								
35001006	2	sehen	VERB	VVIMP				2	S	Imp		
35001006	3	ich	PRON	PPER				1	S		Nom	
35001006	4	erwecken	VERB	VVFIN		Fin	Pres	3	S	Sub		
35001006	5	der	DET	ART					S		Nom	F
35001006	6	Chaldäer	NOUN	NE					S		Nom	M
35001006	7	der	DET	ART					S		Nom	N
35001006	8	grimmig	ADJ	ADJA	Pos				S		Nom	F
35001006	9	und	CCONJ	KON								
35001006	10	ungestüme	ADJ	NE	Pos				S		Nom	M
35001006	11	Volk	NOUN	NN					S		Nom	N
35001006	12	welcher	DET	PWAT					S		Acc	N
35001006	13	der	DET	ART					S		Nom	F
35001006	14	Breit	NOUN	NN					P		Nom	F
35001006	15	der	DET	ART					S		Nom	M
35001006	16	Erde	NOUN	NN					S		Nom	F
35001006	17	durchziehen	VERB	VVFIN		Fin	Pres	3	S	Ind		
35001006	18	um	ADP	APPR								
35001006	19	Wohnung	NOUN	NN					P		Nom	F
35001006	20	in	ADP	APPR								
35001006	21	Besitz	NOUN	NN					S		Nom	M
35001006	22	zu	ADP	PTKVZ								
35001006	23	nehmen	VERB	VVINF		Inf						
35001006	24	der	DET	ART					S		Nom	F
35001006	25	ihm	PRON	PPER				3	S		Dat	M
35001006	26	nicht	PART	PTKNEG								
35001006	27	gehören	VERB	VVFIN		Fin	Pres	3	P	Ind		
35001007	1	es	PRON	PPER				3	S		Nom	N
35001007	2	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
35001007	3	schrecklich	ADV	ADJD	Pos							
35001007	4	und	CCONJ	KON								
35001007	5	furchtbar	ADV	ADJD	Pos							
35001007	6	sein	AUX	VAINF		Inf						
35001007	7	Recht	NOUN	NN					S		Nom	N
35001007	8	und	CCONJ	KON								
35001007	9	sein	DET	PPOSAT					S		Nom	F
35001007	10	Hoheit	NOUN	NN					S		Nom	F
35001007	11	gehen	VERB	VVINF		Inf						
35001007	12	von	ADP	APPR								
35001007	13	ihm	PRON	PPER				3	S		Dat	M
35001007	14	aus	ADP	PTKVZ								
35001008	1	und	CCONJ	KON								
35001008	2	schnell	ADV	ADJD	Cmp							
35001008	3	als	ADP	KOKOM								
35001008	4	Pardel	PROPN	NN					S		Nom	N
35001008	5	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
35001008	6	sein	DET	PPOSAT					S		Nom	F
35001008	7	Roß	NOUN	NN					P		Nom	M
35001008	8	und	CCONJ	KON								
35001008	9	rasch	ADV	ADJD	Cmp							
35001008	10	als	ADP	KOKOM								
35001008	11	Abendwölfe	NOUN	NN					S		Nom	F
35001008	12	und	CCONJ	KON								
35001008	13	sein	DET	PPOSAT					S		Nom	F
35001008	14	Reiter	NOUN	NN					S		Nom	M
35001008	15	sprengen	VERB	VVINF		Inf						
35001008	16	einher	ADV	APZR								
35001008	17	und	CCONJ	KON								
35001008	18	sein	DET	PPOSAT					S		Nom	F
35001008	19	Reiter	NOUN	NN					S		Nom	M
35001008	20	kommen	VERB	VVFIN		Fin	Pres	3	P	Ind		
35001008	21	von	ADP	APPR								
35001008	22	fernen	ADJ	ADJA	Pos				S		Nom	F
35001008	23	fliegen	VERB	VVINF		Inf						
35001008	24	herbei	ADV	PTKVZ								
35001008	25	wie	ADP	KOKOM								
35001008	26	ein	DET	ART					S		Nom	N
35001008	27	Adler	NOUN	NN					S		Nom	M
35001008	28	der	DET	ART					S		Nom	M
35001008	29	zu	ADP	APPRART					S		Dat	N
35001008	30	Fraße	NOUN	NN					S		Nom	N
35001008	31	eilen	VERB	VVFIN		Fin	Pres	3	S	Ind		
35001009	1	sie	PRON	PPER				3	P		Nom	
35001009	2	kommen	VERB	VVFIN		Fin	Pres	3	P	Ind		
35001009	3	zu	ADP	APPRART					S		Dat	F
35001009	4	Gewalttat	NOUN	NN					S		Nom	F
35001009	5	allesamt	ADV	ADV								
35001009	6	der	DET	ART					S		Nom	N
35001009	7	streben	NOUN	NN					S		Nom	N
35001009	8	ihr	DET	PPOSAT					S		Dat	F
35001009	9	Angesichter	NOUN	NN					S		Nom	F
35001009	10	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
35001009	11	vorwärts	ADV	ADV								
35001009	12	richten	VERB	VVPP		Part						
35001009	13	und	CCONJ	KON								
35001009	14	gefangener	NOUN	NN					P		Nom	
35001009	15	raffen	VERB	VVFIN		Fin	Pres	3	S	Ind		
35001009	16	es	PRON	PPER				3	S		Nom	N
35001009	17	zusammen	ADV	PTKVZ								
35001009	18	wie	ADP	KOKOM								
35001009	19	Sand	NOUN	NE					S		Nom	M
35001010	1	und	CCONJ	KON								
35001010	2	es	PRON	PPER				3	S		Nom	N
35001010	3	spotten	VERB	VVFIN		Fin	Pres	3	S	Ind		
35001010	4	der	DET	ART					S		Nom	M
35001010	5	König	NOUN	NN					P		Nom	M
35001010	6	und	CCONJ	KON								
35001010	7	Fürst	NOUN	NN					P		Nom	M
35001010	8	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
35001010	9	ihm	PRON	PPER				3	S		Dat	M
35001010	10	ein	DET	ART					S		Nom	N
35001010	11	Gelächter	NOUN	NN					S		Nom	N
35001010	12	es	PRON	PPER				3	S		Nom	N
35001010	13	lachen	VERB	VVFIN		Fin	Pres	3	S	Ind		
35001010	14	jeder	PRON	PIS					S		Nom	M
35001010	15	Festung	NOUN	NN					S		Nom	F
35001010	16	und	CCONJ	KON								
35001010	17	es	PRON	PPER				3	S		Nom	N
35001010	18	schütten	VERB	VVFIN		Fin	Pres	3	S	Ind		
35001010	19	Erde	NOUN	NN					S		Nom	F
35001010	20	auf	ADP	PTKVZ								
35001010	21	und	CCONJ	KON								
35001010	22	nehmen	VERB	VVFIN		Fin	Pres	3	S	Ind		
35001010	23	sie	PRON	PPER				3	P		Nom	
35001010	24	ein	DET	ART					S		Nom	N
35001011	1	dann	ADV	ADV								
35001011	2	fahren	VERB	VVFIN		Fin	Pres	3	S	Ind		
35001011	3	es	PRON	PPER				3	S		Nom	N
35001011	4	daher	ADV	PROAV								
35001011	5	wie	ADP	KOKOM								
35001011	6	der	DET	ART					S		Nom	M
35001011	7	Wind	NOUN	NN					S		Nom	M
35001011	8	und	CCONJ	KON								
35001011	9	ziehen	VERB	VVFIN		Fin	Pres	3	S	Ind		
35001011	10	weiter	ADV	ADV								
35001011	11	und	CCONJ	KON								
35001011	12	verschulden	VERB	VVPP		Part						
35001011	13	sich	PRON	PRF				3	S		Acc	
35001011	14	dieser	DET	PDAT					S		Nom	F
35001011	15	sein	DET	PPOSAT					S		Nom	F
35001011	16	Kraft	NOUN	NN					S		Nom	F
