HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
36001001	1	der	DET	ART					S		Nom	N
36001001	2	Wort	NOUN	NN					S		Nom	N
36001001	3	Jahwe	PROPN	NE					S		Gen	
36001001	4	welcher	DET	PWAT					S		Acc	N
36001001	5	zu	ADP	PTKVZ								
36001001	6	Zephanja	PROPN	NE					S		Nom	
36001001	7	geschehen	VERB	VVFIN		Fin	Past	3	S	Ind		
36001001	8	der	DET	ART					S		Dat	M
36001001	9	Sohn	NOUN	NN					S		Acc	M
36001001	10	Kuschi	PROPN	NE					S		Gen	
36001001	11	der	DET	ART					S		Gen	M
36001001	12	Sohn	PROPN	NE					S		Gen	M
36001001	13	Gedaljas	NOUN	NN					S		Nom	F
36001001	14	der	DET	ART					S		Gen	M
36001001	15	Sohn	PROPN	NE					S		Gen	M
36001001	16	Amarjas	NOUN	NN					S		Nom	F
36001001	17	der	DET	ART					S		Gen	M
36001001	18	Sohn	PROPN	NE					S		Gen	M
36001001	19	Hiskijas	NOUN	NN					S		Nom	F
36001001	20	in	ADP	APPR								
36001001	21	der	DET	ART					S		Acc	M
36001001	22	Tag	NOUN	NN					P		Dat	M
36001001	23	Josia	PROPN	NE					S		Gen	M
36001001	24	der	DET	ART					S		Gen	M
36001001	25	Sohn	PROPN	NE					S		Gen	M
36001001	26	Amon	PRON	NE					S		Nom	N
36001001	27	der	DET	ART					S		Gen	M
36001001	28	König	PROPN	NE					S		Nom	
36001001	29	von	ADP	APPR								
36001001	30	Juda	PROPN	NE					S		Nom	M
36001002	1	ich	PRON	PPER				1	S		Nom	
36001002	2	werden	AUX	VAFIN		Fin	Pres	3	S	Sub		
36001002	3	alle	PRON	PIS					S		Nom	N
36001002	4	von	ADP	APPR								
36001002	5	der	DET	ART					S		Nom	M
36001002	6	Fläche	NOUN	NN					S		Nom	F
36001002	7	der	DET	ART					S		Gen	M
36001002	8	Erdboden	NOUN	NN					S		Gen	M
36001002	9	gänzlich	ADV	ADJD	Pos							
36001002	10	Wegraff	NOUN	NN					P		Nom	F
36001002	11	sprechen	VERB	VVFIN		Fin	Pres	3	S	Ind		
36001002	12	Jahwe	NOUN	NN					S		Nom	M
36001003	1	ich	PRON	PPER				1	S		Nom	
36001003	2	werden	AUX	VAFIN		Fin	Pres	3	S	Sub		
36001003	3	Mensch	NOUN	NN					P		Nom	M
36001003	4	und	CCONJ	KON								
36001003	5	Vieh	NOUN	NN					S		Nom	N
36001003	6	Wegraff	NOUN	NN					P		Nom	F
36001003	7	ich	PRON	PPER				1	S		Nom	
36001003	8	werden	AUX	VAFIN		Fin	Pres	3	S	Sub		
36001003	9	Wegraff	NOUN	NN					P		Nom	F
36001003	10	der	DET	ART					S		Nom	F
36001003	11	Vogel	NOUN	NN					P		Nom	M
36001003	12	der	DET	ART					S		Gen	M
36001003	13	Himmel	NOUN	NN					S		Gen	M
36001003	14	und	CCONJ	KON								
36001003	15	der	DET	ART					S		Nom	F
36001003	16	Fisch	NOUN	NN					P		Nom	M
36001003	17	der	DET	ART					S		Gen	M
36001003	18	Meer	NOUN	NN					S		Nom	N
36001003	19	und	CCONJ	KON								
36001003	20	der	DET	ART					S		Nom	F
36001003	21	Ärgernis	NOUN	NN					P		Nom	N
36001003	22	samt	ADP	APPR								
36001003	23	der	DET	ART					S		Acc	M
36001003	24	Gesetzlose	NOUN	NN					P		Dat	
36001003	25	und	CCONJ	KON								
36001003	26	ich	PRON	PPER				1	S		Nom	
36001003	27	werden	AUX	VAFIN		Fin	Pres	3	S	Sub		
36001003	28	der	DET	ART					S		Nom	F
36001003	29	Mensch	NOUN	NN					P		Nom	M
36001003	30	ausrotten	VERB	VVINF		Inf						
36001003	31	von	ADP	APPR								
36001003	32	der	DET	ART					S		Nom	M
36001003	33	Fläche	NOUN	NN					S		Nom	F
36001003	34	der	DET	ART					S		Gen	M
36001003	35	Erdboden	NOUN	NN					S		Gen	M
36001003	36	sprechen	VERB	VVFIN		Fin	Pres	3	S	Ind		
36001003	37	Jahwe	NOUN	NN					S		Nom	M
36001004	1	und	CCONJ	KON								
36001004	2	ich	PRON	PPER				1	S		Nom	
36001004	3	werden	AUX	VAFIN		Fin	Pres	3	S	Sub		
36001004	4	mein	DET	PPOSAT					S		Nom	F
36001004	5	Hand	NOUN	NN					S		Nom	F
36001004	6	ausstrecken	VERB	VVINF		Inf						
36001004	7	wider	ADP	PTKVZ								
36001004	8	Juda	PROPN	NE					S		Nom	M
36001004	9	und	CCONJ	KON								
36001004	10	wider	ADP	PTKVZ								
36001004	11	aller	PRON	PIS					P		Nom	
36001004	12	Bewohner	NOUN	NN					P		Nom	M
36001004	13	von	ADP	APPR								
36001004	14	Jerusalem	PROPN	NE					S		Nom	N
36001004	15	und	CCONJ	KON								
36001004	16	ich	PRON	PPER				1	S		Nom	
36001004	17	werden	AUX	VAFIN		Fin	Pres	3	S	Sub		
36001004	18	aus	ADP	PTKVZ								
36001004	19	dieser	DET	PDAT					S		Dat	N
36001004	20	Ort	NOUN	NN					P		Nom	M
36001004	21	der	DET	ART					S		Acc	M
36001004	22	Überrest	NOUN	NN					S		Nom	M
36001004	23	der	DET	ART					S		Gen	M
36001004	24	Baal	PROPN	NE					S		Nom	M
36001004	25	der	DET	ART					S		Acc	M
36001004	26	Name	NOUN	NN					P		Nom	M
36001004	27	der	DET	ART					S		Nom	M
36001004	28	Götzenpriest	NOUN	NN					P		Nom	M
36001004	29	samt	ADP	APPR								
36001004	30	der	DET	ART					S		Acc	M
36001004	31	Priester	NOUN	NN					P		Dat	M
36001004	32	ausrotten	VERB	VVINF		Inf						
36001005	1	und	CCONJ	KON								
36001005	2	der	DET	ART					S		Nom	F
36001005	3	auf	ADP	PTKVZ								
36001005	4	der	DET	ART					S		Acc	M
36001005	5	Dach	NOUN	NN					P		Dat	N
36001005	6	der	DET	ART					S		Nom	N
36001005	7	Heer	NOUN	NN					S		Nom	N
36001005	8	der	DET	ART					S		Gen	M
36001005	9	Himmel	NOUN	NN					S		Gen	M
36001005	10	anbeten	VERB	VVFIN		Fin	Pres	3	P	Ind		
36001005	11	und	CCONJ	KON								
36001005	12	der	DET	ART					S		Nom	F
36001005	13	Anbetende	NOUN	NE					P		Nom	F
36001005	14	welcher	DET	PWAT					S		Nom	F
36001005	15	der	DET	ART					S		Dat	M
36001005	16	Jahwe	NOUN	NN					S		Nom	M
36001005	17	schwören	VERB	VVFIN		Fin	Pres	3	P	Ind		
36001005	18	und	CCONJ	KON								
36001005	19	bei	ADP	APPR								
36001005	20	ihr	DET	PPOSAT					S		Dat	N
36001005	21	König	NOUN	NN					S		Nom	M
36001005	22	schwören	VERB	VVFIN		Fin	Pres	3	P	Ind		
36001006	1	und	CCONJ	KON								
36001006	2	der	DET	ART					S		Nom	F
36001006	3	von	ADP	APPR								
36001006	4	Jahwe	NOUN	NN					S		Nom	M
36001006	5	zurückweichen	VERB	VVINF		Inf						
36001006	6	und	CCONJ	KON								
36001006	7	der	DET	ART					S		Nom	F
36001006	8	Jahwe	NOUN	NN					S		Nom	M
36001006	9	nicht	PART	PTKNEG								
36001006	10	suchen	VERB	VVINF		Inf						
36001006	11	noch	CCONJ	KON								
36001006	12	nach	ADP	APPR								
36001006	13	ihm	PRON	PPER				3	S		Dat	M
36001006	14	fragen	VERB	VVINF		Inf						
36001007	1	still	ADV	ADJD	Pos							
36001007	2	vor	ADP	APPR								
36001007	3	der	DET	ART					S		Dat	M
36001007	4	Herr	NOUN	NN					S		Acc	M
36001007	5	Jahwe	NOUN	NN					S		Nom	M
36001007	6	denn	CCONJ	KON								
36001007	7	nah	ADP	APPR								
36001007	8	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
36001007	9	der	DET	ART					S		Nom	M
36001007	10	Tag	NOUN	NN					S		Nom	M
36001007	11	Jahwe	PROPN	NE					S		Gen	
36001007	12	denn	CCONJ	KON								
36001007	13	Jahwe	NOUN	NN					S		Nom	M
36001007	14	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
36001007	15	ein	DET	ART					S		Nom	N
36001007	16	Schlachtopfer	NOUN	NN					S		Nom	M
36001007	17	bereiten	VERB	VVFIN		Fin	Pres	3	S	Ind		
36001007	18	er	PRON	PPER				3	S		Nom	M
36001007	19	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
36001007	20	sein	DET	PPOSAT					S		Nom	F
36001007	21	geladener	NOUN	NN					P		Nom	
36001007	22	heiligen	VERB	VVPP		Part						
36001008	1	und	CCONJ	KON								
36001008	2	es	PRON	PPER				3	S		Nom	N
36001008	3	werden	AUX	VAFIN		Fin	Pres	3	S	Ind		
36001008	4	geschehen	VERB	VVPP		Part						
36001008	5	an	ADP	PTKVZ								
36001008	6	der	DET	ART					S		Dat	M
36001008	7	Tag	NOUN	NN					P		Nom	M
36001008	8	der	DET	ART					S		Gen	M
36001008	9	Schlachtopfer	PROPN	NE					S		Gen	
36001008	10	Jahwe	PROPN	NE					S		Gen	
36001008	11	da	ADV	ADV								
36001008	12	werden	AUX	VAFIN		Fin	Pres	3	S	Sub		
36001008	13	ich	PRON	PPER				1	S		Nom	
36001008	14	der	DET	ART					S		Nom	F
36001008	15	Fürst	NOUN	NN					P		Nom	M
36001008	16	und	CCONJ	KON								
36001008	17	der	DET	ART					S		Nom	F
36001008	18	Königssöhne	NOUN	NN					S		Nom	F
36001008	19	heimsuchen	VERB	VVFIN		Fin	Pres	3	P	Ind		
36001008	20	und	CCONJ	KON								
36001008	21	aller	PRON	PIS					P		Nom	
36001008	22	der	DET	ART					S		Nom	F
36001008	23	sich	PRON	PRF				3	S		Acc	
36001008	24	mit	ADP	APPR								
36001008	25	fremd	ADJ	ADJA	Pos				S		Nom	M
36001008	26	Kleidung	NOUN	NN					S		Nom	F
36001008	27	bekleiden	VERB	VVINF		Inf						
36001009	1	und	CCONJ	KON								
36001009	2	an	ADP	PTKVZ								
36001009	3	jener	DET	PDAT					S		Dat	N
36001009	4	Tag	NOUN	NN					P		Nom	M
36001009	5	werden	AUX	VAFIN		Fin	Pres	3	S	Sub		
36001009	6	ich	PRON	PPER				1	S		Nom	
36001009	7	ein	DET	ART					S		Acc	M
36001009	8	jeder	DET	PIS					S		Acc	M
36001009	9	heimsuchen	VERB	VVFIN		Fin	Pres	3	P	Ind		
36001009	10	der	DET	ART					S		Nom	M
36001009	11	über	ADP	APPR								
36001009	12	der	DET	ART					S		Nom	F
36001009	13	Schwelle	NOUN	NN					S		Nom	F
36001009	14	springen	VERB	VVFIN		Fin	Pres	3	S	Ind		
36001009	15	aller	PRON	PIS					P		Nom	
36001009	16	der	DET	ART					S		Nom	F
36001009	17	der	DET	ART					S		Nom	N
36001009	18	Haus	NOUN	NN					S		Nom	N
36001009	19	ihr	DET	PPOSAT					S		Gen	M
36001009	20	Herr	NOUN	NN					S		Acc	M
36001009	21	mit	ADP	APPR								
36001009	22	Gewalttat	NOUN	NN					S		Nom	F
36001009	23	und	CCONJ	KON								
36001009	24	Betrug	NOUN	NN					S		Nom	M
