HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
37001001	1	in	ADP	APPRART					S		Dat	M
37001001	2	zweiter	ADJ	ADJA	Pos				S		Dat	M
37001001	3	Jahr	NOUN	NN					P		Nom	N
37001001	4	der	DET	ART					S		Gen	M
37001001	5	König	PROPN	NE					S		Nom	
37001001	6	Darius	PROPN	NE					S		Nom	M
37001001	7	in	ADP	APPRART					S		Dat	N
37001001	8	sechster	ADJ	ADJA	Pos				S		Acc	M
37001001	9	Monat	NOUN	NN					S		Nom	M
37001001	10	an	ADP	APPRART					S		Dat	M
37001001	11	erster	ADJ	ADJA	Pos				S		Dat	M
37001001	12	Tag	NOUN	NN					P		Nom	M
37001001	13	der	DET	ART					S		Gen	M
37001001	14	Monat	NOUN	NN					S		Nom	M
37001001	15	geschehen	VERB	VVFIN		Fin	Past	3	S	Ind		
37001001	16	der	DET	ART					S		Nom	N
37001001	17	Wort	NOUN	NN					S		Nom	N
37001001	18	Jahwe	PROPN	NE					S		Gen	
37001001	19	durch	ADP	APPR								
37001001	20	der	DET	ART					S		Acc	M
37001001	21	Prophet	NOUN	NN					P		Nom	M
37001001	22	Haggai	PROPN	NE					S		Nom	
37001001	23	zu	ADP	PTKVZ								
37001001	24	Serubbabel	NOUN	NN					S		Nom	M
37001001	25	der	DET	ART					S		Dat	M
37001001	26	Sohn	NOUN	NN					S		Acc	M
37001001	27	Schealtiel	PROPN	NE					S		Nom	
37001001	28	der	DET	ART					S		Dat	M
37001001	29	Landpfleger	NOUN	NN					P		Nom	M
37001001	30	von	ADP	APPR								
37001001	31	Juda	PROPN	NE					S		Nom	M
37001001	32	und	CCONJ	KON								
37001001	33	zu	ADP	PTKVZ								
37001001	34	Josua	PROPN	NE					S		Nom	M
37001001	35	der	DET	ART					S		Dat	M
37001001	36	Sohn	NOUN	NN					S		Acc	M
37001001	37	Jozadak	PROPN	NE					S		Gen	
37001001	38	der	DET	ART					S		Dat	M
37001001	39	Hohenpriester	NOUN	NN					P		Nom	M
37001001	40	also	ADV	ADV								
37001002	1	so	ADV	ADV								
37001002	2	sprechen	VERB	VVFIN		Fin	Pres	3	S	Ind		
37001002	3	Jahwe	NOUN	NN					S		Nom	M
37001002	4	der	DET	ART					S		Nom	M
37001002	5	Heerschare	NOUN	NN					P		Nom	F
37001002	6	und	CCONJ	KON								
37001002	7	sagen	VERB	VVFIN		Fin	Pres	3	S	Ind		
37001002	8	dieser	PRON	PDS					S		Nom	N
37001002	9	Volk	NOUN	NN					S		Nom	N
37001002	10	sprechen	VERB	VVFIN		Fin	Pres	3	S	Ind		
37001002	11	der	DET	ART					S		Nom	F
37001002	12	Zeit	NOUN	NN					S		Nom	F
37001002	13	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
37001002	14	nicht	PART	PTKNEG								
37001002	15	kommen	VERB	VVPP		Part						
37001002	16	der	DET	ART					S		Nom	F
37001002	17	Zeit	NOUN	NN					S		Nom	F
37001002	18	daß	SCONJ	KOUS								
37001002	19	der	DET	ART					S		Nom	N
37001002	20	Haus	NOUN	NN					S		Nom	N
37001002	21	Jahwe	PROPN	NE					S		Gen	
37001002	22	bauen	VERB	VVPP		Part						
37001002	23	werden	AUX	VAFIN		Fin	Pres	3	S	Sub		
37001003	1	und	CCONJ	KON								
37001003	2	der	DET	ART					S		Nom	N
37001003	3	Wort	NOUN	NN					S		Nom	N
37001003	4	Jahwe	PROPN	NE					S		Gen	
37001003	5	geschehen	VERB	VVFIN		Fin	Past	3	S	Ind		
37001003	6	durch	ADP	APPR								
37001003	7	der	DET	ART					S		Acc	M
37001003	8	Prophet	NOUN	NN					P		Nom	M
37001003	9	Haggai	PROPN	NE					S		Nom	
37001003	10	also	ADV	ADV								
37001004	1	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
37001004	2	es	PRON	PPER				3	S		Nom	N
37001004	3	für	ADP	APPR								
37001004	4	euch	PRON	PPER				2	P		Dat	
37001004	5	selbst	ADV	ADV								
37001004	6	Zeit	NOUN	NN					S		Nom	F
37001004	7	in	ADP	APPR								
37001004	8	euren	DET	PPOSAT					S		Acc	M
37001004	9	getäfelten	VERB	ADJA		Fin	Past	3	P	Ind		
37001004	10	Haus	NOUN	NN					P		Dat	N
37001004	11	zu	ADP	PTKVZ								
37001004	12	wohnen	VERB	VVINF		Inf						
37001004	13	während	SCONJ	KOUS								
37001004	14	dieser	DET	PDAT					S		Nom	N
37001004	15	Haus	NOUN	NN					S		Nom	N
37001004	16	wüst	ADV	ADJD	Pos							
37001004	17	liegen	VERB	VVFIN		Fin	Pres	3	S	Ind		
37001005	1	und	CCONJ	KON								
37001005	2	nun	ADV	ADV								
37001005	3	so	ADV	ADV								
37001005	4	sprechen	VERB	VVFIN		Fin	Pres	3	S	Ind		
37001005	5	Jahwe	NOUN	NN					S		Nom	M
37001005	6	der	DET	ART					S		Nom	M
37001005	7	Heerschare	NOUN	NN					P		Nom	F
37001005	8	Richten	VERB	VVFIN		Fin	Pres	3	S	Ind		
37001005	9	eurer	PRON	PPOSAT							Gen	
37001005	10	Herz	NOUN	NN					S		Nom	N
37001005	11	auf	ADP	PTKVZ								
37001005	12	eure	DET	PPOSAT					S		Nom	F
37001005	13	Weg	NOUN	NN					P		Acc	M
37001006	1	ihr	PRON	PPER				2	P		Nom	
37001006	2	habben	VERB	VAFIN				2	P	Imp		
37001006	3	viel	PRON	PIS								
37001006	4	säen	VERB	VVPP		Part						
37001006	5	und	CCONJ	KON								
37001006	6	wenig	PRON	PIS								
37001006	7	einbringen	VERB	VVPP		Part						
37001006	8	ihr	PRON	PPOSAT				3	S		Dat	F
37001006	9	Esset	X	FM								
37001006	10	aber	CCONJ	KON								
37001006	11	nicht	PART	PTKNEG								
37001006	12	zu	ADP	APPRART					S		Dat	F
37001006	13	Sättigung	NOUN	NN					S		Nom	F
37001006	14	ihr	PRON	PPOSAT				3	S		Dat	F
37001006	15	trinket	VERB	VVFIN		Fin	Pres	3	S	Ind		
37001006	16	aber	CCONJ	KON								
37001006	17	nicht	PART	PTKNEG								
37001006	18	zu	ADP	APPRART					S		Dat	F
37001006	19	Genüge	NOUN	NN					S		Nom	F
37001006	20	ihr	PRON	PPOSAT				3	S		Dat	F
37001006	21	kleiden	VERB	VVFIN		Fin	Pres	3	S	Ind		
37001006	22	euch	PRON	PPER				2	P		Dat	
37001006	23	aber	CCONJ	KON								
37001006	24	es	PRON	PPER				3	S		Nom	N
37001006	25	werden	AUX	VAFIN		Fin	Pres	3	S	Ind		
37001006	26	kein	DET	PIS					S		Dat	M
37001006	27	warm	ADV	ADJD	Pos							
37001006	28	und	CCONJ	KON								
37001006	29	der	DET	ART					S		Nom	M
37001006	30	Lohnarbeiter	NOUN	NN					P		Nom	M
37001006	31	erwerben	VERB	VVFIN		Fin	Pres	3	S	Ind		
37001006	32	Lohn	NOUN	NN					S		Nom	M
37001006	33	für	ADP	APPR								
37001006	34	ein	DET	ART					S		Acc	M
37001006	35	durchlöchern	VERB	VVFIN		Fin	Past	3	P	Ind		
37001006	36	Beutel	NOUN	NN					S		Nom	M
37001007	1	so	ADV	ADV								
37001007	2	sprechen	VERB	VVFIN		Fin	Pres	3	S	Ind		
37001007	3	Jahwe	NOUN	NN					S		Nom	M
37001007	4	der	DET	ART					S		Nom	M
37001007	5	Heerschare	NOUN	NN					P		Nom	F
37001007	6	Richten	VERB	VVFIN		Fin	Pres	3	S	Ind		
37001007	7	euer	DET	PPOSAT					S		Nom	M
37001007	8	Herz	NOUN	NN					S		Nom	N
37001007	9	auf	ADP	PTKVZ								
37001007	10	eure	DET	PPOSAT					S		Nom	F
37001007	11	Weg	NOUN	NN					P		Acc	M
37001008	1	Steiget	NOUN	NE					S		Nom	N
37001008	2	auf	ADP	PTKVZ								
37001008	3	der	DET	ART					S		Nom	N
37001008	4	Gebirge	NOUN	NN					S		Nom	N
37001008	5	und	CCONJ	KON								
37001008	6	Bringet	NOUN	VVFIN					S		Nom	N
37001008	7	Holz	NOUN	NN					S		Nom	N
37001008	8	herbei	ADV	PTKVZ								
37001008	9	und	CCONJ	KON								
37001008	10	Bauet	VERB	FM		Fin	Past	3	S	Sub		
37001008	11	der	DET	ART					S		Nom	N
37001008	12	Haus	NOUN	NN					S		Nom	N
37001008	13	so	ADV	ADV								
37001008	14	werden	AUX	VAFIN		Fin	Pres	3	S	Sub		
37001008	15	ich	PRON	PPER				1	S		Nom	
37001008	16	Wohlgefallen	NOUN	NN					S		Nom	N
37001008	17	daran	ADV	PROAV								
37001008	18	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
37001008	19	und	CCONJ	KON								
37001008	20	verherrlichen	VERB	VVPP		Part						
37001008	21	werden	AUX	VAFIN		Fin	Pres	3	P	Ind		
37001008	22	sprechen	VERB	VVFIN		Fin	Pres	3	S	Ind		
37001008	23	Jahwe	NOUN	NN					S		Nom	M
37001009	1	ihr	PRON	PPER				2	P		Nom	
37001009	2	habben	VERB	VAFIN				2	P	Imp		
37001009	3	nach	ADP	APPR								
37001009	4	vieler	PRON	PIS					S		Dat	N
37001009	5	ausschauen	VERB	VVPP		Part						
37001009	6	und	CCONJ	KON								
37001009	7	sehen	VERB	VVIMP				2	S	Imp		
37001009	8	es	PRON	PPER				3	S		Nom	N
37001009	9	werden	AUX	VAFIN		Fin	Past	3	S	Ind		
37001009	10	wenig	PRON	PIS								
37001009	11	und	CCONJ	KON								
37001009	12	brachten	VERB	VVPP		Part						
37001009	13	ihr	PRON	PPOSAT				3	S		Dat	F
37001009	14	es	PRON	PPER				3	S		Nom	N
37001009	15	Heim	PROPN	NE					S		Nom	N
37001009	16	so	ADV	ADV								
37001009	17	blies	VERB	VVFIN		Fin	Past	3	S	Ind		
37001009	18	ich	PRON	PPER				1	S		Nom	
37001009	19	darein	ADV	PROAV								
37001009	20	weshalb	SCONJ	PWAV								
37001009	21	der	DET	ART					S		Nom	N
37001009	22	sprechen	VERB	VVFIN		Fin	Pres	3	S	Ind		
37001009	23	Jahwe	NOUN	NN					S		Nom	M
37001009	24	der	DET	ART					S		Nom	M
37001009	25	Heerschare	NOUN	NN					P		Nom	F
37001009	26	wegen	ADP	APPR								
37001009	27	meiner	DET	PPOSAT					S		Gen	N
37001009	28	Haus	NOUN	NN					S		Gen	N
37001009	29	der	DET	ART					S		Nom	N
37001009	30	wüst	ADV	ADJD	Pos							
37001009	31	liegen	VERB	VVFIN		Fin	Pres	3	S	Ind		
37001009	32	während	SCONJ	KOUS								
37001009	33	ihr	PRON	PPOSAT				3	S		Dat	F
37001009	34	Laufet	PROPN	ADV					S		Nom	N
37001009	35	ein	DET	ART					S		Nom	N
37001009	36	jeder	PRON	PIS					S		Nom	M
37001009	37	für	ADP	APPR								
37001009	38	sein	AUX	VAINF		Inf						
37001009	39	eigen	ADJ	ADJA	Pos				S		Nom	N
37001009	40	Haus	NOUN	NN					S		Nom	N
37001010	1	darum	ADV	PROAV								
37001010	2	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
37001010	3	der	DET	ART					S		Nom	M
37001010	4	Himmel	NOUN	NN					S		Nom	M
37001010	5	der	DET	ART					S		Acc	M
37001010	6	Tau	PROPN	NE					S		Nom	
37001010	7	über	ADP	APPR								
37001010	8	euch	PRON	PPER				2	P		Dat	
37001010	9	zurückhalten	VERB	VVPP		Part						
37001010	10	und	CCONJ	KON								
37001010	11	der	DET	ART					S		Nom	F
37001010	12	Erde	NOUN	NN					S		Nom	F
37001010	13	ihr	DET	PPOSAT					S		Acc	M
37001010	14	Ertrag	NOUN	NN					S		Nom	M
