HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
38001001	1	in	ADP	APPRART					S		Dat	M
38001001	2	achten	VERB	VVINF		Inf						
38001001	3	Monat	NOUN	NN					S		Nom	M
38001001	4	in	ADP	APPRART					S		Dat	N
38001001	5	zweiter	ADJ	ADJA	Pos				S		Dat	M
38001001	6	Jahr	NOUN	NN					P		Nom	N
38001001	7	der	DET	ART					S		Gen	M
38001001	8	Darius	PROPN	NE					S		Nom	M
38001001	9	geschehen	VERB	VVFIN		Fin	Past	3	S	Ind		
38001001	10	der	DET	ART					S		Nom	N
38001001	11	Wort	NOUN	NN					S		Nom	N
38001001	12	Jahwe	PROPN	NE					S		Gen	
38001001	13	zu	ADP	PTKVZ								
38001001	14	Sacharja	NOUN	ADV					P		Nom	M
38001001	15	der	DET	ART					S		Dat	M
38001001	16	Sohn	NOUN	NN					S		Acc	M
38001001	17	Berekjas	NOUN	NN					S		Nom	F
38001001	18	der	DET	ART					S		Gen	M
38001001	19	Sohn	PROPN	NE					S		Gen	M
38001001	20	Iddo	PROPN	NN					S		Gen	
38001001	21	der	DET	ART					S		Dat	M
38001001	22	Prophet	NOUN	NN					P		Nom	M
38001001	23	also	ADV	ADV								
38001002	1	Jahwe	NOUN	NN					S		Nom	M
38001002	2	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
38001002	3	heftig	ADV	ADJD	Pos							
38001002	4	erzürnt	ADV	ADJD	Pos							
38001002	5	sein	AUX	VAPP		Part						
38001002	6	über	ADP	APPR								
38001002	7	eure	DET	PPOSAT					S		Nom	F
38001002	8	Vater	NOUN	NN					P		Nom	M
38001003	1	und	CCONJ	KON								
38001003	2	sprich	ADV	ADV								
38001003	3	zu	ADP	PTKVZ								
38001003	4	ihnen	PRON	PPER				3	P		Dat	
38001003	5	so	ADV	ADV								
38001003	6	sprechen	VERB	VVFIN		Fin	Pres	3	S	Ind		
38001003	7	Jahwe	NOUN	NN					S		Nom	M
38001003	8	der	DET	ART					S		Nom	M
38001003	9	Heerschare	NOUN	NN					P		Nom	F
38001003	10	Kehret	NOUN	NE					S		Nom	N
38001003	11	zu	ADP	PTKVZ								
38001003	12	mir	PRON	PPER				1	S		Dat	
38001003	13	um	ADP	APPR								
38001003	14	sprechen	VERB	VVFIN		Fin	Pres	3	S	Ind		
38001003	15	Jahwe	NOUN	NN					S		Nom	M
38001003	16	der	DET	ART					S		Nom	M
38001003	17	Heerschare	NOUN	NN					P		Nom	F
38001003	18	und	CCONJ	KON								
38001003	19	ich	PRON	PPER				1	S		Nom	
38001003	20	werden	AUX	VAFIN		Fin	Pres	3	S	Sub		
38001003	21	zu	ADP	PTKVZ								
38001003	22	euch	PRON	PPER				2	P		Dat	
38001003	23	umkehren	VERB	VVINF		Inf						
38001003	24	sprechen	VERB	VVFIN		Fin	Pres	3	S	Ind		
38001003	25	Jahwe	NOUN	NN					S		Nom	M
38001003	26	der	DET	ART					S		Nom	M
38001003	27	Heerschare	NOUN	NN					P		Nom	F
38001004	1	Seid	NOUN	VAFIN					S		Acc	N
38001004	2	nicht	PART	PTKNEG								
38001004	3	wie	ADP	KOKOM								
38001004	4	eure	DET	PPOSAT					S		Nom	F
38001004	5	Vater	NOUN	NN					P		Nom	M
38001004	6	der	PRON	PDS					P		Dat	
38001004	7	der	DET	ART					S		Nom	F
38001004	8	früh	ADJ	ADJA	Cmp				S		Gen	N
38001004	9	Prophet	NOUN	NN					P		Nom	M
38001004	10	zuriefen	VERB	VVFIN		Fin	Pres	3	P	Ind		
38001004	11	und	CCONJ	KON								
38001004	12	sprechen	VERB	VVFIN		Fin	Past	3	P	Ind		
38001004	13	so	ADV	ADV								
38001004	14	sprechen	VERB	VVFIN		Fin	Pres	3	S	Ind		
38001004	15	Jahwe	NOUN	NN					S		Nom	M
38001004	16	der	DET	ART					S		Nom	M
38001004	17	Heerschare	NOUN	NN					P		Nom	F
38001004	18	Kehret	NOUN	NE					S		Nom	N
38001004	19	doch	CCONJ	KON								
38001004	20	um	ADP	APPR								
38001004	21	von	ADP	APPR								
38001004	22	euren	DET	PPOSAT					S		Acc	M
38001004	23	böse	ADJ	PIS	Pos				S		Acc	M
38001004	24	wegen	ADP	APPR								
38001004	25	und	CCONJ	KON								
38001004	26	von	ADP	APPR								
38001004	27	euren	DET	PPOSAT					S		Acc	M
38001004	28	böse	ADJ	PIS	Pos				S		Acc	M
38001004	29	Handlung	NOUN	NN					P		Nom	F
38001004	30	aber	CCONJ	KON								
38001004	31	sie	PRON	PPER				3	P		Nom	
38001004	32	hören	VERB	VVFIN		Fin	Past	3	P	Ind		
38001004	33	nicht	PART	PTKNEG								
38001004	34	und	CCONJ	KON								
38001004	35	merken	VERB	VVFIN		Fin	Past	3	P	Ind		
38001004	36	nicht	PART	PTKNEG								
38001004	37	auf	ADP	PTKVZ								
38001004	38	mich	PRON	PPER				1	S		Acc	
38001004	39	sprechen	VERB	VVFIN		Fin	Pres	3	S	Ind		
38001004	40	Jahwe	NOUN	NN					S		Nom	M
38001005	1	Eure	DET	PPOSAT					S		Nom	F
38001005	2	Vater	NOUN	NN					P		Nom	M
38001005	3	wo	SCONJ	PWAV								
38001005	4	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
38001005	5	sie	PRON	PPER				3	P		Nom	
38001005	6	und	CCONJ	KON								
38001005	7	der	DET	ART					S		Nom	F
38001005	8	Prophet	NOUN	NN					P		Nom	M
38001005	9	leben	VERB	VVFIN		Fin	Pres	3	P	Ind		
38001005	10	sie	PRON	PPER				3	P		Nom	
38001005	11	ewiglich	ADV	ADJD	Pos							
38001006	1	doch	CCONJ	KON								
38001006	2	mein	DET	PPOSAT					S		Nom	F
38001006	3	Wort	NOUN	NN					P		Nom	N
38001006	4	und	CCONJ	KON								
38001006	5	mein	DET	PPOSAT					S		Nom	F
38001006	6	Beschluß	NOUN	NN					P		Nom	M
38001006	7	welcher	DET	PWAT					S		Nom	F
38001006	8	ich	PRON	PPER				1	S		Nom	
38001006	9	meinen	VERB	VVFIN		Fin	Pres	3	P	Ind		
38001006	10	knechte	NOUN	NN					P		Nom	M
38001006	11	der	DET	ART					S		Acc	M
38001006	12	Prophet	NOUN	NN					P		Nom	M
38001006	13	Gebot	NOUN	NN					S		Nom	N
38001006	14	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
38001006	15	sie	PRON	PPER				3	P		Nom	
38001006	16	eure	DET	PPOSAT					S		Nom	F
38001006	17	Vater	NOUN	NN					P		Nom	M
38001006	18	nicht	PART	PTKNEG								
38001006	19	treffen	VERB	VVPP		Part						
38001006	20	und	CCONJ	KON								
38001006	21	sie	PRON	PPER				3	P		Nom	
38001006	22	kehren	VERB	VVFIN		Fin	Past	3	P	Ind		
38001006	23	um	ADP	APPR								
38001006	24	und	CCONJ	KON								
38001006	25	sprechen	VERB	VVFIN		Fin	Past	3	P	Ind		
38001006	26	so	ADV	ADV								
38001006	27	wie	ADP	KOKOM								
38001006	28	Jahwe	NOUN	NN					S		Nom	M
38001006	29	der	DET	ART					S		Nom	M
38001006	30	Heerschare	NOUN	NN					P		Nom	F
38001006	31	vorhaten	VERB	VVFIN		Fin	Past	3	S	Ind		
38001006	32	uns	PRON	PPER				1	P		Acc	
38001006	33	nach	ADP	APPR								
38001006	34	unser	DET	PPOSAT					S		Acc	M
38001006	35	wegen	ADP	APPR								
38001006	36	und	CCONJ	KON								
38001006	37	nach	ADP	APPR								
38001006	38	unser	DET	PPOSAT					S		Acc	M
38001006	39	Handlung	NOUN	NN					P		Nom	F
38001006	40	zu	ADP	PTKVZ								
38001006	41	tun	VERB	VVINF		Inf						
38001006	42	also	ADV	ADV								
38001006	43	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
38001006	44	er	PRON	PPER				3	S		Nom	M
38001006	45	mit	ADP	APPR								
38001006	46	uns	PRON	PPER				1	P		Acc	
38001006	47	tun	VERB	VVPP		Part						
38001007	1	an	ADP	APPRART					S		Dat	M
38001007	2	24	NUM	CARD								
38001007	3	Tag	NOUN	NN					P		Nom	M
38001007	4	in	ADP	APPRART					S		Dat	N
38001007	5	elfter	ADJ	ADJA	Pos				S		Acc	M
38001007	6	Monat	NOUN	NN					S		Nom	M
38001007	7	der	DET	ART					S		Nom	N
38001007	8	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
38001007	9	der	DET	ART					S		Nom	M
38001007	10	Monat	NOUN	NN					S		Nom	M
38001007	11	Schebat	PROPN	NE					S		Nom	
38001007	12	in	ADP	APPRART					S		Dat	N
38001007	13	zweiter	ADJ	ADJA	Pos				S		Dat	M
38001007	14	Jahr	NOUN	NN					P		Nom	N
38001007	15	der	DET	ART					S		Gen	M
38001007	16	Darius	PROPN	NE					S		Nom	M
38001007	17	geschehen	VERB	VVFIN		Fin	Past	3	S	Ind		
38001007	18	der	DET	ART					S		Nom	N
38001007	19	Wort	NOUN	NN					S		Nom	N
38001007	20	Jahwe	PROPN	NE					S		Gen	
38001007	21	zu	ADP	PTKVZ								
38001007	22	Sacharja	NOUN	ADV					P		Nom	M
38001007	23	der	DET	ART					S		Dat	M
38001007	24	Sohn	NOUN	NN					S		Acc	M
38001007	25	Berekjas	NOUN	NN					S		Nom	F
38001007	26	der	DET	ART					S		Gen	M
38001007	27	Sohn	PROPN	NE					S		Gen	M
38001007	28	Iddo	PROPN	NN					S		Gen	
38001007	29	der	DET	ART					S		Dat	M
38001007	30	Prophet	NOUN	NN					P		Nom	M
38001007	31	also	ADV	ADV								
38001008	1	ich	PRON	PPER				1	S		Nom	
38001008	2	schauen	VERB	VVFIN		Fin	Past	3	S	Ind		
38001008	3	der	DET	ART					S		Gen	M
38001008	4	Nacht	ADV	ADV								
38001008	5	und	CCONJ	KON								
38001008	6	sehen	VERB	VVIMP				2	S	Imp		
38001008	7	ein	DET	ART					S		Nom	N
38001008	8	Mann	NOUN	NN					S		Nom	M
38001008	9	reitend	ADV	ADJD	Pos							
38001008	10	auf	ADP	PTKVZ								
38001008	11	ein	DET	ART					S		Dat	M
38001008	12	rot	ADJ	ADJA	Pos				S		Acc	M
38001008	13	Roß	NOUN	NN					P		Nom	M
38001008	14	und	CCONJ	KON								
38001008	15	er	PRON	PPER				3	S		Nom	M
38001008	16	halten	VERB	VVFIN		Fin	Past	3	S	Ind		
38001008	17	zwischen	ADP	APPR								
38001008	18	der	DET	ART					S		Acc	M
38001008	19	Myrt	NOUN	NN					P		Nom	M
38001008	20	welcher	DET	PWAT					S		Nom	F
38001008	21	in	ADP	APPRART					S		Dat	N
38001008	22	Talgrund	NOUN	NN					P		Nom	M
38001008	23	sein	AUX	VAFIN		Fin	Past	3	P	Ind		
38001008	24	und	CCONJ	KON								
38001008	25	hinter	ADP	APPR								
38001008	26	ihm	PRON	PPER				3	S		Dat	M
38001008	27	sein	AUX	VAFIN		Fin	Past	3	P	Ind		
38001008	28	rot	ADJ	ADJA	Pos				S		Nom	F
38001008	29	Hellrote	NOUN	NN					S		Nom	F
38001008	30	und	CCONJ	KON								
38001008	31	weiß	ADJ	ADJA	Pos				S		Nom	F
38001008	32	Roß	NOUN	NN					P		Nom	M
38001009	1	und	CCONJ	KON								
38001009	2	ich	PRON	PPER				1	S		Nom	
38001009	3	sprechen	VERB	VVFIN		Fin	Past	3	S	Ind		
38001009	4	mein	PRON	PPOSAT				2	P		Nom	
38001009	5	Herr	NOUN	NN					S		Nom	M
38001009	6	wer	PRON	PWS					S		Nom	M
38001009	7	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
38001009	8	dieser	DET	PDAT					S		Nom	F
38001009	9	und	CCONJ	KON								
38001009	10	der	DET	ART					S		Nom	M
38001009	11	Engel	NOUN	NN					S		Nom	M
