HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
39001001	1	Ausspruch	NOUN	NN					S		Nom	M
39001001	2	der	DET	ART					S		Gen	M
39001001	3	Wort	NOUN	NN					S		Gen	N
39001001	4	Jahwe	PROPN	NE					S		Gen	
39001001	5	an	ADP	PTKVZ								
39001001	6	Israel	PROPN	NE					S		Nom	N
39001001	7	durch	ADP	APPR								
39001001	8	Maleachi	PROPN	NE					S		Nom	M
39001002	1	ich	PRON	PPER				1	S		Nom	
39001002	2	haben	AUX	VAFIN		Fin	Pres	3	S	Sub		
39001002	3	euch	PRON	PPER				2	P		Dat	
39001002	4	lieben	VERB	VVPP		Part						
39001002	5	sprechen	VERB	VVFIN		Fin	Pres	3	S	Ind		
39001002	6	Jahwe	NOUN	NN					S		Nom	M
39001002	7	aber	CCONJ	KON								
39001002	8	ihr	PRON	PPOSAT				3	S		Dat	F
39001002	9	Sprechet	PROPN	NE					S		Nom	
39001002	10	worin	ADV	PWAV								
39001002	11	haben	AUX	VAFIN		Fin	Pres	2	S	Ind		
39001002	12	du	PRON	PPER				2	S		Nom	
39001002	13	uns	PRON	PPER				1	P		Acc	
39001002	14	lieben	VERB	VVPP		Part						
39001002	15	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
39001002	16	nicht	PART	PTKNEG								
39001002	17	Esau	PROPN	NE					S		Nom	
39001002	18	der	DET	ART					S		Nom	M
39001002	19	Bruder	NOUN	NN					S		Nom	M
39001002	20	Jakobs	PROPN	NE					S		Nom	M
39001002	21	sprechen	VERB	VVFIN		Fin	Pres	3	S	Ind		
39001002	22	Jahwe	NOUN	NN					S		Nom	M
39001002	23	und	CCONJ	KON								
39001002	24	ich	PRON	PPER				1	S		Nom	
39001002	25	haben	AUX	VAFIN		Fin	Pres	3	S	Sub		
39001002	26	Jakob	PROPN	NE					S		Nom	M
39001002	27	lieben	VERB	VVPP		Part						
39001003	1	Esau	PROPN	NE					S		Nom	
39001003	2	aber	CCONJ	KON								
39001003	3	haben	AUX	VAFIN		Fin	Pres	3	S	Sub		
39001003	4	ich	PRON	PPER				1	S		Nom	
39001003	5	hassen	VERB	VVPP		Part						
39001003	6	und	CCONJ	KON								
39001003	7	ich	PRON	PPER				1	S		Nom	
39001003	8	haben	AUX	VAFIN		Fin	Pres	3	S	Sub		
39001003	9	sein	DET	PPOSAT					S		Nom	F
39001003	10	Berg	NOUN	NN					P		Nom	M
39001003	11	zu	ADP	APPRART					S		Dat	F
39001003	12	Wüste	NOUN	NN					S		Nom	F
39001003	13	machen	VERB	VVPP		Part						
39001003	14	und	CCONJ	KON								
39001003	15	sein	AUX	VAINF		Inf						
39001003	16	Erbteil	NOUN	NN					S		Nom	M
39001003	17	für	ADP	APPR								
39001003	18	der	DET	ART					S		Nom	F
