HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
4001001	1	und	CCONJ	KON								
4001001	2	Jahwe	NOUN	NN					S		Nom	M
4001001	3	reden	VERB	VVFIN		Fin	Past	3	S	Ind		
4001001	4	zu	ADP	PTKVZ								
4001001	5	Mose	PROPN	NE					S		Nom	
4001001	6	in	ADP	APPR								
4001001	7	der	DET	ART					S		Nom	M
4001001	8	Wüste	NOUN	NN					S		Nom	F
4001001	9	Sinai	PROPN	NE					S		Nom	M
4001001	10	in	ADP	APPRART					S		Dat	N
4001001	11	Zelt	NOUN	NN					P		Nom	N
4001001	12	der	DET	ART					S		Nom	M
4001001	13	Zusammenkunft	NOUN	NN					S		Nom	F
4001001	14	an	ADP	APPRART					S		Dat	M
4001001	15	erster	PRON	PIS								
4001001	16	der	DET	ART					S		Gen	M
4001001	17	zweiter	ADJ	ADJA	Pos				S		Dat	M
4001001	18	Monat	NOUN	NN					S		Nom	M
4001001	19	in	ADP	APPRART					S		Dat	N
4001001	20	zweiter	ADJ	ADJA	Pos				S		Dat	M
4001001	21	Jahr	NOUN	NN					P		Nom	N
4001001	22	nach	ADP	APPR								
4001001	23	ihr	DET	PPOSAT					S		Dat	N
4001001	24	Auszug	NOUN	NN					P		Nom	M
4001001	25	aus	ADP	PTKVZ								
4001001	26	der	DET	ART					S		Dat	M
4001001	27	Land	NOUN	NN					P		Nom	N
4001001	28	Ägypten	PROPN	NE					S		Nom	N
4001001	29	und	CCONJ	KON								
4001001	30	sprechen	VERB	VVFIN		Fin	Past	3	S	Ind		
4001002	1	nehmet	NOUN	NE					S		Nom	N
4001002	2	auf	ADP	PTKVZ								
4001002	3	der	DET	ART					S		Nom	F
4001002	4	Summe	NOUN	NN					S		Nom	F
4001002	5	der	DET	ART					S		Nom	M
4001002	6	ganz	PRON	ADJA					S		Nom	M
4001002	7	Gemeinde	NOUN	NN					S		Nom	F
4001002	8	der	DET	ART					S		Nom	M
4001002	9	Kind	NOUN	NN					P		Nom	N
4001002	10	Israel	PROPN	NE					S		Nom	N
4001002	11	nach	ADP	APPR								
4001002	12	ihr	DET	PPOSAT					S		Acc	M
4001002	13	Geschlechter	NOUN	NN					P		Dat	M
4001002	14	nach	ADP	APPR								
4001002	15	ihr	DET	PPOSAT					S		Acc	M
4001002	16	Vaterhäuser	NOUN	NN					P		Dat	M
4001002	17	nach	ADP	APPR								
4001002	18	der	DET	ART					S		Nom	M
4001002	19	Zahl	NOUN	NN					S		Nom	F
4001002	20	der	DET	ART					S		Nom	M
4001002	21	Name	NOUN	NN					P		Nom	M
4001002	22	aller	PRON	PIS					P		Nom	
4001002	23	männlich	VERB	ADJA		Inf						
4001002	24	nach	ADP	APPR								
4001002	25	ihr	DET	PPOSAT					S		Acc	M
4001002	26	Kopf	NOUN	NN					P		Dat	M
4001003	1	von	ADP	APPR								
4001003	2	zwanzig	NUM	CARD								
4001003	3	Jahr	NOUN	NN					P		Dat	N
4001003	4	und	CCONJ	KON								
4001003	5	darüber	ADV	PROAV								
4001003	6	jeder	DET	PIS					S		Acc	M
4001003	7	der	DET	ART					S		Nom	M
4001003	8	zu	ADP	APPRART					S		Dat	N
4001003	9	Heer	NOUN	NN					P		Nom	M
4001003	10	ausziehen	VERB	VVFIN		Fin	Pres	3	S	Ind		
4001003	11	in	ADP	APPR								
4001003	12	Israel	PROPN	NE					S		Nom	N
4001003	13	der	DET	ART					S		Nom	F
4001003	14	sollten	AUX	VMFIN		Fin	Pres	3	S	Ind		
4001003	15	ihr	PRON	PPOSAT				3	S		Dat	F
4001003	16	Muster	NOUN	NN					S		Nom	N
4001003	17	nach	ADP	APPR								
4001003	18	ihr	DET	PPOSAT					S		Acc	M
4001003	19	Heere	NOUN	NN					P		Dat	M
4001003	20	du	PRON	PPER				2	S		Nom	
4001003	21	und	CCONJ	KON								
4001003	22	Aaron	PROPN	NE					S		Nom	M
4001004	1	und	CCONJ	KON								
4001004	2	je	ADV	ADV								
4001004	3	ein	DET	ART					S		Nom	N
4001004	4	Mann	NOUN	NN					S		Nom	M
4001004	5	für	ADP	APPR								
4001004	6	der	DET	ART					S		Acc	M
4001004	7	Stamm	NOUN	NN					S		Nom	M
4001004	8	sollen	AUX	VMFIN		Fin	Pres	3	S	Ind		
4001004	9	bei	ADP	APPR								
4001004	10	euch	PRON	PPER				2	P		Dat	
4001004	11	sein	AUX	VAINF		Inf						
4001004	12	ein	DET	ART					S		Nom	N
4001004	13	Mann	NOUN	NN					S		Nom	M
4001004	14	der	DET	ART					S		Nom	M
4001004	15	der	DET	ART					S		Nom	N
4001004	16	Haupt	NOUN	NN					S		Nom	N
4001004	17	von	ADP	APPR								
4001004	18	sein	DET	PPOSAT					S		Dat	M
4001004	19	Vaterhause	NOUN	NN					S		Nom	F
4001004	20	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
4001005	1	und	CCONJ	KON								
4001005	2	dieser	PRON	PDS					S		Nom	N
4001005	3	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
4001005	4	der	DET	ART					S		Nom	F
4001005	5	Name	NOUN	NN					P		Nom	M
4001005	6	der	DET	ART					S		Nom	M
4001005	7	Mann	NOUN	NN					P		Nom	M
4001005	8	der	DET	ART					S		Nom	F
4001005	9	euch	PRON	PPER				2	P		Dat	
4001005	10	beistehen	VERB	VVINF		Inf						
4001005	11	sollen	AUX	VMFIN		Fin	Pres	3	P	Ind		
4001005	12	für	ADP	APPR								
4001005	13	Ruben	PROPN	NE					S		Nom	M
4001005	14	Elizur	PRON	PPER				3	S		Nom	F
4001005	15	der	DET	ART					S		Nom	M
4001005	16	Sohn	NOUN	NN					S		Nom	M
4001005	17	Schedeurs	NOUN	NN					S		Nom	M
4001006	1	für	ADP	APPR								
4001006	2	Simeon	PROPN	NE					S		Nom	M
4001006	3	Schelumiel	NOUN	NE					S		Nom	N
4001006	4	der	DET	ART					S		Nom	M
4001006	5	Sohn	NOUN	NN					S		Nom	M
4001006	6	Zurischaddai	NOUN	NE					S		Nom	M
4001007	1	für	ADP	APPR								
4001007	2	Juda	PROPN	NE					S		Nom	M
4001007	3	Nachschon	X	FM								
4001007	4	der	DET	ART					S		Nom	M
4001007	5	Sohn	NOUN	NN					S		Nom	M
4001007	6	Amminadab	PROPN	NE					S		Nom	
4001008	1	für	ADP	APPR								
4001008	2	Issaschar	PROPN	NE					S		Nom	
4001008	3	nethaneel	PROPN	NN					S		Nom	
4001008	4	der	DET	ART					S		Nom	M
4001008	5	Sohn	NOUN	NN					S		Nom	M
4001008	6	Zuar	PROPN	NE					S		Gen	
4001009	1	für	ADP	APPR								
4001009	2	Sebulon	PROPN	NE					S		Nom	M
4001009	3	Eliab	NOUN	NN					S		Nom	F
4001009	4	der	DET	ART					S		Nom	M
4001009	5	Sohn	NOUN	NN					S		Nom	M
4001009	6	Helon	PROPN	NE					S		Gen	
4001010	1	für	ADP	APPR								
4001010	2	der	DET	ART					S		Nom	F
4001010	3	Sohn	NOUN	NN					P		Nom	M
4001010	4	Josephs	PROPN	NE					S		Nom	
4001010	5	für	ADP	APPR								
4001010	6	Ephraim	NOUN	NN					P		Nom	M
4001010	7	Elischama	PROPN	NE					S		Nom	
4001010	8	der	DET	ART					S		Nom	M
4001010	9	Sohn	NOUN	NN					S		Nom	M
4001010	10	Ammihud	NOUN	NN					S		Nom	N
4001010	11	für	ADP	APPR								
4001010	12	Manasse	PROPN	NE					S		Nom	
4001010	13	Gamliel	NOUN	NN					S		Nom	N
4001010	14	der	DET	ART					S		Nom	M
4001010	15	Sohn	NOUN	NN					S		Nom	M
4001010	16	Pedazurs	PROPN	NE					S		Nom	
4001011	1	für	ADP	APPR								
4001011	2	Benjamin	PROPN	NE					S		Nom	M
4001011	3	Abidan	PROPN	NE					S		Nom	
4001011	4	der	DET	ART					S		Nom	M
4001011	5	Sohn	NOUN	NN					S		Nom	M
4001011	6	Gideonis	NOUN	NN					S		Nom	N
4001012	1	für	ADP	APPR								
4001012	2	Dan	PROPN	NE					S		Nom	M
4001012	3	Achieser	NOUN	NN					S		Nom	N
4001012	4	der	DET	ART					S		Nom	M
4001012	5	Sohn	NOUN	NN					S		Nom	M
4001012	6	Ammischaddai	NOUN	NE					S		Nom	M
4001013	1	für	ADP	APPR								
4001013	2	Aser	PROPN	NE					S		Nom	
4001013	3	Pagiel	NOUN	NN					S		Nom	N
4001013	4	der	DET	ART					S		Nom	M
4001013	5	Sohn	NOUN	NN					S		Nom	M
4001013	6	Okran	PROPN	NE					S		Gen	
4001014	1	für	ADP	APPR								
