HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
40001001	1	Buch	NOUN	NN					S		Nom	N
40001001	2	der	DET	ART					S		Gen	M
40001001	3	Geschlecht	NOUN	NN					S		Gen	N
40001001	4	Jesu	PROPN	NE					S		Gen	
40001001	5	Christi	PROPN	NE					S		Nom	
40001001	6	der	DET	ART					S		Gen	M
40001001	7	Sohn	PROPN	NE					S		Gen	M
40001001	8	David	PROPN	NE					S		Gen	M
40001001	9	der	DET	ART					S		Gen	M
40001001	10	Sohn	PROPN	NE					S		Gen	M
40001001	11	Abraham	PROPN	NE					S		Gen	M
40001002	1	Abraham	PROPN	NE					S		Nom	M
40001002	2	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001002	3	Isaak	PROPN	NE					S		Nom	M
40001002	4	Isaak	PROPN	NE					S		Nom	M
40001002	5	aber	CCONJ	KON								
40001002	6	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001002	7	Jakob	PROPN	NE					S		Nom	M
40001002	8	Jakob	PROPN	NE					S		Nom	M
40001002	9	aber	CCONJ	KON								
40001002	10	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001002	11	Juda	PROPN	NE					S		Nom	M
40001002	12	und	CCONJ	KON								
40001002	13	sein	DET	PPOSAT					S		Nom	F
40001002	14	Bruder	NOUN	NN					P		Nom	M
40001003	1	Juda	PROPN	NE					S		Nom	M
40001003	2	aber	CCONJ	KON								
40001003	3	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001003	4	Phares	NOUN	NN					S		Nom	N
40001003	5	und	CCONJ	KON								
40001003	6	Zara	PROPN	NE					S		Nom	F
40001003	7	von	ADP	APPR								
40001003	8	der	DET	ART					S		Nom	M
40001003	9	Thamar	NOUN	NE					S		Nom	M
40001003	10	Phares	NOUN	NN					S		Nom	N
40001003	11	aber	CCONJ	KON								
40001003	12	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001003	13	Esrom	NOUN	NN					S		Nom	M
40001003	14	Esrom	NOUN	NN					S		Nom	M
40001003	15	aber	CCONJ	KON								
40001003	16	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001003	17	Aram	PROPN	NE					S		Nom	M
40001004	1	Aram	PROPN	NE					S		Nom	M
40001004	2	aber	CCONJ	KON								
40001004	3	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001004	4	Aminadab	PROPN	NN					S		Nom	
40001004	5	Aminadab	PROPN	NN					S		Nom	
40001004	6	aber	CCONJ	KON								
40001004	7	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001004	8	Nahasson	PROPN	NE					S		Nom	
40001004	9	Nahasson	PROPN	NE					S		Nom	
40001004	10	aber	CCONJ	KON								
40001004	11	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001004	12	Salmon	PROPN	NE					S		Nom	
40001005	1	Salmon	PROPN	NE					S		Nom	
40001005	2	aber	CCONJ	KON								
40001005	3	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001005	4	Boas	PROPN	NE					S		Nom	
40001005	5	von	ADP	APPR								
40001005	6	der	DET	ART					S		Nom	M
40001005	7	Rahab	PROPN	NE					S		Nom	
40001005	8	Boas	PROPN	NE					S		Nom	
40001005	9	aber	CCONJ	KON								
40001005	10	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001005	11	Obed	PROPN	NE					S		Nom	
40001005	12	von	ADP	APPR								
40001005	13	der	DET	ART					S		Nom	M
40001005	14	Ruth	PROPN	NE					S		Nom	F
40001005	15	Obed	PROPN	NE					S		Nom	
40001005	16	aber	CCONJ	KON								
40001005	17	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001005	18	Jesse	PROPN	NE					S		Nom	M
40001006	1	Jesse	PROPN	NE					S		Nom	M
40001006	2	aber	CCONJ	KON								
40001006	3	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001006	4	David	PROPN	NE					S		Nom	M
40001006	5	der	DET	ART					S		Acc	M
40001006	6	König	NOUN	NN					S		Nom	M
40001006	7	David	PROPN	NE					S		Nom	M
40001006	8	aber	CCONJ	KON								
40001006	9	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001006	10	Salomon	PROPN	NE					S		Nom	
40001006	11	von	ADP	APPR								
40001006	12	der	DET	ART					S		Nom	M
40001006	13	der	DET	ART					S		Nom	F
40001006	14	Urias	X	NE								
40001006	15	Weib	NOUN	NN					S		Nom	N
40001006	16	sein	AUX	VAPP		Part						
40001007	1	Salomon	PROPN	NE					S		Nom	
40001007	2	aber	CCONJ	KON								
40001007	3	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001007	4	Roboam	NOUN	NN					P		Nom	M
40001007	5	Roboam	NOUN	NN					P		Nom	M
40001007	6	aber	CCONJ	KON								
40001007	7	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001007	8	Abia	PROPN	NE					S		Nom	
40001007	9	Abia	PROPN	NE					S		Nom	
40001007	10	aber	CCONJ	KON								
40001007	11	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001007	12	Asa	PROPN	NE					S		Nom	
40001008	1	Asa	PROPN	NE					S		Nom	
40001008	2	aber	CCONJ	KON								
40001008	3	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001008	4	Josaphat	PROPN	NE								
40001008	5	Josaphat	PROPN	NE								
40001008	6	aber	CCONJ	KON								
40001008	7	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001008	8	Joram	PROPN	NE					S		Nom	M
40001008	9	Joram	PROPN	NE					S		Nom	M
40001008	10	aber	CCONJ	KON								
40001008	11	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001008	12	Osia	PROPN	NE					S		Nom	
40001009	1	Osia	PROPN	NE					S		Nom	
40001009	2	aber	CCONJ	KON								
40001009	3	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001009	4	Joatham	PROPN	NE					S		Nom	F
40001009	5	Joatham	PROPN	NE					S		Nom	F
40001009	6	aber	CCONJ	KON								
40001009	7	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001009	8	Acha	PROPN	NE					S		Nom	
40001009	9	Acha	PROPN	NE					S		Nom	
40001009	10	aber	CCONJ	KON								
40001009	11	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001009	12	Ezekia	NOUN	NN					S		Nom	F
40001010	1	Ezekia	NOUN	NN					S		Nom	F
40001010	2	aber	CCONJ	KON								
40001010	3	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001010	4	Manasse	PROPN	NE					S		Nom	
40001010	5	Manasse	PROPN	NE					S		Nom	
40001010	6	aber	CCONJ	KON								
40001010	7	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001010	8	Amon	PROPN	NE					S		Nom	
40001010	9	Amon	PROPN	NE					S		Nom	
40001010	10	aber	CCONJ	KON								
40001010	11	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001010	12	Josia	PROPN	NE					S		Nom	N
40001011	1	Josia	PROPN	NE					S		Nom	N
40001011	2	aber	CCONJ	KON								
40001011	3	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001011	4	Jechonia	PROPN	NE					S		Nom	F
40001011	5	und	CCONJ	KON								
40001011	6	sein	DET	PPOSAT					S		Nom	F
40001011	7	Bruder	NOUN	NN					P		Nom	M
40001011	8	um	ADP	APPR								
40001011	9	der	DET	ART					S		Nom	F
40001011	10	Zeit	NOUN	NN					S		Nom	F
40001011	11	der	DET	ART					S		Nom	M
40001011	12	Wegführung	NOUN	NN					S		Nom	F
40001011	13	nach	ADP	APPR								
40001011	14	Babylon	PROPN	NE					S		Nom	N
40001012	1	nach	ADP	APPR								
40001012	2	der	DET	ART					S		Nom	M
40001012	3	Wegführung	NOUN	NN					S		Nom	F
40001012	4	nach	ADP	APPR								
40001012	5	Babylon	PROPN	NE					S		Nom	N
40001012	6	aber	CCONJ	KON								
40001012	7	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001012	8	Jechonia	PROPN	NE					S		Nom	F
40001012	9	Salathiel	PROPN	NE					S		Nom	
40001012	10	Salathiel	PROPN	NE					S		Nom	
40001012	11	aber	CCONJ	KON								
40001012	12	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001012	13	Zorobabel	NOUN	NE					S		Nom	M
40001013	1	Zorobabel	NOUN	NE					S		Nom	M
40001013	2	aber	CCONJ	KON								
40001013	3	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001013	4	Abiud	NOUN	NN					S		Nom	M
40001013	5	Abiud	NOUN	NN					S		Nom	M
40001013	6	aber	CCONJ	KON								
40001013	7	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001013	8	Eliakim	NOUN	NN					S		Nom	M
40001013	9	Eliakim	NOUN	NN					S		Nom	M
40001013	10	aber	CCONJ	KON								
40001013	11	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001013	12	Asor	NOUN	NN					S		Nom	M
40001014	1	Asor	NOUN	NN					S		Nom	M
40001014	2	aber	CCONJ	KON								
40001014	3	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001014	4	Zadok	NOUN	NE					P		Nom	M
40001014	5	Zadok	NOUN	NE					P		Nom	M
40001014	6	aber	CCONJ	KON								
40001014	7	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001014	8	Achim	PROPN	NE					S		Nom	M
40001014	9	Achim	PROPN	NE					S		Nom	M
40001014	10	aber	CCONJ	KON								
40001014	11	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001014	12	Eliud	NOUN	NN					S		Nom	M
40001015	1	Eliud	NOUN	NN					S		Nom	M
40001015	2	aber	CCONJ	KON								
40001015	3	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001015	4	Eleasar	NOUN	NN					S		Nom	M
40001015	5	Eleasar	NOUN	NN					S		Nom	M
40001015	6	aber	CCONJ	KON								
40001015	7	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001015	8	Matthan	PROPN	NE					S		Nom	
40001015	9	Matthan	PROPN	NE					S		Nom	
40001015	10	aber	CCONJ	KON								
40001015	11	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001015	12	Jakob	PROPN	NE					S		Nom	M
40001016	1	Jakob	PROPN	NE					S		Nom	M
40001016	2	aber	CCONJ	KON								
40001016	3	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
40001016	4	Joseph	PROPN	NE					S		Nom	M
40001016	5	der	DET	ART					S		Acc	M
40001016	6	Mann	NOUN	NN					S		Nom	M
40001016	7	der	DET	ART					S		Nom	M
40001016	8	Maria	PROPN	NE					S		Nom	F
40001016	9	von	ADP	APPR								
40001016	10	welcher	PRON	PWAT					S		Nom	M
40001016	11	Jesus	PROPN	PPER					S		Nom	M
40001016	12	gebären	VERB	VVPP		Part						
40001016	13	werden	AUX	VAFIN		Fin	Past	3	S	Ind		
40001016	14	der	DET	ART					S		Nom	M
40001016	15	Christus	PROPN	NE					S		Nom	M
40001016	16	nennen	VERB	VVPP		Part						
40001016	17	werden	AUX	VAFIN		Fin	Pres	3	S	Ind		
40001017	1	so	ADV	ADV								
40001017	2	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
40001017	3	nun	ADV	ADV								
40001017	4	aller	PRON	PIS					P		Nom	
40001017	5	Geschlecht	NOUN	NN					P		Nom	N
40001017	6	von	ADP	APPR								
40001017	7	Abraham	PROPN	NE					S		Nom	M
40001017	8	bis	CCONJ	KON								
40001017	9	auf	ADP	PTKVZ								
40001017	10	David	PROPN	NE					S		Nom	M
40001017	11	vierzehn	NUM	CARD								
40001017	12	Geschlecht	NOUN	NN					P		Nom	N
40001017	13	und	CCONJ	KON								
40001017	14	von	ADP	APPR								
40001017	15	David	PROPN	NE					S		Nom	M
40001017	16	bis	CCONJ	KON								
40001017	17	zu	ADP	APPRART					S		Dat	F
40001017	18	Wegführung	NOUN	NN					S		Nom	F
40001017	19	nach	ADP	APPR								
40001017	20	Babylon	PROPN	NE					S		Nom	N
