HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
41001001	1	Anfang	NOUN	NN					S			M
41001001	2	der	DET	ART					S		Gen	M
41001001	3	Evangelium	NOUN	NN					S		Gen	N
41001001	4	Jesu	PROPN	NE					S		Gen	
41001001	5	Christi	PROPN	NE					S		Nom	
41001001	6	der	DET	ART					S		Gen	M
41001001	7	Sohn	PROPN	NE					S		Gen	M
41001001	8	Gott	NOUN	NN					S		Gen	M
41001002	1	wie	ADP	KOKOM								
41001002	2	schreiben	VERB	VVPP		Part						
41001002	3	stehen	VERB	VVFIN		Fin	Pres	3	S	Ind		
41001002	4	in	ADP	APPR								
41001002	5	Jesaia	PROPN	NE					S		Gen	
41001002	6	der	DET	ART					S		Dat	M
41001002	7	Prophet	NOUN	NN					P		Nom	M
41001002	8	sehen	VERB	VVIMP				2	S	Imp		
41001002	9	ich	PRON	PPER				1	S		Nom	
41001002	10	senden	VERB	VVFIN		Fin	Pres	3	S	Sub		
41001002	11	meinen	VERB	VVFIN		Fin	Pres	3	P	Ind		
41001002	12	Bote	NOUN	NN					P		Nom	M
41001002	13	vor	ADP	APPR								
41001002	14	dein	DET	PPOSAT					S		Dat	M
41001002	15	Angesicht	NOUN	NN					S		Nom	F
41001002	16	her	ADV	ADV								
41001002	17	der	DET	ART					S		Nom	M
41001002	18	dein	DET	PPOSAT					S		Acc	M
41001002	19	Weg	NOUN	NN					S		Nom	M
41001002	20	bereiten	VERB	VVFIN		Fin	Pres	3	P	Ind		
41001002	21	werden	AUX	VAFIN		Fin	Pres	3	S	Ind		
41001003	1	Stimme	NOUN	NN					S		Nom	F
41001003	2	ein	PRON	ART					S		Nom	N
41001003	3	Rufende	NOUN	NN					P		Acc	F
41001003	4	in	ADP	APPR								
41001003	5	der	DET	ART					S		Nom	M
41001003	6	Wüste	NOUN	NN					S		Nom	F
41001003	7	Bereiten	VERB	VVPP		Part						
41001003	8	der	DET	ART					S		Acc	M
41001003	9	Weg	NOUN	NN					S		Nom	M
41001003	10	der	DET	ART					S		Gen	M
41001003	11	Herr	NOUN	NN					S		Acc	M
41001003	12	Machet	VERB	VVFIN		Fin	Pres	3	S	Ind		
41001003	13	gerade	ADV	ADV								
41001003	14	sein	DET	PPOSAT					S		Nom	F
41001003	15	Steige	NOUN	NN					S		Nom	F
41001004	1	Johannes	PROPN	NE					S		Nom	M
41001004	2	kommen	VERB	VVFIN		Fin	Past	3	S	Ind		
41001004	3	und	CCONJ	KON								
41001004	4	taufen	VERB	VVFIN		Fin	Past	3	S	Ind		
41001004	5	in	ADP	APPR								
41001004	6	der	DET	ART					S		Nom	M
41001004	7	Wüste	NOUN	NN					S		Nom	F
41001004	8	und	CCONJ	KON								
41001004	9	predigen	VERB	VVFIN		Fin	Past	3	S	Ind		
41001004	10	der	DET	ART					S		Nom	F
41001004	11	Taufe	NOUN	NN					S		Nom	F
41001004	12	der	DET	ART					S		Nom	M
41001004	13	Buße	NOUN	NN					S		Nom	F
41001004	14	zu	ADP	APPRART					S		Dat	F
41001004	15	Vergebung	NOUN	NN					S		Nom	F
41001004	16	der	DET	ART					S		Nom	M
41001004	17	Sünde	NOUN	NN					P		Nom	F
41001005	1	und	CCONJ	KON								
41001005	2	es	PRON	PPER				3	S		Nom	N
41001005	3	gehen	VERB	VVFIN		Fin	Past	3	S	Ind		
41001005	4	zu	ADP	PTKVZ								
41001005	5	ihm	PRON	PPER				3	S		Dat	M
41001005	6	hinaus	ADP	APZR								
41001005	7	der	DET	ART					S		Nom	N
41001005	8	ganz	ADJ	ADJA	Pos				S		Nom	F
41001005	9	jüdisch	ADJ	ADJA	Pos				S		Nom	F
