HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
42001001	1	Sintemal	PROPN	NE					S		Nom	
42001001	2	es	PRON	PPER				3	S		Nom	N
42001001	3	vieler	PRON	PIS					P		Nom	
42001001	4	unternehmen	VERB	VVPP		Part						
42001001	5	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
42001001	6	ein	DET	ART					S		Nom	F
42001001	7	Erzählung	NOUN	NN					S		Nom	F
42001001	8	von	ADP	APPR								
42001001	9	der	DET	ART					S		Acc	M
42001001	10	Ding	NOUN	NN					P		Dat	N
42001001	11	der	DET	ART					S		Nom	F
42001001	12	unter	ADP	APPR								
42001001	13	uns	PRON	PPER				1	P		Acc	
42001001	14	völlig	ADV	ADJD	Pos							
42001001	15	glauben	VERB	VVPP		Part						
42001001	16	werden	AUX	VAFIN		Fin	Pres	3	P	Ind		
42001001	17	zu	ADP	PTKVZ								
42001001	18	verfassen	VERB	VVINF		Inf						
42001002	1	so	ADV	ADV								
42001002	2	wie	ADP	KOKOM								
42001002	3	es	PRON	PPER				3	S		Nom	N
42001002	4	uns	PRON	PPER				1	P		Acc	
42001002	5	der	DET	ART					S		Nom	F
42001002	6	überliefern	VERB	VVPP		Part						
42001002	7	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
42001002	8	welcher	DET	PWAT					S		Nom	F
42001002	9	von	ADP	APPR								
42001002	10	Anfang	NOUN	NN					S			M
42001002	11	an	ADP	PTKVZ								
42001002	12	Augenzeuge	NOUN	NN					P		Nom	M
42001002	13	und	CCONJ	KON								
42001002	14	Diener	NOUN	NN					P		Nom	M
42001002	15	der	DET	ART					S		Gen	M
42001002	16	Wort	NOUN	NN					S		Gen	N
42001002	17	sein	AUX	VAPP		Part						
42001002	18	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
42001003	1	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
42001003	2	es	PRON	PPER				3	S		Nom	N
42001003	3	auch	ADV	ADV								
42001003	4	mir	PRON	PPER				1	S		Dat	
42001003	5	gut	ADV	ADJD	Pos							
42001003	6	geschien	VERB	VVPP		Part						
42001003	7	der	DET	ART					S		Nom	M
