HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
43001001	1	in	ADP	APPRART					S		Dat	M
43001001	2	Anfang	NOUN	NN					S			M
43001001	3	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
43001001	4	der	DET	ART					S		Nom	N
43001001	5	Wort	NOUN	NN					S		Nom	N
43001001	6	und	CCONJ	KON								
43001001	7	der	DET	ART					S		Nom	N
43001001	8	Wort	NOUN	NN					S		Nom	N
43001001	9	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
43001001	10	bei	ADP	APPR								
43001001	11	Gott	NOUN	NN					S		Nom	M
43001001	12	und	CCONJ	KON								
43001001	13	der	DET	ART					S		Nom	N
43001001	14	Wort	NOUN	NN					S		Nom	N
43001001	15	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
43001001	16	Gott	NOUN	NN					S		Nom	M
43001002	1	dieser	PRON	PDS					S		Nom	N
43001002	2	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
43001002	3	in	ADP	APPRART					S		Dat	N
43001002	4	Anfang	NOUN	NN					S			M
43001002	5	bei	ADP	APPR								
43001002	6	Gott	NOUN	NN					S		Nom	M
43001003	1	alle	PRON	PIS					S		Nom	N
43001003	2	werden	VERB	VAFIN		Fin	Past	3	S	Ind		
43001003	3	durch	ADP	APPR								
43001003	4	Dasselbe	DET	PDAT					S		Nom	N
43001003	5	und	CCONJ	KON								
43001003	6	ohne	ADP	APPR								
43001003	7	Dasselbe	DET	PDAT					S		Nom	N
43001003	8	werden	VERB	VAFIN		Fin	Past	3	S	Ind		
43001003	9	auch	ADV	ADV								
43001003	10	nicht	PART	PTKNEG								
43001003	11	ein	PRON	ART					S		Nom	N
43001003	12	der	DET	ART					S		Nom	N
43001003	13	werden	AUX	VAPP		Part						
43001003	14	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
43001004	1	in	ADP	APPR								
43001004	2	ihm	PRON	PPER				3	S		Dat	M
43001004	3	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
43001004	4	Leben	NOUN	NN					S		Nom	N
43001004	5	und	CCONJ	KON								
43001004	6	der	DET	ART					S		Nom	N
43001004	7	Leben	NOUN	NN					S		Nom	N
43001004	8	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
43001004	9	der	DET	ART					S		Nom	N
43001004	10	Licht	NOUN	NN					S		Nom	N
43001004	11	der	DET	ART					S		Nom	M
43001004	12	Mensch	NOUN	NN					P		Nom	M
43001005	1	und	CCONJ	KON								
43001005	2	der	DET	ART					S		Nom	N
43001005	3	Licht	NOUN	NN					S		Nom	N
43001005	4	scheinen	VERB	VVFIN		Fin	Pres	3	S	Ind		
43001005	5	in	ADP	APPR								
43001005	6	der	DET	ART					S		Nom	M
43001005	7	Finsternis	NOUN	NN					S		Nom	F
43001005	8	und	CCONJ	KON								
43001005	9	der	DET	ART					S		Nom	F
43001005	10	Finsternis	NOUN	NN					S		Nom	F
43001005	11	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
43001005	12	es	PRON	PPER				3	S		Nom	N
43001005	13	nicht	PART	PTKNEG								
43001005	14	erfassen	VERB	VVPP		Part						
43001006	1	da	SCONJ	KOUS								
43001006	2	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
43001006	3	ein	DET	ART					S		Nom	N
43001006	4	Mensch	NOUN	NN					S		Nom	M
43001006	5	von	ADP	APPR								
43001006	6	Gott	NOUN	NN					S		Nom	M
43001006	7	gesandt	VERB	VVPP		Part						
43001006	8	sein	AUX	VAINF		Inf						
43001006	9	Name	NOUN	NN					S		Nom	M
43001006	10	Johannes	PROPN	NE					S		Nom	M
43001007	1	dieser	PRON	PDS					S		Nom	M
43001007	2	kommen	VERB	VVFIN		Fin	Past	3	S	Ind		
43001007	3	zu	ADP	APPRART					S		Dat	N
43001007	4	Zeugnis	NOUN	NN					S		Nom	N
43001007	5	auf	ADP	PTKVZ								
43001007	6	daß	SCONJ	KOUS								
43001007	7	er	PRON	PPER				3	S		Nom	M
43001007	8	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
43001007	9	von	ADP	APPR								
43001007	10	der	DET	ART					S		Dat	M
43001007	11	Licht	NOUN	NN					P		Nom	N
43001007	12	damit	ADV	PROAV								
43001007	13	aller	PRON	PIS					P		Nom	
43001007	14	durch	ADP	APPR								
43001007	15	ihn	PRON	PPER				3	S		Acc	M
43001007	16	glauben	VERB	VVFIN		Fin	Past	3	P	Ind		
43001008	1	er	PRON	PPER				3	S		Nom	M
43001008	2	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
43001008	3	nicht	PART	PTKNEG								
43001008	4	der	DET	ART					S		Nom	N
43001008	5	Licht	NOUN	NN					S		Nom	N
43001008	6	sondern	CCONJ	KON								
43001008	7	auf	ADP	PTKVZ								
43001008	8	daß	SCONJ	KOUS								
43001008	9	er	PRON	PPER				3	S		Nom	M
43001008	10	zeugen	VERB	VVFIN		Fin	Past	3	S	Ind		
43001008	11	von	ADP	APPR								
43001008	12	der	DET	ART					S		Dat	M
43001008	13	Licht	NOUN	NN					P		Nom	N
43001009	1	der	DET	ART					S		Nom	N
43001009	2	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
43001009	3	der	DET	ART					S		Nom	N
43001009	4	wahrhaftig	ADJ	ADJA	Pos				S		Nom	F
43001009	5	Licht	NOUN	NN					S		Nom	N
43001009	6	welcher	DET	PWAT					S		Acc	N
43001009	7	in	ADP	APPR								
43001009	8	der	DET	ART					S		Nom	F
43001009	9	Welt	NOUN	NN					S		Nom	F
43001009	10	kommend	ADV	ADJD	Pos							
43001009	11	jeder	DET	PIS					S		Acc	M
43001009	12	Mensch	NOUN	NN					P		Nom	M
43001009	13	erleuchten	VERB	VVPP		Part						
43001010	1	er	PRON	PPER				3	S		Nom	M
43001010	2	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
43001010	3	in	ADP	APPR								
43001010	4	der	DET	ART					S		Nom	M
43001010	5	Welt	NOUN	NN					S		Nom	F
43001010	6	und	CCONJ	KON								
43001010	7	der	DET	ART					S		Nom	F
43001010	8	Welt	NOUN	NN					S		Nom	F
43001010	9	werden	VERB	VAFIN		Fin	Past	3	S	Ind		
43001010	10	durch	ADP	APPR								
43001010	11	ihn	PRON	PPER				3	S		Acc	M
43001010	12	und	CCONJ	KON								
43001010	13	der	DET	ART					S		Nom	F
43001010	14	Welt	NOUN	NN					S		Nom	F
43001010	15	kennen	VERB	VVFIN		Fin	Past	3	S	Ind		
43001010	16	ihn	PRON	PPER				3	S		Acc	M
43001010	17	nicht	PART	PTKNEG								
43001011	1	er	PRON	PPER				3	S		Nom	M
43001011	2	kommen	VERB	VVFIN		Fin	Past	3	S	Ind		
43001011	3	in	ADP	APPR								
43001011	4	der	DET	ART					S		Nom	N
43001011	5	seinige	NOUN	PIS					P		Nom	
43001011	6	und	CCONJ	KON								
43001011	7	der	DET	ART					S		Nom	F
43001011	8	seinigen	NOUN	NN					S		Acc	M
43001011	9	nehmen	VERB	VVFIN		Fin	Past	3	P	Ind		
43001011	10	ihn	PRON	PPER				3	S		Acc	M
43001011	11	nicht	PART	PTKNEG								
43001011	12	an	ADP	PTKVZ								
43001012	1	so	ADV	ADV								
43001012	2	vieler	PRON	PIS					P		Nom	
43001012	3	ihn	PRON	PPER				3	S		Acc	M
43001012	4	aber	CCONJ	KON								
43001012	5	Aufnahme	NOUN	NN					P		Nom	F
43001012	6	der	PRON	PDS					P		Dat	
43001012	7	geben	VERB	VVFIN		Fin	Past	3	S	Ind		
43001012	8	er	PRON	PPER				3	S		Nom	M
43001012	9	der	DET	ART					S		Nom	N
43001012	10	Recht	NOUN	NN					S		Nom	N
43001012	11	Kind	NOUN	NN					P		Nom	N
43001012	12	Gott	NOUN	NN					S		Gen	M
43001012	13	zu	ADP	PTKVZ								
43001012	14	werden	AUX	VAFIN		Fin	Pres	3	P	Ind		
43001012	15	der	PRON	PDS					P		Dat	
43001012	16	der	DET	ART					S		Nom	F
43001012	17	an	ADP	PTKVZ								
43001012	18	sein	DET	PPOSAT					S		Acc	M
43001012	19	Name	NOUN	NN					P		Nom	M
43001012	20	glauben	VERB	VVFIN		Fin	Pres	3	P	Ind		
43001013	1	welcher	DET	PWAT					S		Nom	F
43001013	2	nicht	PART	PTKNEG								
43001013	3	aus	ADP	PTKVZ								
43001013	4	Geblüt	NOUN	NN					S		Nom	N
43001013	5	noch	CCONJ	KON								
43001013	6	aus	ADP	PTKVZ								
43001013	7	der	DET	ART					S		Dat	M
43001013	8	Wille	NOUN	NN					S		Acc	M
43001013	9	der	DET	ART					S		Gen	M
43001013	10	Fleisch	NOUN	NN					S		Nom	N
43001013	11	noch	CCONJ	KON								
43001013	12	aus	ADP	PTKVZ								
43001013	13	der	DET	ART					S		Dat	M
43001013	14	Wille	NOUN	NN					S		Acc	M
43001013	15	der	DET	ART					S		Gen	M
43001013	16	Mann	NOUN	NN					S		Gen	M
43001013	17	sondern	CCONJ	KON								
43001013	18	aus	ADP	PTKVZ								
43001013	19	Gott	NOUN	NN					S		Nom	M
43001013	20	gebären	VERB	VVPP		Part						
43001013	21	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
43001014	1	und	CCONJ	KON								
43001014	2	der	DET	ART					S		Nom	N
43001014	3	Wort	NOUN	NN					S		Nom	N
43001014	4	werden	VERB	VAFIN		Fin	Past	3	S	Ind		
43001014	5	Fleisch	NOUN	NN					S		Nom	N
43001014	6	und	CCONJ	KON								
43001014	7	wohnen	VERB	VVFIN		Fin	Past	3	S	Ind		
43001014	8	unter	ADP	APPR								
43001014	9	uns	PRON	PPER				1	P		Acc	
43001014	10	und	CCONJ	KON								
43001014	11	wir	PRON	PPER				1	P		Nom	
43001014	12	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
43001014	13	sein	DET	PPOSAT					S		Nom	F
43001014	14	Herrlichkeit	NOUN	NN					S		Nom	F
43001014	15	anschauen	VERB	VVPP		Part						
43001014	16	ein	DET	ART					S		Nom	F
43001014	17	Herrlichkeit	NOUN	NN					S		Nom	F
43001014	18	als	ADP	KOKOM								
43001014	19	ein	PRON	ART					S		Nom	N
43001014	20	eingeboren	NOUN	NN					P		Dat	M
43001014	21	von	ADP	APPRART					S		Dat	N
43001014	22	Vater	NOUN	NN					S		Nom	M
43001014	23	voll	ADP	APPR								
43001014	24	Gnade	NOUN	NN					S		Nom	F
43001014	25	und	CCONJ	KON								
43001014	26	Wahrheit	NOUN	NN					S		Nom	F
43001015	1	Johannes	PROPN	NE					S		Nom	M
43001015	2	zeugen	VERB	VVFIN		Fin	Pres	3	S	Ind		
43001015	3	von	ADP	APPR								
43001015	4	ihm	PRON	PPER				3	S		Dat	M
43001015	5	und	CCONJ	KON								
43001015	6	rufen	VERB	VVFIN		Fin	Past	3	S	Ind		
43001015	7	und	CCONJ	KON								
43001015	8	sprechen	VERB	VVFIN		Fin	Past	3	S	Ind		
43001015	9	dieser	PRON	PDS					S		Nom	M
43001015	10	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
43001015	11	es	PRON	PPER				3	S		Nom	N
43001015	12	von	ADP	APPR								
43001015	13	der	DET	ART					S		Dat	M
43001015	14	ich	PRON	PPER				1	S		Nom	
43001015	15	sagen	VERB	VVFIN		Fin	Past	3	S	Ind		
43001015	16	der	DET	ART					S		Nom	M
43001015	17	nach	ADP	APPR								
43001015	18	mir	PRON	PPER				1	S		Dat	
43001015	19	kommend	ADJ	ADJA	Pos				S		Nom	N
43001015	20	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
43001015	21	mir	PRON	PPER				1	S		Dat	
43001015	22	vor	ADP	APPR								
43001015	23	denn	CCONJ	KON								
43001015	24	er	PRON	PPER				3	S		Nom	M
43001015	25	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
43001015	26	vor	ADP	APPR								
43001015	27	mir	PRON	PPER				1	S		Dat	
43001016	1	denn	CCONJ	KON								
43001016	2	aus	ADP	PTKVZ								
43001016	3	sein	DET	PPOSAT					S		Dat	F
43001016	4	Fülle	NOUN	NN					S		Nom	F
43001016	5	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
43001016	6	wir	PRON	PPER				1	P		Nom	
43001016	7	aller	PRON	PIS					P		Nom	
43001016	8	empfangen	VERB	VVPP		Part						
43001016	9	und	CCONJ	KON								
43001016	10	zwar	ADV	ADV								
43001016	11	Gnade	NOUN	NN					S		Nom	F
43001016	12	um	ADP	APPR								
43001016	13	Gnade	NOUN	NN					S		Nom	F
43001017	1	denn	CCONJ	KON								
43001017	2	der	DET	ART					S		Nom	N
43001017	3	Gesetz	NOUN	NN					S		Nom	N
43001017	4	werden	AUX	VAFIN		Fin	Past	3	S	Ind		
43001017	5	durch	ADP	APPR								
43001017	6	Moses	PROPN	NE					S		Nom	M
43001017	7	geben	VERB	VVPP		Part						
43001017	8	der	DET	ART					S		Nom	F
43001017	9	Gnade	NOUN	NN					S		Nom	F
43001017	10	und	CCONJ	KON								
43001017	11	der	DET	ART					S		Nom	F
43001017	12	Wahrheit	NOUN	NN					S		Nom	F
43001017	13	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
43001017	14	durch	ADP	APPR								
43001017	15	Jesum	PROPN	XY					S		Nom	M
43001017	16	Christum	NOUN	NN					S		Nom	N
43001017	17	werden	AUX	VAPP		Part						
43001018	1	niemand	PRON	PIS					S		Nom	M
43001018	2	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
43001018	3	Gott	NOUN	NN					S		Nom	M
43001018	4	jemals	ADV	ADV								
43001018	5	sehen	VERB	VVPP		Part						
43001018	6	der	DET	ART					S		Nom	M
43001018	7	eingeboren	ADJ	ADJA	Pos				S		Nom	F
43001018	8	Sohn	NOUN	NN					S		Nom	M
43001018	9	der	DET	ART					S		Nom	M
43001018	10	in	ADP	APPR								
43001018	11	der	DET	ART					S		Gen	M
43001018	12	Vater	NOUN	NN					S		Gen	M
43001018	13	schoß	NOUN	PTKVZ					S		Acc	M
43001018	14	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
43001018	15	der	DET	ART					S		Nom	M
43001018	16	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
43001018	17	ihn	PRON	PPER				3	S		Acc	M
43001018	18	kundgemachen	VERB	VVPP		Part						
43001019	1	und	CCONJ	KON								
43001019	2	dieser	PRON	PDS					S		Nom	N
43001019	3	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
43001019	4	der	DET	ART					S		Nom	N
43001019	5	Zeugnis	NOUN	NN					S		Nom	N
43001019	6	der	DET	ART					S		Gen	M
43001019	7	Johannes	PROPN	NE					S		Nom	M
43001019	8	als	ADP	KOKOM								
43001019	9	der	DET	ART					S		Nom	F
43001019	10	Jude	NOUN	NN					P		Nom	M
43001019	11	aus	ADP	PTKVZ								
43001019	12	Jerusalem	PROPN	NE					S		Nom	N
