HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
44001001	1	der	DET	ART					S		Acc	M
44001001	2	erster	ADJ	ADJA	Pos				S		Dat	M
44001001	3	Bericht	NOUN	NN					S		Nom	M
44001001	4	haben	AUX	VAFIN		Fin	Pres	3	S	Sub		
44001001	5	ich	PRON	PPER				1	S		Nom	
44001001	6	verfassen	VERB	VVPP		Part						
44001001	7	o	PROPN	NE					S		Nom	
44001001	8	Theophilus	NOUN	NN					S		Nom	M
44001001	9	von	ADP	APPR								
44001001	10	alle	PRON	PIS					S		Dat	N
44001001	11	was	PRON	PWS					S		Nom	N
44001001	12	Jesus	PROPN	PPER					S		Nom	M
44001001	13	anfing	VERB	VVFIN		Fin	Past	3	S	Ind		
44001001	14	sowohl	CCONJ	KON								
44001001	15	zu	ADP	PTKVZ								
44001001	16	tun	VERB	VVINF		Inf						
44001001	17	als	ADP	KOKOM								
44001001	18	auch	ADV	ADV								
44001001	19	zu	ADP	PTKVZ								
44001001	20	lehren	VERB	VVINF		Inf						
44001002	1	bis	CCONJ	KON								
44001002	2	zu	ADP	PTKVZ								
44001002	3	der	DET	ART					S		Dat	M
44001002	4	Tag	NOUN	NN					P		Nom	M
44001002	5	an	ADP	PTKVZ								
44001002	6	welcher	DET	PWAT					S		Dat	N
44001002	7	er	PRON	PPER				3	S		Nom	M
44001002	8	aufnehmen	VERB	VVPP		Part						
44001002	9	werden	AUX	VAFIN		Fin	Past	3	S	Ind		
44001002	10	nachdem	SCONJ	KOUS								
44001002	11	er	PRON	PPER				3	S		Nom	M
44001002	12	der	DET	ART					S		Acc	M
44001002	13	Apostel	NOUN	NN					P		Dat	M
44001002	14	der	DET	ART					S		Nom	F
44001002	15	er	PRON	PPER				3	S		Nom	M
44001002	16	sich	PRON	PRF				3	S		Acc	
44001002	17	auserwählen	VERB	VVPP		Part						
44001002	18	durch	ADP	APPR								
44001002	19	der	DET	ART					S		Acc	M
44001002	20	heilig	NOUN	NN					P		Dat	
44001002	21	Geist	NOUN	NN					S		Nom	M
44001002	22	Befehl	NOUN	NN					S		Nom	M
44001002	23	geben	VERB	VVPP		Part						
44001002	24	haben	AUX	VAFIN		Fin	Past	3	S	Ind		
44001003	1	welcher	DET	PWAT					S		Acc	M
44001003	2	er	PRON	PPER				3	S		Nom	M
44001003	3	sich	PRON	PRF				3	S		Acc	
44001003	4	auch	ADV	ADV								
44001003	5	nach	ADP	APPR								
44001003	6	sein	DET	PPOSAT					S		Dat	M
44001003	7	leiden	NOUN	NN					S		Nom	N
44001003	8	in	ADP	APPR								
44001003	9	vieler	PRON	PIS					P		Dat	N
44001003	10	sicher	ADJ	ADJA	Pos				S		Acc	M
44001003	11	Kennzeichen	NOUN	NN					S		Nom	N
44001003	12	lebendig	ADV	ADJD	Pos							
44001003	13	darstellen	VERB	VVPP		Part						
44001003	14	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
44001003	15	indem	SCONJ	KOUS								
44001003	16	er	PRON	PPER				3	S		Nom	M
44001003	17	vierzig	NUM	CARD								
44001003	18	Tag	NOUN	NN					P		Nom	M
44001003	19	Hindurch	ADV	PROAV								
44001003	20	von	ADP	APPR								
44001003	21	ihnen	PRON	PPER				3	P		Dat	
44001003	22	sehen	VERB	VVPP		Part						
44001003	23	werden	AUX	VAFIN		Fin	Past	3	S	Ind		
44001003	24	und	CCONJ	KON								
44001003	25	über	ADP	APPR								
44001003	26	der	DET	ART					S		Nom	F
44001003	27	Ding	NOUN	NN					P		Nom	N
44001003	28	reden	VERB	VVFIN		Fin	Past	3	S	Ind		
44001003	29	welcher	DET	PWAT					S		Nom	F
44001003	30	der	DET	ART					S		Nom	N
44001003	31	Reich	NOUN	NE					S		Nom	N
44001003	32	Gott	NOUN	NN					S		Gen	M
44001003	33	betreffen	VERB	VVFIN		Fin	Pres	3	P	Ind		
44001004	1	und	CCONJ	KON								
44001004	2	als	ADP	KOKOM								
