HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
45001001	1	Paulus	PROPN	NE					S		Nom	M
45001001	2	Knecht	NOUN	NN					S		Nom	M
45001001	3	Jesu	PROPN	NE					S		Gen	
45001001	4	Christi	PROPN	NE					S		Nom	
45001001	5	berufen	ADJ	ADJA	Pos				S		Nom	M
45001001	6	Apostel	NOUN	NN					P		Nom	M
45001001	7	abgesondert	VERB	VVPP		Part						
45001001	8	zu	ADP	APPRART					S		Dat	N
45001001	9	Evangelium	NOUN	NN					S		Nom	N
45001001	10	Gott	NOUN	NN					S		Gen	M
45001002	1	welcher	DET	PWAT					S		Acc	N
45001002	2	er	PRON	PPER				3	S		Nom	M
45001002	3	durch	ADP	APPR								
45001002	4	sein	DET	PPOSAT					S		Nom	F
45001002	5	Prophet	NOUN	NN					P		Nom	M
45001002	6	in	ADP	APPR								
45001002	7	heilig	ADJ	ADJA	Pos				S		Acc	M
45001002	8	Schrift	NOUN	NN					P		Nom	F
45001002	9	zuvor	ADV	ADV								
45001002	10	verheißen	VERB	VVPP		Part						
45001002	11	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
45001003	1	über	ADP	APPR								
45001003	2	sein	DET	PPOSAT					S		Acc	M
45001003	3	Sohn	NOUN	NN					S		Nom	M
45001003	4	der	DET	ART					S		Nom	M
45001003	5	aus	ADP	PTKVZ								
45001003	6	der	DET	ART					S		Dat	M
45001003	7	Same	NOUN	NN					P		Nom	M
45001003	8	David	PROPN	NE					S		Gen	M
45001003	9	kommen	VERB	VVPP		Part						
45001003	10	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
45001003	11	der	DET	ART					S		Dat	M
45001003	12	Fleisch	NOUN	NN					S		Nom	N
45001003	13	nach	ADP	APPR								
45001004	1	und	CCONJ	KON								
45001004	2	als	ADP	KOKOM								
45001004	3	Sohn	NOUN	NN					S		Nom	M
45001004	4	Gott	NOUN	NN					S		Gen	M
45001004	5	in	ADP	APPR								
45001004	6	Kraft	NOUN	NN					S		Nom	F
45001004	7	erweisen	VERB	VVPP		Part						
