HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
46001001	1	Paulus	PROPN	NE					S		Nom	M
46001001	2	berufen	ADJ	ADJA	Pos				S		Nom	M
46001001	3	Apostel	NOUN	NN					P		Nom	M
46001001	4	Jesu	PROPN	NE					S		Gen	
46001001	5	Christi	PROPN	NE					S		Nom	
46001001	6	durch	ADP	APPR								
46001001	7	Gott	NOUN	NN					S		Gen	M
46001001	8	Wille	NOUN	NN					S		Acc	M
46001001	9	und	CCONJ	KON								
46001001	10	sosthene	NOUN	NN					P		Nom	
46001001	11	der	DET	ART					S		Nom	M
46001001	12	Bruder	NOUN	NN					S		Nom	M
46001002	1	der	DET	ART					S		Nom	M
46001002	2	Versammlung	NOUN	NN					S		Nom	F
46001002	3	Gott	NOUN	NN					S		Gen	M
46001002	4	der	DET	ART					S		Nom	F
46001002	5	in	ADP	APPR								
46001002	6	Korinth	PROPN	NE					S		Nom	N
46001002	7	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
46001002	8	der	DET	ART					S		Acc	M
46001002	9	Geheiligt	NOUN	NN					P		Nom	F
46001002	10	in	ADP	APPR								
46001002	11	Christo	PROPN	NE					S		Nom	M
46001002	12	Jesu	PROPN	NE					S		Gen	
46001002	13	der	DET	ART					S		Acc	M
46001002	14	berufenen	ADJ	VVFIN	Pos				S		Acc	M
46001002	15	heilig	NOUN	NN					P		Dat	
46001002	16	samt	ADP	APPR								
46001002	17	aller	DET	PIS					P		Dat	
46001002	18	der	DET	ART					S		Nom	F
46001002	19	an	ADP	PTKVZ								
46001002	20	jeder	DET	PIAT					S		Dat	M
46001002	21	Ort	NOUN	NN					P		Nom	M
46001002	22	der	DET	ART					S		Acc	M
46001002	23	Name	NOUN	NN					P		Nom	M
46001002	24	unser	DET	PPOSAT					S		Gen	M
46001002	25	Herr	NOUN	NN					S		Acc	M
46001002	26	Jesus	PROPN	PPER					S		Nom	M
46001002	27	Christus	PROPN	NE					S		Nom	M
46001002	28	anrufen	VERB	VVINF		Inf						
46001002	29	sowohl	CCONJ	KON								
46001002	30	ihr	DET	PPOSAT					S		Gen	M
46001002	31	als	ADP	KOKOM								
46001002	32	unser	DET	PPOSAT					S		Gen	M
46001002	33	Herr	NOUN	NN					S		Acc	M
46001003	1	Gnade	NOUN	NN					S		Nom	F
46001003	2	euch	PRON	PPER				2	P		Dat	
46001003	3	und	CCONJ	KON								
46001003	4	Friede	NOUN	NN					S		Nom	M
46001003	5	von	ADP	APPR								
46001003	6	Gott	NOUN	NN					S		Nom	M
46001003	7	unser	DET	PPOSAT					S		Dat	N
46001003	8	Vater	NOUN	NN					S		Nom	M
46001003	9	und	CCONJ	KON								
46001003	10	der	DET	ART					S		Dat	M
46001003	11	Herr	NOUN	NN					S		Acc	M
46001003	12	Jesus	PROPN	PPER					S		Nom	M
46001003	13	Christus	PROPN	NE					S		Nom	M
46001004	1	ich	PRON	PPER				1	S		Nom	
46001004	2	danken	VERB	NN		Fin	Pres	3	S	Sub		
46001004	3	mein	DET	PPOSAT					S		Dat	M
46001004	4	Gott	NOUN	NN					S		Nom	M
46001004	5	allezeit	ADV	ADV								
46001004	6	Eurethalben	NOUN	VVFIN					P		Dat	N
46001004	7	für	ADP	APPR								
46001004	8	der	DET	ART					S		Nom	F
46001004	9	Gnade	NOUN	NN					S		Nom	F
46001004	10	Gott	NOUN	NN					S		Gen	M
46001004	11	der	DET	ART					S		Nom	F
46001004	12	euch	PRON	PPER				2	P		Dat	
46001004	13	geben	VERB	VVPP		Part						
46001004	14	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
46001004	15	in	ADP	APPR								
46001004	16	Christo	PROPN	NE					S		Nom	M
46001004	17	Jesu	PROPN	NE					S		Gen	
46001005	1	daß	SCONJ	KOUS								
46001005	2	ihr	PRON	PPOSAT				3	S		Dat	F
46001005	3	in	ADP	APPR								
46001005	4	ihm	PRON	PPER				3	S		Dat	M
46001005	5	in	ADP	APPR								
46001005	6	alle	PRON	PIS					S		Dat	N
46001005	7	reich	ADV	ADJD	Pos							
46001005	8	machen	VERB	VVPP		Part						
46001005	9	werden	AUX	VAPP		Part						
46001005	10	sein	AUX	VAFIN		Fin	Pres	2	P	Ind		
46001005	11	in	ADP	APPR								
46001005	12	alle	PRON	PIS					S		Dat	N
46001005	13	Wort	NOUN	NN					S		Nom	N
46001005	14	und	CCONJ	KON								
46001005	15	aller	DET	PIAT					P		Gen	
46001005	16	Erkenntnis	NOUN	NN					S		Nom	F
46001006	1	wie	ADP	KOKOM								
46001006	2	der	DET	ART					S		Nom	N
46001006	3	Zeugnis	NOUN	NN					S		Nom	N
46001006	4	der	DET	ART					S		Gen	M
46001006	5	Christus	PROPN	NE					S		Nom	M
46001006	6	unter	ADP	APPR								
46001006	7	euch	PRON	PPER				2	P		Dat	
46001006	8	befestigen	VERB	VVPP		Part						
46001006	9	werden	AUX	VAPP		Part						
46001006	10	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
46001007	1	so	ADV	ADV								
46001007	2	daß	SCONJ	KOUS								
46001007	3	ihr	PRON	PPOSAT				3	S		Dat	F
46001007	4	in	ADP	APPR								
46001007	5	keiner	PRON	PIS					S		Nom	M
46001007	6	Gnadengabe	NOUN	NN					S		Nom	F
46001007	7	Mangel	NOUN	NN					S		Nom	M
46001007	8	habben	VERB	VAFIN				2	P	Imp		
46001007	9	indem	SCONJ	KOUS								
46001007	10	ihr	PRON	PPOSAT				3	S		Dat	F
46001007	11	der	DET	ART					S		Nom	F
46001007	12	Offenbarung	NOUN	NN					S		Nom	F
46001007	13	unser	DET	PPOSAT					S		Gen	M
46001007	14	Herr	NOUN	NN					S		Acc	M
46001007	15	Jesu	PROPN	NE					S		Gen	
46001007	16	Christi	PROPN	NE					S		Nom	
46001007	17	erwarten	VERB	VVFIN		Fin	Pres	3	S	Ind		
46001008	1	welcher	PRON	PWAT					S		Nom	M
46001008	2	euch	PRON	PPER				2	P		Dat	
46001008	3	auch	ADV	ADV								
46001008	4	befestigen	VERB	VVINF		Inf						
46001008	5	werden	AUX	VAFIN		Fin	Pres	3	S	Ind		
46001008	6	bis	CCONJ	KON								
46001008	7	an	ADP	APPRART					S		Acc	N
46001008	8	Ende	NOUN	NN					S		Nom	N
46001008	9	daß	SCONJ	KOUS								
