HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
48001001	1	Paulus	PROPN	NE					S		Nom	M
48001001	2	Apostel	NOUN	NN					P		Nom	M
48001001	3	nicht	PART	PTKNEG								
48001001	4	von	ADP	APPR								
48001001	5	Mensch	NOUN	NN					P		Nom	M
48001001	6	noch	CCONJ	KON								
48001001	7	durch	ADP	APPR								
48001001	8	ein	DET	ART					S		Acc	M
48001001	9	Mensch	NOUN	NN					P		Nom	M
48001001	10	sondern	CCONJ	KON								
48001001	11	durch	ADP	APPR								
48001001	12	Jesum	PROPN	XY					S		Nom	M
48001001	13	Christum	NOUN	NN					S		Nom	N
48001001	14	und	CCONJ	KON								
48001001	15	Gott	NOUN	NN					S		Nom	M
48001001	16	der	DET	ART					S		Acc	M
48001001	17	Vater	NOUN	NN					S		Nom	M
48001001	18	der	DET	ART					S		Nom	M
48001001	19	ihn	PRON	PPER				3	S		Acc	M
48001001	20	auferwecken	VERB	VVPP		Part						
48001001	21	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
48001001	22	aus	ADP	PTKVZ								
48001001	23	der	DET	ART					S		Acc	M
48001001	24	tote	NOUN	NN					P		Nom	
48001002	1	und	CCONJ	KON								
48001002	2	aller	PRON	PIS					P		Nom	
48001002	3	Bruder	NOUN	NN					P		Nom	M
48001002	4	der	DET	ART					S		Nom	F
48001002	5	bei	ADP	APPR								
48001002	6	mir	PRON	PPER				1	S		Dat	
48001002	7	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
48001002	8	der	DET	ART					S		Acc	M
48001002	9	Versammlung	NOUN	NN					P		Nom	F
48001002	10	von	ADP	APPR								
48001002	11	Galatien	PROPN	NE					S		Nom	N
48001003	1	Gnade	NOUN	NN					S		Nom	F
48001003	2	euch	PRON	PPER				2	P		Dat	
48001003	3	und	CCONJ	KON								
48001003	4	Friede	NOUN	NN					S		Nom	M
48001003	5	von	ADP	APPR								
48001003	6	Gott	NOUN	NN					S		Nom	M
48001003	7	der	DET	ART					S		Dat	M
48001003	8	Vater	NOUN	NN					S		Nom	M
48001003	9	und	CCONJ	KON								
48001003	10	unser	DET	PPOSAT					S		Dat	N
48001003	11	Herr	NOUN	NN					S		Acc	M
48001003	12	Jesu	PROPN	NE					S		Gen	
48001003	13	Christi	PROPN	NE					S		Nom	
48001004	1	der	DET	ART					S		Nom	M
48001004	2	sich	PRON	PRF				3	S		Acc	
48001004	3	selbst	ADV	ADV								
48001004	4	für	ADP	APPR								
48001004	5	unser	DET	PPOSAT					S		Nom	F
48001004	6	Sünde	NOUN	NN					P		Nom	F
48001004	7	hingeben	VERB	VVPP		Part						
48001004	8	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
