HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
49001001	1	Paulus	PROPN	NE					S		Nom	M
49001001	2	Apostel	NOUN	NN					P		Nom	M
49001001	3	Jesu	PROPN	NE					S		Gen	
49001001	4	Christi	PROPN	NE					S		Nom	
49001001	5	durch	ADP	APPR								
49001001	6	Gott	NOUN	NN					S		Gen	M
49001001	7	Wille	NOUN	NN					S		Acc	M
49001001	8	der	DET	ART					S		Acc	M
49001001	9	heilig	NOUN	NN					P		Dat	
49001001	10	und	CCONJ	KON								
49001001	11	Treue	VERB	NN		Fin	Pres	3	P	Ind		
49001001	12	in	ADP	APPR								
49001001	13	Christo	PROPN	NE					S		Nom	M
49001001	14	Jesu	PROPN	NE					S		Gen	
49001001	15	der	DET	ART					S		Nom	F
49001001	16	in	ADP	APPR								
49001001	17	Ephesus	PROPN	NE					S		Nom	N
49001001	18	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
49001002	1	Gnade	NOUN	NN					S		Nom	F
49001002	2	euch	PRON	PPER				2	P		Dat	
49001002	3	und	CCONJ	KON								
49001002	4	Friede	NOUN	NN					S		Nom	M
49001002	5	von	ADP	APPR								
49001002	6	Gott	NOUN	NN					S		Nom	M
49001002	7	unser	DET	PPOSAT					S		Dat	N
49001002	8	Vater	NOUN	NN					S		Nom	M
49001002	9	und	CCONJ	KON								
49001002	10	der	DET	ART					S		Dat	M
49001002	11	Herr	NOUN	NN					S		Acc	M
49001002	12	Jesu	PROPN	NE					S		Gen	
49001002	13	Christo	PROPN	NE					S		Nom	M
49001003	1	Gepriesen	ADV	ADJD	Pos							
49001003	2	sein	AUX	VAFIN		Fin	Pres	3	S	Sub		
49001003	3	der	DET	ART					S		Nom	M
49001003	4	Gott	NOUN	NN					S		Nom	M
49001003	5	und	CCONJ	KON								
49001003	6	Vater	NOUN	NN					S		Nom	M
49001003	7	unser	DET	PPOSAT					S		Gen	M
49001003	8	Herr	NOUN	NN					S		Acc	M
49001003	9	Jesu	PROPN	NE					S		Gen	
49001003	10	Christi	PROPN	NE					S		Nom	
49001003	11	der	DET	ART					S		Nom	M
49001003	12	uns	PRON	PPER				1	P		Acc	
49001003	13	segnen	VERB	VVPP		Part						
