HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
5001001	1	dieser	PRON	PDS					S		Nom	N
5001001	2	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
5001001	3	der	DET	ART					S		Nom	F
5001001	4	Wort	NOUN	NN					P		Nom	N
5001001	5	welcher	DET	PWAT					S		Nom	F
5001001	6	Mose	PROPN	NE					S		Nom	
5001001	7	zu	ADP	PTKVZ								
5001001	8	ganz	ADV	ADV								
5001001	9	Israel	PROPN	NE					S		Nom	N
5001001	10	reden	VERB	VVPP		Part						
5001001	11	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
5001001	12	Diesseit	NOUN	NN					S		Nom	F
5001001	13	der	DET	ART					S		Gen	M
5001001	14	Jordan	PROPN	NE					S		Nom	
5001001	15	in	ADP	APPR								
5001001	16	der	DET	ART					S		Nom	M
5001001	17	Wüste	NOUN	NN					S		Nom	F
5001001	18	in	ADP	APPR								
5001001	19	der	DET	ART					S		Nom	M
5001001	20	Ebene	NOUN	NN					S		Nom	F
5001001	21	Suph	PROPN	NE					S		Nom	
5001001	22	gegenüber	ADP	APPO								
5001001	23	zwischen	ADP	APPR								
5001001	24	Paran	NOUN	NN					S		Nom	F
5001001	25	und	CCONJ	KON								
5001001	26	Tophel	NOUN	NN					S		Nom	F
5001001	27	und	CCONJ	KON								
5001001	28	Laban	PROPN	NE					S		Nom	
5001001	29	und	CCONJ	KON								
5001001	30	Hazeroth	NOUN	NE					S		Nom	F
5001001	31	und	CCONJ	KON								
5001001	32	Di-Sahab	NOUN	NN					S		Nom	N
5001002	1	elf	INTJ	ITJ								
5001002	2	Tagereisen	PROPN	NE					S		Nom	
5001002	3	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
5001002	4	von	ADP	APPRART					S		Dat	N
5001002	5	Horeb	PROPN	NE					S		Nom	N
5001002	6	auf	ADP	PTKVZ								
5001002	7	der	DET	ART					S		Dat	M
5001002	8	Weg	NOUN	NN					P		Acc	M
5001002	9	der	DET	ART					S		Gen	M
5001002	10	Gebirge	PROPN	NE					S		Gen	M
5001002	11	Seir	PROPN	NE					S		Nom	
5001002	12	bis	CCONJ	KON								
5001002	13	Kades-Barnea	PROPN	NE					S		Nom	N
5001003	1	und	CCONJ	KON								
5001003	2	es	PRON	PPER				3	S		Nom	N
5001003	3	geschehen	VERB	VVFIN		Fin	Past	3	S	Ind		
5001003	4	in	ADP	APPRART					S		Dat	N
5001003	5	vierzigste	PRON	PIS					P		Dat	N
5001003	6	Jahr	NOUN	NN					P		Nom	N
5001003	7	in	ADP	APPRART					S		Dat	N
5001003	8	elfter	ADJ	ADJA	Pos				S		Acc	M
5001003	9	Monat	NOUN	NN					S		Nom	M
5001003	10	an	ADP	APPRART					S		Dat	M
5001003	11	erster	PRON	PIS								
5001003	12	der	DET	ART					S		Gen	M
5001003	13	Monat	NOUN	NN					S		Nom	M
5001003	14	da	ADV	ADV								
5001003	15	reden	VERB	VVFIN		Fin	Past	3	S	Ind		
5001003	16	Mose	PROPN	NE					S		Nom	
5001003	17	zu	ADP	PTKVZ								
5001003	18	der	DET	ART					S		Acc	M
5001003	19	Kind	NOUN	NN					P		Dat	N
5001003	20	Israel	PROPN	NE					S		Nom	N
5001003	21	nach	ADP	APPR								
5001003	22	alle	PRON	PIS					S		Dat	N
5001003	23	was	PRON	PWS					S		Nom	N
5001003	24	Jahwe	NOUN	NN					S		Nom	M
5001003	25	ihm	PRON	PPER				3	S		Dat	M
5001003	26	an	ADP	PTKVZ								
5001003	27	sie	PRON	PPER				3	P		Nom	
5001003	28	gebieten	VERB	VVPP		Part						
5001003	29	haben	AUX	VAFIN		Fin	Past	3	S	Ind		
5001004	1	nachdem	SCONJ	KOUS								
5001004	2	er	PRON	PPER				3	S		Nom	M
5001004	3	Sihon	PROPN	NE					S		Acc	
5001004	4	schlagen	VERB	VVPP		Part						
5001004	5	der	DET	ART					S		Acc	M
5001004	6	König	NOUN	NN					S		Nom	M
5001004	7	der	DET	ART					S		Nom	M
5001004	8	Amoriter	NOUN	NN					S		Nom	M
5001004	9	der	DET	ART					S		Nom	M
5001004	10	zu	ADP	PTKVZ								
5001004	11	Hesbon	NOUN	NN					S		Nom	M
5001004	12	wohnen	VERB	VVFIN		Fin	Past	3	S	Ind		
5001004	13	und	CCONJ	KON								
