HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
50001001	1	Paulus	PROPN	NE					S		Nom	M
50001001	2	und	CCONJ	KON								
50001001	3	Timotheus	PROPN	NE					S		Nom	M
50001001	4	Knecht	NOUN	NN					P		Nom	M
50001001	5	Jesu	PROPN	NE					S		Gen	
50001001	6	Christi	PROPN	NE					S		Nom	
50001001	7	aller	DET	PIS					P		Dat	
50001001	8	heilig	NOUN	NN					P		Dat	
50001001	9	in	ADP	APPR								
50001001	10	Christo	PROPN	NE					S		Nom	M
50001001	11	Jesu	PROPN	NE					S		Gen	
50001001	12	der	DET	ART					S		Nom	F
50001001	13	in	ADP	APPR								
50001001	14	Philippi	PROPN	NE					S		Nom	M
50001001	15	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
50001001	16	mit	ADP	APPR								
50001001	17	der	DET	ART					S		Acc	M
50001001	18	Aufseher	NOUN	NN					P		Dat	M
50001001	19	und	CCONJ	KON								
50001001	20	Diener	NOUN	NN					P		Dat	M
50001002	1	Gnade	NOUN	NN					S		Nom	F
50001002	2	euch	PRON	PPER				2	P		Dat	
50001002	3	und	CCONJ	KON								
50001002	4	Friede	NOUN	NN					S		Nom	M
50001002	5	von	ADP	APPR								
50001002	6	Gott	NOUN	NN					S		Nom	M
50001002	7	unser	DET	PPOSAT					S		Dat	N
50001002	8	Vater	NOUN	NN					S		Nom	M
50001002	9	und	CCONJ	KON								
50001002	10	der	DET	ART					S		Dat	M
50001002	11	Herr	NOUN	NN					S		Acc	M
50001002	12	Jesu	PROPN	NE					S		Gen	
50001002	13	Christo	PROPN	NE					S		Nom	M
50001003	1	ich	PRON	PPER				1	S		Nom	
50001003	2	danken	VERB	NN		Fin	Pres	3	S	Sub		
50001003	3	mein	DET	PPOSAT					S		Dat	M
50001003	4	Gott	NOUN	NN					S		Nom	M
50001003	5	bei	ADP	APPR								
50001003	6	aller	DET	PIAT					P		Gen	
50001003	7	mein	DET	PPOSAT					S		Dat	F
50001003	8	Erinnerung	NOUN	NN					S		Nom	F
50001003	9	an	ADP	PTKVZ								
50001003	10	euch	PRON	PPER				2	P		Dat	
50001004	1	allezeit	ADV	ADV								
50001004	2	in	ADP	APPR								
50001004	3	jeder	DET	PIAT					S		Dat	M
50001004	4	mein	DET	PPOSAT					S		Dat	F
50001004	5	Gebet	NOUN	NN					P		Nom	N
50001004	6	indem	SCONJ	KOUS								
50001004	7	ich	PRON	PPER				1	S		Nom	
50001004	8	für	ADP	APPR								
50001004	9	euch	PRON	PPER				2	P		Dat	
50001004	10	aller	PRON	PIS					P		Nom	
50001004	11	der	DET	ART					S		Nom	N
50001004	12	Gebet	NOUN	NN					S		Nom	N
50001004	13	mit	ADP	APPR								
50001004	14	Freude	NOUN	NN					P		Nom	F
50001004	15	tun	VERB	VVFIN		Fin	Pres	3	S	Sub		
50001005	1	wegen	ADP	APPR								
50001005	2	eurer	PRON	PPOSAT							Gen	
50001005	3	Teilnahme	NOUN	NN					S		Nom	F
50001005	4	an	ADP	PTKVZ								
50001005	5	der	DET	ART					S		Dat	M
50001005	6	Evangelium	NOUN	NN					S		Nom	N
50001005	7	von	ADP	APPRART					S		Dat	N
50001005	8	erster	ADJ	ADJA	Pos				S		Dat	M
50001005	9	Tag	NOUN	NN					P		Nom	M
50001005	10	an	ADP	PTKVZ								
50001005	11	bis	CCONJ	KON								
50001005	12	jetzt	ADV	ADV								
50001006	1	indem	SCONJ	KOUS								
50001006	2	ich	PRON	PPER				1	S		Nom	
50001006	3	eben	ADV	ADV								
50001006	4	der	PRON	PDS					S		Gen	
50001006	5	in	ADP	APPR								
50001006	6	gut	ADV	ADJA	Cmp							
50001006	7	Zuversicht	NOUN	NN					S		Nom	F
50001006	8	sein	AUX	VAFIN		Fin	Pres	1	S	Ind		
50001006	9	daß	SCONJ	KOUS								
50001006	10	der	DET	ART					S		Nom	M
50001006	11	welcher	PRON	PWAT					S		Nom	M
50001006	12	ein	DET	ART					S		Nom	N
50001006	13	gut	ADJ	ADJA	Pos				S		Nom	N
50001006	14	Werk	NOUN	NN					S		Nom	N
50001006	15	in	ADP	APPR								
50001006	16	euch	PRON	PPER				2	P		Dat	
50001006	17	anfangen	VERB	VVPP		Part						
50001006	18	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
50001006	19	es	PRON	PPER				3	S		Nom	N
50001006	20	vollführen	VERB	VVINF		Inf						
50001006	21	werden	AUX	VAFIN		Fin	Pres	3	S	Ind		
50001006	22	bis	CCONJ	KON								
50001006	23	auf	ADP	PTKVZ								
50001006	24	der	DET	ART					S		Acc	M
50001006	25	Tag	NOUN	NN					S		Nom	M
50001006	26	Jesu	PROPN	NE					S		Gen	
50001006	27	Christi	PROPN	NE					S		Nom	
50001007	1	wie	ADV	PWAV								
50001007	2	es	PRON	PPER				3	S		Nom	N
50001007	3	für	ADP	APPR								
50001007	4	mich	PRON	PPER				1	S		Acc	
50001007	5	Recht	NOUN	NN					S		Acc	N
50001007	6	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
50001007	7	daß	SCONJ	KOUS								
50001007	8	ich	PRON	PPER				1	S		Nom	
50001007	9	dieser	PRON	PDS					S		Nom	N
50001007	10	in	ADP	APPR								
50001007	11	Betreff	PROPN	NN					S		Nom	
50001007	12	euer	DET	PPOSAT					S		Nom	M
50001007	13	aller	DET	PIAT					P		Gen	
50001007	14	denken	VERB	VVFIN		Fin	Pres	3	S	Sub		
50001007	15	weil	SCONJ	KOUS								
50001007	16	ihr	PRON	PPOSAT				3	S		Dat	F
50001007	17	mich	PRON	PPER				1	S		Acc	
50001007	18	in	ADP	APPRART					S		Dat	N
50001007	19	Herz	NOUN	NN					S		Nom	N
50001007	20	habben	VERB	VAFIN				2	P	Imp		
50001007	21	und	CCONJ	KON								
50001007	22	sowohl	CCONJ	KON								
50001007	23	in	ADP	APPR								
50001007	24	meinen	VERB	VVFIN		Fin	Pres	3	P	Ind		
50001007	25	Bande	NOUN	NN					P		Nom	F
50001007	26	als	ADP	KOKOM								
50001007	27	auch	ADV	ADV								
50001007	28	in	ADP	APPR								
50001007	29	der	DET	ART					S		Nom	M
50001007	30	Verantwortung	NOUN	NN					S		Nom	F
50001007	31	und	CCONJ	KON								
50001007	32	Bestätigung	NOUN	NN					S		Nom	F
50001007	33	der	DET	ART					S		Gen	M
50001007	34	Evangelium	NOUN	NN					S		Gen	N
50001007	35	ihr	PRON	PPOSAT				3	S		Dat	F
50001007	36	aller	PRON	PIS					P		Nom	
50001007	37	mein	DET	PPOSAT					S		Nom	F
50001007	38	Mitteilnehmer	X	FM								
50001007	39	der	DET	ART					S		Nom	M
50001007	40	Gnade	NOUN	NN					S		Nom	F
50001007	41	sein	AUX	VAFIN		Fin	Pres	2	P	Ind		
50001008	1	denn	CCONJ	KON								
50001008	2	Gott	NOUN	NN					S		Nom	M
50001008	3	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
50001008	4	mein	DET	PPOSAT					S		Nom	N
50001008	5	Zeuge	NOUN	NN					S		Nom	M
50001008	6	wie	ADP	KOKOM								
50001008	7	ich	PRON	PPER				1	S		Nom	
50001008	8	mich	PRON	PPER				1	S		Acc	
50001008	9	nach	ADP	APPR								
50001008	10	euch	PRON	PPER				2	P		Dat	
50001008	11	aller	DET	PIS					P		Dat	
50001008	12	sehnen	VERB	VVFIN		Fin	Pres	3	S	Sub		
50001008	13	mit	ADP	APPR								
50001008	14	der	DET	ART					S		Dat	M
50001008	15	Herz	NOUN	NN					S		Nom	N
50001008	16	Christi	PROPN	NE					S		Nom	
50001008	17	Jesu	PROPN	NE					S		Gen	
50001009	1	und	CCONJ	KON								
50001009	2	um	ADP	APPR								
50001009	3	dieser	DET	PDAT					S		Nom	N
50001009	4	beten	VERB	VVFIN		Fin	Pres	3	S	Sub		
50001009	5	ich	PRON	PPER				1	S		Nom	
50001009	6	daß	SCONJ	KOUS								
50001009	7	eure	DET	PPOSAT					S		Nom	F
50001009	8	Liebe	NOUN	NN					S		Nom	F
50001009	9	noch	CCONJ	KON								
50001009	10	mehr	ADV	ADV								
50001009	11	und	CCONJ	KON								
50001009	12	mehr	ADV	ADV								
50001009	13	überströme	PROPN	NE					S		Gen	
50001009	14	in	ADP	APPR								
50001009	15	Erkenntnis	NOUN	NN					S		Nom	F
50001009	16	und	CCONJ	KON								
50001009	17	aller	DET	PIAT					P		Gen	
50001009	18	Einsicht	NOUN	NN					S		Nom	F
50001010	1	damit	ADV	PROAV								
50001010	2	ihr	PRON	PPOSAT				3	S		Dat	F
50001010	3	prüfen	VERB	VVINF		Inf						
50001010	4	Möget	AUX	VMFIN		Fin	Pres	3	S	Ind		
50001010	5	was	PRON	PWS					S		Nom	N
50001010	6	der	DET	ART					S		Nom	N
50001010	7	Vorzüglichere	NOUN	NN					P		Nom	N
50001010	8	sein	AUX	VAFIN		Fin	Pres	3	S	Sub		
50001010	9	auf	ADP	PTKVZ								
50001010	10	daß	SCONJ	KOUS								
50001010	11	ihr	PRON	PPOSAT				3	S		Dat	F
50001010	12	laut	ADV	PIAT	Cmp							
50001010	13	und	CCONJ	KON								
50001010	14	unanstößig	ADV	ADJD	Pos							
50001010	15	sein	AUX	VAFIN		Fin	Pres	2	P	Ind		
50001010	16	auf	ADP	PTKVZ								
50001010	17	der	DET	ART					S		Acc	M
50001010	18	Tag	NOUN	NN					S		Nom	M
50001010	19	Christi	PROPN	NE					S		Nom	
50001011	1	erfüllen	VERB	VVPP		Part						
50001011	2	mit	ADP	APPR								
50001011	3	der	DET	ART					S		Nom	M
50001011	4	Frucht	NOUN	NN					S		Nom	F
50001011	5	der	DET	ART					S		Nom	M
50001011	6	Gerechtigkeit	NOUN	NN					S		Nom	F
50001011	7	der	DET	ART					S		Nom	F
50001011	8	durch	ADP	APPR								
50001011	9	Jesum	PROPN	XY					S		Nom	M
50001011	10	Christum	NOUN	NN					S		Nom	N
50001011	11	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
50001011	12	zu	ADP	APPRART					S		Dat	F
50001011	13	Herrlichkeit	NOUN	NN					S		Nom	F
50001011	14	und	CCONJ	KON								
50001011	15	zu	ADP	APPRART					S		Dat	N
50001011	16	Preis	NOUN	NN					P		Nom	M
50001011	17	Gott	NOUN	NN					S		Gen	M
50001012	1	ich	PRON	PPER				1	S		Nom	
50001012	2	wollen	AUX	VMFIN		Fin	Pres	3	S	Ind		
50001012	3	aber	CCONJ	KON								
50001012	4	daß	SCONJ	KOUS								
50001012	5	ihr	PRON	PPOSAT				3	S		Dat	F
50001012	6	wisset	VERB	VVFIN		Fin	Pres	3	S	Ind		
50001012	7	Bruder	NOUN	NN					P		Nom	M
50001012	8	daß	SCONJ	KOUS								
50001012	9	mein	DET	PPOSAT					S		Nom	F
50001012	10	Umstand	NOUN	NN					P		Nom	M
50001012	11	mehr	ADV	ADV								
50001012	12	zu	ADP	APPRART					S		Dat	F
50001012	13	Förderung	NOUN	NN					S		Nom	F
50001012	14	der	DET	ART					S		Gen	M
50001012	15	Evangelium	NOUN	NN					S		Gen	N
50001012	16	geraten	VERB	VVPP		Part						
50001012	17	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
50001013	1	so	ADV	ADV								
50001013	2	daß	SCONJ	KOUS								
50001013	3	mein	DET	PPOSAT					S		Nom	F
50001013	4	Bande	NOUN	NN					S		Nom	F
50001013	5	in	ADP	APPR								
50001013	6	Christo	PROPN	NE					S		Nom	M
50001013	7	offenbar	ADV	ADJD	Pos							
50001013	8	werden	AUX	VAPP		Part						
50001013	9	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
50001013	10	in	ADP	APPR								
50001013	11	der	DET	ART					S		Dat	M
50001013	12	ganz	PRON	ADJA					S		Nom	M
50001013	13	Prätorium	NOUN	NN					S		Nom	N
50001013	14	und	CCONJ	KON								
50001013	15	aller	DET	PIS					P		Dat	
50001013	16	anderer	PRON	PIS					P		Dat	
50001014	1	und	CCONJ	KON								
50001014	2	daß	SCONJ	KOUS								
50001014	3	der	DET	ART					S		Nom	F
50001014	4	meister	PRON	PIS					P		Nom	
50001014	5	der	DET	ART					S		Nom	M
50001014	6	Bruder	NOUN	NN					P		Nom	M
50001014	7	indem	SCONJ	KOUS								
50001014	8	sie	PRON	PPER				3	P		Nom	
50001014	9	in	ADP	APPRART					S		Dat	N
50001014	10	Herr	NOUN	NN					S		Acc	M
50001014	11	vertrauen	NOUN	NN					S		Nom	N
50001014	12	gewinnen	VERB	VVPP		Part						
50001014	13	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
50001014	14	durch	ADP	APPR								
50001014	15	mein	DET	PPOSAT					S		Nom	F
50001014	16	Bande	NOUN	NN					S		Nom	F
50001014	17	viel	PRON	PIS								
50001014	18	mehr	ADV	ADV								
50001014	19	sich	PRON	PRF				3	S		Acc	
50001014	20	Erkühn	NOUN	VVINF					P		Nom	F
50001014	21	der	DET	ART					S		Nom	N
50001014	22	Wort	NOUN	NN					S		Nom	N
50001014	23	Gott	NOUN	NN					S		Gen	M
50001014	24	zu	ADP	PTKVZ								
50001014	25	reden	VERB	VVINF		Inf						
50001014	26	ohne	ADP	APPR								
50001014	27	Furcht	NOUN	NN					S		Nom	F
50001015	1	etlicher	PRON	PIS					P		Nom	
50001015	2	zwar	ADV	ADV								
50001015	3	predigen	VERB	VVFIN		Fin	Pres	3	P	Ind		
50001015	4	Christum	NOUN	NN					S		Nom	N
50001015	5	auch	ADV	ADV								
50001015	6	aus	ADP	PTKVZ								
50001015	7	Neid	NOUN	NN					S		Nom	M
50001015	8	und	CCONJ	KON								
50001015	9	Streit	NOUN	NN					S		Nom	M
50001015	10	etlicher	PRON	PIS					P		Nom	
50001015	11	aber	CCONJ	KON								
50001015	12	auch	ADV	ADV								
50001015	13	aus	ADP	PTKVZ								
50001015	14	gut	ADJ	ADJA	Pos				S		Dat	N
50001015	15	Wille	NOUN	NN					S		Acc	M
50001016	1	dieser	DET	PDAT					S		Nom	F
50001016	2	aus	ADP	PTKVZ								
50001016	3	Liebe	NOUN	NN					S		Nom	F
50001016	4	indem	SCONJ	KOUS								
50001016	5	sie	PRON	PPER				3	P		Nom	
50001016	6	wissen	VERB	VVINF		Inf						
50001016	7	daß	SCONJ	KOUS								
50001016	8	ich	PRON	PPER				1	S		Nom	
50001016	9	zu	ADP	APPRART					S		Dat	F
50001016	10	Verantwortung	NOUN	NN					S		Nom	F
50001016	11	der	DET	ART					S		Gen	M
50001016	12	Evangelium	NOUN	NN					S		Gen	N
50001016	13	setzen	VERB	VVPP		Part						
50001016	14	sein	AUX	VAFIN		Fin	Pres	1	S	Ind		
50001017	1	jener	DET	PDAT					S		Nom	F
50001017	2	aus	ADP	PTKVZ								
50001017	3	Streitsucht	NOUN	NN					S		Nom	F
50001017	4	verkündigen	VERB	VVINF		Inf						
50001017	5	Christum	NOUN	NN					S		Nom	N
50001017	6	nicht	PART	PTKNEG								
50001017	7	laut	ADV	PIAT	Cmp							
50001017	8	indem	SCONJ	KOUS								
50001017	9	sie	PRON	PPER				3	P		Nom	
50001017	10	meinen	VERB	VVFIN		Fin	Pres	3	P	Ind		
50001017	11	Bande	NOUN	NN					P		Nom	F
50001017	12	Trübsal	NOUN	NN					S		Nom	M
50001017	13	zu	ADP	PTKVZ								
50001017	14	erwecken	VERB	VVFIN		Fin	Pres	3	P	Ind		
50001017	15	gedenken	VERB	VVINF		Inf						
50001018	1	was	PRON	PWS					S		Nom	N
50001018	2	denn	CCONJ	KON								
50001018	3	werden	AUX	VAFIN		Fin	Pres	3	S	Ind		
