HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
51001001	1	Paulus	PROPN	NE					S		Nom	M
51001001	2	Apostel	NOUN	NN					P		Nom	M
51001001	3	Christi	PROPN	NE					S		Nom	
51001001	4	Jesu	PROPN	NE					S		Gen	
51001001	5	durch	ADP	APPR								
51001001	6	Gott	NOUN	NN					S		Gen	M
51001001	7	Wille	NOUN	NN					S		Acc	M
51001001	8	und	CCONJ	KON								
51001001	9	Timotheus	PROPN	NE					S		Nom	M
51001001	10	der	DET	ART					S		Nom	M
51001001	11	Bruder	NOUN	NN					S		Nom	M
51001002	1	der	DET	ART					S		Acc	M
51001002	2	heilig	ADJ	ADJA	Pos				S		Acc	M
51001002	3	und	CCONJ	KON								
51001002	4	treu	VERB	VVFIN		Fin	Pres	3	P	Ind		
51001002	5	Brüdern	NOUN	NN					P		Dat	M
51001002	6	in	ADP	APPR								
51001002	7	Christo	PROPN	NE					S		Nom	M
51001002	8	der	DET	ART					S		Nom	F
51001002	9	in	ADP	APPR								
51001002	10	Kolossä	NOUN	NN					S		Nom	N
51001002	11	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
51001002	12	Gnade	NOUN	NN					S		Nom	F
51001002	13	euch	PRON	PPER				2	P		Dat	
51001002	14	und	CCONJ	KON								
51001002	15	Friede	NOUN	NN					S		Nom	M
51001002	16	von	ADP	APPR								
51001002	17	Gott	NOUN	NN					S		Nom	M
51001002	18	unser	DET	PPOSAT					S		Dat	N
51001002	19	Vater	NOUN	NN					S		Nom	M
51001002	20	und	CCONJ	KON								
51001002	21	der	DET	ART					S		Dat	M
51001002	22	Herr	NOUN	NN					S		Acc	M
51001002	23	Jesus	PROPN	PPER					S		Nom	M
51001002	24	Christus	PROPN	NE					S		Nom	M
51001003	1	wir	PRON	PPER				1	P		Nom	
51001003	2	danken	VERB	VVINF		Inf						
51001003	3	der	DET	ART					S		Dat	M
51001003	4	Gott	NOUN	NN					S		Nom	M
51001003	5	und	CCONJ	KON								
51001003	6	Vater	NOUN	NN					S		Nom	M
51001003	7	unser	DET	PPOSAT					S		Gen	M
51001003	8	Herr	NOUN	NN					S		Acc	M
51001003	9	Jesus	PROPN	PPER					S		Nom	M
51001003	10	Christus	PROPN	NE					S		Nom	M
51001003	11	allezeit	ADV	ADV								
51001003	12	indem	SCONJ	KOUS								
51001003	13	wir	PRON	PPER				1	P		Nom	
51001003	14	für	ADP	APPR								
51001003	15	euch	PRON	PPER				2	P		Dat	
51001003	16	beten	VERB	VVFIN		Fin	Pres	3	P	Ind		
51001004	1	nachdem	SCONJ	KOUS								
51001004	2	wir	PRON	PPER				1	P		Nom	
51001004	3	gehören	VERB	VVFIN		Fin	Pres	3	S	Ind		
51001004	4	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
51001004	5	von	ADP	APPR								
51001004	6	eurer	DET	PPOSAT					S		Dat	M
51001004	7	Glaube	NOUN	NN					S		Acc	M
51001004	8	in	ADP	APPR								
51001004	9	Christo	PROPN	NE					S		Nom	M
51001004	10	Jesu	PROPN	NE					S		Gen	
51001004	11	und	CCONJ	KON								
51001004	12	der	DET	ART					S		Nom	M
51001004	13	Liebe	NOUN	NN					S		Nom	F
51001004	14	der	DET	ART					S		Nom	F
51001004	15	ihr	PRON	PPOSAT				3	S		Dat	F
51001004	16	zu	ADP	PTKVZ								
51001004	17	aller	DET	PIS					P		Dat	
51001004	18	heilig	NOUN	NN					P		Dat	
51001004	19	habben	VERB	VAFIN				2	P	Imp		
51001005	1	wegen	ADP	APPR								
51001005	2	der	DET	ART					S		Nom	M
51001005	3	Hoffnung	NOUN	NN					S		Nom	F
51001005	4	der	DET	ART					S		Nom	F
