HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
52001001	1	Paulus	PROPN	NE					S		Nom	M
52001001	2	und	CCONJ	KON								
52001001	3	Silvanus	PROPN	NE					S		Nom	
52001001	4	und	CCONJ	KON								
52001001	5	Timotheus	PROPN	NE					S		Nom	M
52001001	6	der	DET	ART					S		Nom	M
52001001	7	Versammlung	NOUN	NN					S		Nom	F
52001001	8	der	DET	ART					S		Nom	M
52001001	9	Thessalonicher	NOUN	NN					S		Nom	M
52001001	10	in	ADP	APPR								
52001001	11	Gott	NOUN	NN					S		Nom	M
52001001	12	der	DET	ART					S		Dat	M
52001001	13	Vater	NOUN	NN					S		Nom	M
52001001	14	und	CCONJ	KON								
52001001	15	der	DET	ART					S		Dat	M
52001001	16	Herr	NOUN	NN					S		Acc	M
52001001	17	Jesus	PROPN	PPER					S		Nom	M
52001001	18	Christus	PROPN	NE					S		Nom	M
52001001	19	Gnade	NOUN	NN					S		Nom	F
52001001	20	euch	PRON	PPER				2	P		Dat	
52001001	21	und	CCONJ	KON								
52001001	22	Friede	NOUN	NN					S		Nom	M
52001002	1	wir	PRON	PPER				1	P		Nom	
52001002	2	danken	VERB	VVINF		Inf						
52001002	3	Gott	NOUN	NN					S		Nom	M
52001002	4	allezeit	ADV	ADV								
52001002	5	für	ADP	APPR								
52001002	6	euch	PRON	PPER				2	P		Dat	
52001002	7	aller	PRON	PIS					P		Nom	
52001002	8	indem	SCONJ	KOUS								
52001002	9	wir	PRON	PPER				1	P		Nom	
52001002	10	euer	DET	PPOSAT					S		Nom	M
52001002	11	erwähnen	VERB	VVINF		Inf						
52001002	12	in	ADP	APPR								
52001002	13	unser	DET	PPOSAT					S		Acc	M
52001002	14	Gebet	NOUN	NN					S		Acc	M
52001003	1	unablässig	ADV	ADJD	Pos							
52001003	2	Eingedenk	ADV	ADJD	Pos							
52001003	3	eures	DET	PPOSAT					S		Nom	N
