HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
55001001	1	Paulus	PROPN	NE					S		Nom	M
55001001	2	Apostel	NOUN	NN					P		Nom	M
55001001	3	Jesu	PROPN	NE					S		Gen	
55001001	4	Christi	PROPN	NE					S		Nom	
55001001	5	durch	ADP	APPR								
55001001	6	Gott	NOUN	NN					S		Gen	M
55001001	7	Wille	NOUN	NN					S		Acc	M
55001001	8	nach	ADP	APPR								
55001001	9	Verheißung	NOUN	NN					S		Nom	F
55001001	10	der	DET	ART					S		Gen	M
55001001	11	Leben	NOUN	NN					S		Gen	N
55001001	12	der	DET	ART					S		Nom	N
55001001	13	in	ADP	APPR								
55001001	14	Christo	PROPN	NE					S		Nom	M
55001001	15	Jesu	PROPN	NE					S		Gen	
55001001	16	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
55001002	1	Timotheus	PROPN	NE					S		Nom	M
55001002	2	mein	DET	PPOSAT					S		Dat	M
55001002	3	geliebt	ADJ	ADJA	Pos				S		Acc	M
55001002	4	Kind	NOUN	NN					P		Nom	N
55001002	5	Gnade	NOUN	NN					S		Nom	F
55001002	6	Barmherzigkeit	NOUN	NN					S		Nom	F
55001002	7	Friede	NOUN	NN					S		Nom	M
55001002	8	von	ADP	APPR								
55001002	9	Gott	NOUN	NN					S		Nom	M
55001002	10	der	DET	ART					S		Dat	M
55001002	11	Vater	NOUN	NN					S		Nom	M
55001002	12	und	CCONJ	KON								
55001002	13	Christo	PROPN	NE					S		Nom	M
55001002	14	Jesu	PROPN	NE					S		Gen	
55001002	15	unser	DET	PPOSAT					S		Dat	N
55001002	16	Herr	NOUN	NN					S		Acc	M
55001003	1	ich	PRON	PPER				1	S		Nom	
55001003	2	danken	VERB	NN		Fin	Pres	3	S	Sub		
55001003	3	Gott	NOUN	NN					S		Nom	M
55001003	4	der	DET	ART					S		Dat	M
55001003	5	ich	PRON	PPER				1	S		Nom	
55001003	6	von	ADP	APPR								
55001003	7	meinen	VERB	VVFIN		Fin	Pres	3	P	Ind		
55001003	8	Vorelter	NOUN	NN					P		Nom	M
55001003	9	her	ADV	ADV								
55001003	10	mit	ADP	APPR								
55001003	11	rein	PRON	VVPP					S		Dat	M
55001003	12	Gewissen	NOUN	NN					S		Nom	N
55001003	13	dienen	VERB	VVFIN		Fin	Pres	3	S	Sub		
55001003	14	wie	ADP	KOKOM								
55001003	15	unablässig	ADV	ADJD	Pos							
55001003	16	ich	PRON	PPER				1	S		Nom	
55001003	17	dein	DET	PPOSAT					S		Dat	F
55001003	18	gedenken	VERB	VVFIN		Fin	Pres	3	S	Sub		
55001003	19	in	ADP	APPR								
55001003	20	meinen	VERB	VVFIN		Fin	Pres	3	P	Ind		
55001003	21	Gebet	NOUN	NN					S		Acc	M
55001003	22	Nacht	NOUN	NN					S		Nom	F
55001003	23	und	CCONJ	KON								
55001003	24	Tag	NOUN	NN					S		Nom	M
55001004	1	voll	ADV	ADJD	Pos							
55001004	2	verlangen	NOUN	NN					S		Nom	N
55001004	3	dich	PRON	PPER				2	S		Acc	
55001004	4	zu	ADP	PTKVZ								
55001004	5	sehen	VERB	VVINF		Fin	Pres	3	P	Ind		
55001004	6	indem	SCONJ	KOUS								
55001004	7	ich	PRON	PPER				1	S		Nom	
55001004	8	Eingedenk	ADV	ADJD	Pos							
55001004	9	sein	AUX	VAFIN		Fin	Pres	1	S	Ind		
55001004	10	dein	DET	PPOSAT					S		Dat	F
55001004	11	Träne	NOUN	NN					P		Nom	F
55001004	12	auf	ADP	PTKVZ								
55001004	13	daß	SCONJ	KOUS								
55001004	14	ich	PRON	PPER				1	S		Nom	
55001004	15	mit	ADP	APPR								
55001004	16	Freude	NOUN	NN					S		Nom	F
55001004	17	erfüllen	VERB	VVPP		Part						
55001004	18	sein	AUX	VAINF		Inf						
55001004	19	mögen	AUX	VMFIN		Fin	Pres	3	S	Sub		
55001005	1	indem	SCONJ	KOUS								
55001005	2	ich	PRON	PPER				1	S		Nom	
55001005	3	mich	PRON	PPER				1	S		Acc	
55001005	4	erinnern	VERB	VVFIN		Fin	Pres	3	S	Sub		
55001005	5	der	DET	ART					S		Gen	M
