HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
56001001	1	Paulus	PROPN	NE					S		Nom	M
56001001	2	Knecht	NOUN	NN					S		Nom	M
56001001	3	Gott	NOUN	NN					S		Gen	M
56001001	4	aber	CCONJ	KON								
56001001	5	Apostel	NOUN	NN					P		Nom	M
56001001	6	Jesu	PROPN	NE					S		Gen	
56001001	7	Christi	PROPN	NE					S		Nom	
56001001	8	nach	ADP	APPR								
56001001	9	der	DET	ART					S		Dat	M
56001001	10	Glaube	NOUN	NN					S		Acc	M
56001001	11	der	DET	ART					S		Nom	M
56001001	12	auserwählter	NOUN	NN					P		Nom	
56001001	13	Gott	NOUN	NN					S		Gen	M
56001001	14	und	CCONJ	KON								
56001001	15	nach	ADP	APPR								
56001001	16	der	DET	ART					S		Nom	M
56001001	17	Erkenntnis	NOUN	NN					S		Nom	F
56001001	18	der	DET	ART					S		Nom	M
56001001	19	Wahrheit	NOUN	NN					S		Nom	F
56001001	20	der	DET	ART					S		Nom	F
56001001	21	nach	ADP	APPR								
56001001	22	der	DET	ART					S		Nom	M
56001001	23	Gottseligkeit	NOUN	NN					S		Nom	F
56001001	24	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
56001002	1	in	ADP	APPR								
56001002	2	der	DET	ART					S		Nom	M
56001002	3	Hoffnung	NOUN	NN					S		Nom	F
56001002	4	der	DET	ART					S		Gen	M
56001002	5	ewig	ADJ	ADJA	Pos				S		Acc	M
56001002	6	Leben	NOUN	NN					S		Gen	N
56001002	7	welcher	DET	PWAT					S		Acc	N
56001002	8	Gott	NOUN	NN					S		Nom	M
56001002	9	der	DET	ART					S		Nom	M
56001002	10	nicht	PART	PTKNEG								
56001002	11	lügen	VERB	VVFIN		Fin	Pres	3	P	Ind		
56001002	12	können	AUX	VMFIN		Fin	Pres	3	S	Ind		
56001002	13	verheißen	VERB	VVPP		Part						
56001002	14	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
56001002	15	vor	ADP	APPR								
56001002	16	der	DET	ART					S		Acc	M
56001002	17	Zeit	NOUN	NN					P		Nom	F
56001002	18	der	DET	ART					S		Nom	M
56001002	19	Zeitalter	NOUN	NN					S		Nom	N
56001003	1	zu	ADP	PTKVZ								
56001003	2	sein	DET	PPOSAT					S		Dat	F
56001003	3	Zeit	NOUN	NN					S		Nom	F
56001003	4	aber	CCONJ	KON								
56001003	5	sein	AUX	VAINF		Inf						
56001003	6	Wort	NOUN	NN					S		Nom	N
56001003	7	offenbaren	VERB	VVPP		Part						
56001003	8	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
56001003	9	durch	ADP	APPR								
56001003	10	der	DET	ART					S		Nom	F
56001003	11	Predigt	NOUN	NN					S		Nom	F
56001003	12	der	DET	ART					S		Nom	F
56001003	13	mir	PRON	PPER				1	S		Dat	
56001003	14	anvertrauen	VERB	VVPP		Part						
56001003	15	werden	AUX	VAPP		Part						
56001003	16	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
56001003	17	nach	ADP	APPR								
56001003	18	Befehl	NOUN	NN					S		Nom	M
56001003	19	unser	DET	PPOSAT					S		Gen	M
56001003	20	Heiland-Gotte	ADJ	NN	Pos				S		Nom	N
56001004	1	Titus	PROPN	NE					S		Nom	M
56001004	2	mein	DET	PPOSAT					S		Dat	M
56001004	3	echt	ADJ	ADJA	Pos				S		Acc	M
56001004	4	Kind	NOUN	NN					P		Nom	N
56001004	5	nach	ADP	APPR								
56001004	6	unser	DET	PPOSAT					S		Dat	N
56001004	7	gemeinschaftlich	ADJ	ADJA	Pos				S		Acc	M
