HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
57001001	1	Paulus	PROPN	NE					S		Nom	M
57001001	2	ein	DET	ART					S		Nom	N
57001001	3	gefangener	NOUN	NN					P		Nom	
57001001	4	Christi	PROPN	NE					S		Nom	
57001001	5	Jesu	PROPN	NE					S		Gen	
57001001	6	und	CCONJ	KON								
57001001	7	Timotheus	PROPN	NE					S		Nom	M
57001001	8	der	DET	ART					S		Nom	M
57001001	9	Bruder	NOUN	NN					S		Nom	M
57001001	10	Philemon	NOUN	NN					S		Nom	M
57001001	11	der	DET	ART					S		Dat	M
57001001	12	geliebter	NOUN	NN					P		Nom	
57001001	13	und	CCONJ	KON								
57001001	14	unser	DET	PPOSAT					S		Dat	N
57001001	15	Mitarbeiter	NOUN	NN					P		Nom	M
57001002	1	und	CCONJ	KON								
57001002	2	Appia	PROPN	NE					S		Nom	
57001002	3	der	DET	ART					S		Nom	M
57001002	4	Schwester	NOUN	NN					S		Nom	F
57001002	5	und	CCONJ	KON								
57001002	6	Archippus	PROPN	NE					S		Nom	M
57001002	7	unser	DET	PPOSAT					S		Dat	N
57001002	8	Mitkämpfer	NOUN	NN					P		Nom	M
57001002	9	und	CCONJ	KON								
57001002	10	der	DET	ART					S		Nom	M
57001002	11	Versammlung	NOUN	NN					S		Nom	F
57001002	12	der	DET	ART					S		Nom	F
57001002	13	in	ADP	APPR								
57001002	14	dein	DET	PPOSAT					S		Dat	M
57001002	15	Haus	NOUN	NN					P		Nom	N
57001002	16	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
57001003	1	Gnade	NOUN	NN					S		Nom	F
57001003	2	euch	PRON	PPER				2	P		Dat	
57001003	3	und	CCONJ	KON								
57001003	4	Friede	NOUN	NN					S		Nom	M
57001003	5	von	ADP	APPR								
57001003	6	Gott	NOUN	NN					S		Nom	M
57001003	7	unser	DET	PPOSAT					S		Dat	N
57001003	8	Vater	NOUN	NN					S		Nom	M
57001003	9	und	CCONJ	KON								
57001003	10	der	DET	ART					S		Dat	M
57001003	11	Herr	NOUN	NN					S		Acc	M
57001003	12	Jesus	PROPN	PPER					S		Nom	M
57001003	13	Christus	PROPN	NE					S		Nom	M
57001004	1	ich	PRON	PPER				1	S		Nom	
57001004	2	danken	VERB	NN		Fin	Pres	3	S	Sub		
57001004	3	mein	DET	PPOSAT					S		Dat	M
57001004	4	Gott	NOUN	NN					S		Nom	M
57001004	5	indem	SCONJ	KOUS								
57001004	6	ich	PRON	PPER				1	S		Nom	
57001004	7	allezeit	ADV	ADV								
57001004	8	dein	DET	PPOSAT					S		Dat	F
57001004	9	erwähnen	VERB	VVFIN		Fin	Pres	3	S	Sub		
57001004	10	in	ADP	APPR								
57001004	11	meinen	VERB	VVFIN		Fin	Pres	3	P	Ind		
57001004	12	Gebet	NOUN	NN					S		Acc	M
57001005	1	da	ADV	ADV								
57001005	2	ich	PRON	PPER				1	S		Nom	
57001005	3	hören	VERB	VVFIN		Fin	Pres	3	S	Sub		
57001005	4	von	ADP	APPR								
57001005	5	dein	DET	PPOSAT					S		Dat	F
57001005	6	Liebe	NOUN	NN					S		Nom	F
57001005	7	und	CCONJ	KON								
57001005	8	von	ADP	APPR								
57001005	9	der	DET	ART					S		Dat	M
57001005	10	Glaube	NOUN	NN					S		Acc	M
57001005	11	der	DET	ART					S		Acc	M
57001005	12	du	PRON	PPER				2	S		Nom	
57001005	13	an	ADP	PTKVZ								
57001005	14	der	DET	ART					S		Acc	M
57001005	15	Herr	NOUN	NN					S		Acc	M
57001005	16	Jesus	PROPN	PPER					S		Nom	M
57001005	17	und	CCONJ	KON								
57001005	18	zu	ADP	PTKVZ								
57001005	19	aller	DET	PIS					P		Dat	
57001005	20	heilig	NOUN	NN					P		Dat	
57001005	21	haben	AUX	VAFIN		Fin	Pres	2	S	Ind		
57001006	1	daß	SCONJ	KOUS								
57001006	2	der	DET	ART					S		Nom	F
57001006	3	Gemeinschaft	NOUN	NN					S		Nom	F
57001006	4	dein	DET	PPOSAT					S		Gen	N
57001006	5	Glauben	NOUN	NN					S		Gen	M
57001006	6	wirksam	ADV	ADJD	Pos							
57001006	7	werden	AUX	VAFIN		Fin	Pres	3	S	Sub		
57001006	8	in	ADP	APPR								
57001006	9	der	DET	ART					S		Nom	M
57001006	10	Anerkennung	NOUN	NN					S		Nom	F
57001006	11	alle	PRON	PIS					S		Nom	N
57001006	12	gute	NOUN	NN					P		Nom	
57001006	13	welcher	DET	PWAT					S		Acc	N
57001006	14	in	ADP	APPR								
57001006	15	uns	PRON	PPER				1	P		Acc	
57001006	16	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
57001006	17	gegen	ADP	APPR								
57001006	18	Christum	NOUN	NN					S		Nom	N
57001006	19	Jesum	PROPN	XY					S		Nom	M
57001007	1	denn	CCONJ	KON								
57001007	2	wir	PRON	PPER				1	P		Nom	
57001007	3	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
57001007	4	groß	ADJ	ADJA	Pos				S		Nom	F
57001007	5	Freude	NOUN	NN					S		Nom	F
57001007	6	und	CCONJ	KON								
57001007	7	groß	ADJ	ADJA	Pos				S		Acc	M
57001007	8	Trost	NOUN	NN					S		Nom	M
57001007	9	durch	ADP	APPR								
57001007	10	dein	DET	PPOSAT					S		Nom	F
57001007	11	Liebe	NOUN	NN					S		Nom	F
57001007	12	weil	SCONJ	KOUS								
57001007	13	der	DET	ART					S		Nom	F
57001007	14	Herz	NOUN	NN					S		Nom	N
57001007	15	der	DET	ART					S		Nom	M
57001007	16	heilig	NOUN	NN					P		Dat	
57001007	17	durch	ADP	APPR								
57001007	18	dich	PRON	PPER				2	S		Acc	
57001007	19	Bruder	NOUN	NN					S		Nom	M
57001007	20	erquicken	VERB	VVFIN		Fin	Pres	3	S	Ind		
57001007	21	werden	AUX	VAPP		Part						
57001007	22	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
57001008	1	deshalb	ADV	PROAV								
57001008	2	obgleich	SCONJ	KOUS								
