HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
59001001	1	Jakobus	PROPN	NE					S		Nom	M
59001001	2	Knecht	NOUN	NN					S		Nom	M
59001001	3	Gott	NOUN	NN					S		Gen	M
59001001	4	und	CCONJ	KON								
59001001	5	der	DET	ART					S		Gen	M
59001001	6	Herr	NOUN	NN					S		Acc	M
59001001	7	Jesu	PROPN	NE					S		Gen	
59001001	8	Christi	PROPN	NE					S		Nom	
59001001	9	der	DET	ART					S		Acc	M
59001001	10	zwölf	NUM	CARD								
59001001	11	Stämme	NOUN	NN					P		Dat	M
59001001	12	der	DET	ART					S		Nom	F
59001001	13	in	ADP	APPR								
59001001	14	der	DET	ART					S		Nom	M
59001001	15	Zerstreuung	NOUN	NN					S		Nom	F
59001001	16	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
59001001	17	sein	DET	PPOSAT					S		Acc	M
59001001	18	Gruß	NOUN	NN					S		Nom	M
59001002	1	achtet	VERB	VVPP		Part						
59001002	2	es	PRON	PPER				3	S		Nom	N
59001002	3	für	ADP	APPR								
59001002	4	laut	ADV	PIAT	Cmp							
59001002	5	Freude	NOUN	NN					S		Nom	F
59001002	6	mein	DET	PPOSAT					S		Nom	F
59001002	7	Bruder	NOUN	NN					P		Nom	M
59001002	8	wenn	SCONJ	KOUS								
59001002	9	ihr	PRON	PPOSAT				3	S		Dat	F
59001002	10	in	ADP	APPR								
59001002	11	mancherlei	PRON	PIS								
59001002	12	Versuchung	NOUN	NN					P		Nom	F
59001002	13	Fallet	PROPN	NN					S		Nom	N
59001003	1	da	ADV	ADV								
59001003	2	ihr	PRON	PPOSAT				3	S		Dat	F
59001003	3	wisset	VERB	VVFIN		Fin	Pres	3	S	Ind		
59001003	4	daß	SCONJ	KOUS								
59001003	5	der	DET	ART					S		Nom	F
59001003	6	Bewährung	NOUN	NN					S		Nom	F
59001003	7	eures	DET	PPOSAT					S		Nom	N
59001003	8	Glauben	NOUN	NN					S		Gen	M
59001003	9	ausharren	NOUN	NN					S		Nom	N
59001003	10	bewirken	VERB	VVFIN		Fin	Pres	3	S	Ind		
59001004	1	der	DET	ART					S		Nom	N
59001004	2	ausharren	NOUN	NN					S		Nom	N
59001004	3	aber	CCONJ	KON								
59001004	4	haben	AUX	VAFIN		Fin	Pres	3	S	Sub		
59001004	5	ein	DET	ART					S		Nom	N
59001004	6	vollkommen	ADJ	ADJA	Pos				S		Nom	N
59001004	7	Werk	NOUN	NN					S		Nom	N
59001004	8	auf	ADP	PTKVZ								
59001004	9	daß	SCONJ	KOUS								
59001004	10	ihr	PRON	PPOSAT				3	S		Dat	F
59001004	11	vollkommen	ADV	ADJD	Pos							
59001004	12	und	CCONJ	KON								
59001004	13	vollenden	VERB	VVPP		Part						
