HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
6001001	1	und	CCONJ	KON								
6001001	2	es	PRON	PPER				3	S		Nom	N
6001001	3	geschehen	VERB	VVFIN		Fin	Past	3	S	Ind		
6001001	4	nach	ADP	APPR								
6001001	5	der	DET	ART					S		Dat	M
6001001	6	Tod	NOUN	NN					S		Nom	M
6001001	7	Moses	PROPN	NE					S		Nom	M
6001001	8	der	DET	ART					S		Gen	M
6001001	9	Knecht	NOUN	NN					S		Gen	M
6001001	10	Jahwe	PROPN	NE					S		Gen	
6001001	11	da	ADV	ADV								
6001001	12	sprechen	VERB	VVFIN		Fin	Past	3	S	Ind		
6001001	13	Jahwe	NOUN	NN					S		Nom	M
6001001	14	zu	ADP	PTKVZ								
6001001	15	Josua	PROPN	NE					S		Nom	M
6001001	16	der	DET	ART					S		Dat	M
6001001	17	Sohn	NOUN	NN					S		Acc	M
6001001	18	Nuns	PROPN	NN					S		Nom	
6001001	19	der	DET	ART					S		Dat	M
6001001	20	Diener	NOUN	NN					P		Nom	M
6001001	21	Moses	PROPN	NE					S		Nom	M
6001001	22	und	CCONJ	KON								
6001001	23	sagen	VERB	VVFIN		Fin	Past	3	S	Ind		
6001002	1	mein	PRON	PPOSAT				2	P		Nom	
6001002	2	Knecht	NOUN	NN					S		Nom	M
6001002	3	Mose	PROPN	NE					S		Nom	
6001002	4	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
6001002	5	sterben	VERB	VVPP		Part						
6001002	6	und	CCONJ	KON								
6001002	7	nun	ADV	ADV								
6001002	8	machen	VERB	VVFIN		Fin	Pres	3	S	Sub		
6001002	9	dich	PRON	PPER				2	S		Acc	
6001002	10	auf	ADP	PTKVZ								
6001002	11	gehen	VERB	VVFIN		Fin	Pres	3	S	Sub		
6001002	12	über	ADP	APPR								
6001002	13	dieser	DET	PDAT					S		Acc	M
6001002	14	Jordan	PROPN	NE					S		Nom	
6001002	15	du	PRON	PPER				2	S		Nom	
6001002	16	und	CCONJ	KON								
6001002	17	dieser	DET	PDAT					S		Nom	N
6001002	18	ganz	ADJ	ADJA	Pos				S		Nom	F
6001002	19	Volk	NOUN	NN					S		Nom	N
6001002	20	in	ADP	APPR								
