HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
60001001	1	Petrus	PROPN	FM					S		Nom	M
60001001	2	Apostel	NOUN	NN					P		Nom	M
60001001	3	Jesu	PROPN	NE					S		Gen	
60001001	4	Christi	PROPN	NE					S		Nom	
60001001	5	der	DET	ART					S		Acc	M
60001001	6	Fremdling	NOUN	NN					P		Nom	F
60001001	7	von	ADP	APPR								
60001001	8	der	DET	ART					S		Nom	M
60001001	9	Zerstreuung	NOUN	NN					S		Nom	F
60001001	10	von	ADP	APPR								
60001001	11	Pontus	PROPN	NE					S		Nom	N
60001001	12	Galatien	PROPN	NE					S		Nom	N
60001001	13	Kappadocien	PROPN	NN					S		Nom	F
60001001	14	Asien	PROPN	NE					S		Nom	N
60001001	15	und	CCONJ	KON								
60001001	16	Bithynien	PROPN	NE					S		Nom	N
60001001	17	auserwählen	VERB	VVPP		Part						
60001002	1	nach	ADP	APPR								
60001002	2	Vorkenntnis	NOUN	NN					S		Nom	F
60001002	3	Gott	NOUN	NN					S		Gen	M
60001002	4	der	DET	ART					S		Gen	M
60001002	5	Vater	NOUN	NN					S		Gen	M
60001002	6	durch	ADP	APPR								
60001002	7	Heiligung	NOUN	NN					S		Nom	F
60001002	8	der	DET	ART					S		Gen	M
60001002	9	Geist	NOUN	NN					S		Gen	M
60001002	10	zu	ADP	APPRART					S		Dat	N
60001002	11	Gehorsam	NOUN	NN					S		Nom	M
60001002	12	und	CCONJ	KON								
60001002	13	zu	ADP	APPRART					S		Dat	F
60001002	14	Blutbesprengung	NOUN	NN					S		Nom	F
60001002	15	Jesu	PROPN	NE					S		Gen	
60001002	16	Christi	PROPN	NE					S		Nom	
60001002	17	Gnade	NOUN	NN					S		Nom	F
60001002	18	und	CCONJ	KON								
60001002	19	Friede	NOUN	NN					S		Nom	M
60001002	20	sein	AUX	VAFIN		Fin	Pres	3	S	Sub		
60001002	21	euch	PRON	PPER				2	P		Dat	
60001002	22	vermehren	ADV	ADJD	Pos							
60001003	1	Gepriesen	ADV	ADJD	Pos							
60001003	2	sein	AUX	VAFIN		Fin	Pres	3	S	Sub		
60001003	3	der	DET	ART					S		Nom	M
60001003	4	Gott	NOUN	NN					S		Nom	M
60001003	5	und	CCONJ	KON								
60001003	6	Vater	NOUN	NN					S		Nom	M
60001003	7	unser	DET	PPOSAT					S		Gen	M
60001003	8	Herr	NOUN	NN					S		Acc	M
60001003	9	Jesus	PROPN	PPER					S		Nom	M
60001003	10	Christus	PROPN	NE					S		Nom	M
60001003	11	der	DET	ART					S		Nom	M
60001003	12	nach	ADP	APPR								
60001003	13	sein	DET	PPOSAT					S		Dat	F
60001003	14	groß	ADJ	ADJA	Pos				S		Acc	M
60001003	15	Barmherzigkeit	NOUN	NN					S		Nom	F
60001003	16	uns	PRON	PPER				1	P		Acc	
60001003	17	wiedergezeugen	VERB	VVFIN		Fin	Pres	3	S	Ind		
60001003	18	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
60001003	19	zu	ADP	PTKVZ								
60001003	20	ein	PRON	ART					S		Nom	M
60001003	21	lebendig	ADJ	ADJA	Pos				S		Acc	M
60001003	22	Hoffnung	NOUN	NN					S		Nom	F
60001003	23	durch	ADP	APPR								
60001003	24	der	DET	ART					S		Nom	F
60001003	25	Auferstehung	NOUN	NN					S		Nom	F
60001003	26	Jesu	PROPN	NE					S		Gen	
60001003	27	Christi	PROPN	NE					S		Nom	
60001003	28	aus	ADP	PTKVZ								
60001003	29	der	DET	ART					S		Acc	M
60001003	30	tote	NOUN	NN					P		Nom	
60001004	1	zu	ADP	PTKVZ								
60001004	2	ein	DET	ART					S		Dat	M
60001004	3	unverweslich	ADJ	ADJA	Pos				P		Nom	
60001004	4	und	CCONJ	KON								
60001004	5	unbefleckt	ADJ	ADJA	Pos				S		Acc	M
60001004	6	und	CCONJ	KON								
60001004	7	Unverwelklichen	NOUN	NE					S		Nom	N
60001004	8	Erbteil	NOUN	NN					S		Nom	M
60001004	9	welcher	DET	PWAT					S		Acc	N
60001004	10	in	ADP	APPR								
60001004	11	der	DET	ART					S		Acc	M
60001004	12	Himmel	NOUN	NN					P		Dat	M
60001004	13	aufbewahren	VERB	VVPP		Part						
60001004	14	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
60001004	15	für	ADP	APPR								
60001004	16	euch	PRON	PPER				2	P		Dat	
60001005	1	der	DET	ART					S		Nom	F
60001005	2	ihr	PRON	PPOSAT				3	S		Dat	F
60001005	3	durch	ADP	APPR								
60001005	4	Gott	NOUN	NN					S		Gen	M
60001005	5	Macht	NOUN	NN					S		Nom	F
