HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
64001001	1	der	DET	ART					S		Nom	M
64001001	2	Älteste	ADJ	ADJA	Sup				S		Nom	F
64001001	3	der	DET	ART					S		Dat	M
64001001	4	geliebt	ADJ	ADJA	Pos				S		Acc	M
64001001	5	Gajus	PROPN	NE					S		Nom	M
64001001	6	der	DET	ART					S		Acc	M
64001001	7	ich	PRON	PPER				1	S		Nom	
64001001	8	Liebe	VERB	NN		Fin	Pres	3	S	Sub		
64001001	9	in	ADP	APPR								
64001001	10	der	DET	ART					S		Nom	M
64001001	11	Wahrheit	NOUN	NN					S		Nom	F
64001002	1	Geliebter	NOUN	NN					S		Nom	M
64001002	2	ich	PRON	PPER				1	S		Nom	
64001002	3	wünschen	VERB	VVFIN		Fin	Pres	3	S	Sub		
64001002	4	daß	SCONJ	KOUS								
64001002	5	es	PRON	PPER				3	S		Nom	N
64001002	6	dir	PRON	PPER				2	S		Dat	
64001002	7	in	ADP	APPR								
64001002	8	alle	PRON	PIS					S		Dat	N
64001002	9	Wohlgehe	PROPN	NE					S		Nom	
64001002	10	und	CCONJ	KON								
64001002	11	du	PRON	PPER				2	S		Nom	
64001002	12	gesund	ADV	ADJD	Pos							
64001002	13	Seiest	AUX	VVIMP		Fin	Pres	3	S	Sub		
64001002	14	gleichwie	CCONJ	ADV								
64001002	15	es	PRON	PPER				3	S		Nom	N
64001002	16	dein	DET	PPOSAT					S		Dat	F
64001002	17	Seele	NOUN	NN					S		Nom	F
64001002	18	wohlgeht	PROPN	VVFIN					S		Nom	
64001003	1	denn	CCONJ	KON								
64001003	2	ich	PRON	PPER				1	S		Nom	
64001003	3	freuen	VERB	VVFIN		Fin	Past	3	S	Ind		
64001003	4	mich	PRON	PPER				1	S		Acc	
64001003	5	sehr	ADV	ADV								
64001003	6	als	ADP	KOKOM								
64001003	7	Bruder	NOUN	NN					P		Nom	M
64001003	8	kommen	VERB	VVFIN		Fin	Past	3	P	Ind		
64001003	9	und	CCONJ	KON								
64001003	10	Zeugnis	NOUN	NN					S		Nom	N
64001003	11	geben	VERB	VVFIN		Fin	Past	3	P	Ind		
64001003	12	von	ADP	APPR								
64001003	13	dein	DET	PPOSAT					S		Dat	M
64001003	14	festhalten	NOUN	NN					S		Nom	N
64001003	15	an	ADP	PTKVZ								
64001003	16	der	DET	ART					S		Nom	M
64001003	17	Wahrheit	NOUN	NN					S		Nom	F
64001003	18	gleichwie	CCONJ	ADV								
64001003	19	du	PRON	PPER				2	S		Nom	
64001003	20	in	ADP	APPR								
64001003	21	der	DET	ART					S		Nom	M
64001003	22	Wahrheit	NOUN	NN					S		Nom	F
64001003	23	wandelsen	VERB	VVFIN		Fin	Pres	2	S	Ind		
64001004	1	ich	PRON	PPER				1	S		Nom	
64001004	2	haben	AUX	VAFIN		Fin	Pres	3	S	Sub		
64001004	3	kein	DET	PIAT					S		Nom	F
64001004	4	groß	ADJ	ADJA	Cmp				S		Nom	F
64001004	5	Freude	NOUN	NN					S		Nom	F
64001004	6	als	ADP	KOKOM								
64001004	7	dieser	PRON	PDS					S		Nom	N
64001004	8	daß	SCONJ	KOUS								
64001004	9	ich	PRON	PPER				1	S		Nom	
64001004	10	hören	VERB	VVFIN		Fin	Pres	3	S	Sub		
64001004	11	daß	SCONJ	KOUS								
64001004	12	mein	DET	PPOSAT					S		Nom	F
64001004	13	Kind	NOUN	NN					P		Nom	N
64001004	14	in	ADP	APPR								
64001004	15	der	DET	ART					S		Nom	M
64001004	16	Wahrheit	NOUN	NN					S		Nom	F
64001004	17	wandeln	VERB	VVINF		Inf						
64001005	1	Geliebter	NOUN	NN					S		Nom	M
64001005	2	treulich	ADV	ADJD	Pos							
64001005	3	tust	VERB	VVFIN		Fin	Pres	3	S	Ind		
64001005	4	du	PRON	PPER				2	S		Nom	
64001005	5	was	PRON	PWS					S		Nom	N
64001005	6	irgend	ADV	ADV								
64001005	7	du	PRON	PPER				2	S		Nom	
64001005	8	an	ADP	PTKVZ								
64001005	9	der	DET	ART					S		Acc	M
64001005	10	Brüdern	NOUN	NN					P		Dat	M
64001005	11	und	CCONJ	KON								
64001005	12	zwar	ADV	ADV								
64001005	13	an	ADP	PTKVZ								
64001005	14	fremde	NOUN	NN					P		Dat	
64001005	15	tun	VERB	VVPP		Part						
64001005	16	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
64001005	17	magst	X	ADV								
64001006	1	der	DET	ART					S		Nom	F
64001006	2	von	ADP	APPR								
64001006	3	dein	DET	PPOSAT					S		Dat	F
64001006	4	Liebe	NOUN	NN					S		Nom	F
64001006	5	Zeugnis	NOUN	NN					S		Nom	N
64001006	6	geben	VERB	VVPP		Part						
64001006	7	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
64001006	8	vor	ADP	APPR								
64001006	9	der	DET	ART					S		Nom	M
64001006	10	Versammlung	NOUN	NN					S		Nom	F
64001006	11	und	CCONJ	KON								
64001006	12	du	PRON	PPER				2	S		Nom	
64001006	13	wersten	AUX	VAFIN		Fin	Pres	2	S	Ind		
64001006	14	Wohltun	VERB	VVPP		Part						
64001006	15	wenn	SCONJ	KOUS								
64001006	16	du	PRON	PPER				2	S		Nom	
64001006	17	sie	PRON	PPER				3	P		Nom	
64001006	18	auf	ADP	PTKVZ								
64001006	19	ein	DET	ART					S		Nom	F
64001006	20	gotteswürdig	PROPN	NE					S		Nom	
64001006	21	Weise	NOUN	NN					S		Nom	F
64001006	22	Geleitest	NOUN	NN					S		Nom	M
64001007	1	denn	CCONJ	KON								
64001007	2	für	ADP	APPR								
64001007	3	der	DET	ART					S		Acc	M
64001007	4	Name	NOUN	NN					P		Nom	M
64001007	5	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
64001007	6	sie	PRON	PPER				3	P		Nom	
64001007	7	ausgehen	VERB	VVPP		Part						
64001007	8	und	CCONJ	KON								
64001007	9	nehmen	VERB	VVINF		Inf						
64001007	10	nichts	PRON	PIS								N
64001007	11	von	ADP	APPR								
64001007	12	der	PRON	PDS					P		Dat	
64001007	13	aus	ADP	PTKVZ								
64001007	14	der	DET	ART					S		Acc	M
64001007	15	Nation	NOUN	NN					P		Nom	F
64001008	1	wir	PRON	PPER				1	P		Nom	
64001008	2	nun	ADV	ADV								
64001008	3	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
64001008	4	schuldig	ADV	ADJD	Pos							
64001008	5	solcher	DET	PIS					S		Nom	F
64001008	6	aufnehmen	VERB	VVIZU		Inf						
64001008	7	auf	ADP	PTKVZ								
64001008	8	daß	SCONJ	KOUS								
64001008	9	wir	PRON	PPER				1	P		Nom	
64001008	10	Mitarbeiter	NOUN	NN					P		Nom	M
64001008	11	der	DET	ART					S		Nom	M
64001008	12	Wahrheit	NOUN	NN					S		Nom	F
64001008	13	werden	AUX	VAFIN		Fin	Pres	3	P	Ind		
64001009	1	ich	PRON	PPER				1	S		Nom	
64001009	2	schreiben	VERB	VVFIN		Fin	Past	3	S	Ind		
64001009	3	etwas	PRON	PIS								N
64001009	4	an	ADP	PTKVZ								
64001009	5	der	DET	ART					S		Nom	F
64001009	6	Versammlung	NOUN	NN					S		Nom	F
64001009	7	aber	CCONJ	KON								
64001009	8	Diotrephes	PROPN	XY					S		Gen	
64001009	9	der	DET	ART					S		Nom	M
64001009	10	gern	ADV	ADV								
64001009	11	unter	ADP	APPR								
64001009	12	ihnen	PRON	PPER				3	P		Dat	
64001009	13	der	DET	ART					S		Nom	M
64001009	14	erster	PRON	PIS					S		Nom	N
64001009	15	sein	AUX	VAINF		Inf						
64001009	16	wollen	AUX	VMFIN		Fin	Pres	3	S	Ind		
64001009	17	nehmen	VERB	VVFIN		Fin	Pres	3	S	Ind		
64001009	18	uns	PRON	PPER				1	P		Acc	
64001009	19	nicht	PART	PTKNEG								
64001009	20	an	ADP	PTKVZ								
64001010	1	deshalb	ADV	PROAV								
64001010	2	wenn	SCONJ	KOUS								
64001010	3	ich	PRON	PPER				1	S		Nom	
64001010	4	kommen	VERB	VVFIN		Fin	Pres	3	S	Sub		
64001010	5	wollen	AUX	VMFIN		Fin	Pres	3	S	Ind		
64001010	6	ich	PRON	PPER				1	S		Nom	
64001010	7	sein	DET	PPOSAT					S		Dat	F
64001010	8	Werk	NOUN	NN					P		Nom	N
64001010	9	gedenken	VERB	VVINF		Inf						
64001010	10	der	DET	ART					S		Nom	F
64001010	11	er	PRON	PPER				3	S		Nom	M
64001010	12	tun	VERB	VVFIN		Fin	Pres	3	S	Ind		
64001010	13	indem	SCONJ	KOUS								
64001010	14	er	PRON	PPER				3	S		Nom	M
64001010	15	mit	ADP	APPR								
64001010	16	böse	ADJ	PIS	Pos				S		Acc	M
64001010	17	Wort	NOUN	NN					P		Dat	N
64001010	18	wider	ADP	PTKVZ								
64001010	19	uns	PRON	PPER				1	P		Acc	
64001010	20	schwatzen	VERB	VVFIN		Fin	Pres	3	S	Ind		
64001010	21	und	CCONJ	KON								
64001010	22	sich	PRON	PRF				3	S		Acc	
64001010	23	hiermit	ADV	PROAV								
64001010	24	nicht	PART	PTKNEG								
64001010	25	begnügend	ADV	ADJD	Pos							
64001010	26	nehmen	VERB	VVFIN		Fin	Pres	3	S	Ind		
64001010	27	er	PRON	PPER				3	S		Nom	M
64001010	28	selbst	ADV	ADV								
64001010	29	der	DET	ART					S		Nom	F
64001010	30	Bruder	NOUN	NN					P		Nom	M
64001010	31	nicht	PART	PTKNEG								
64001010	32	an	ADP	PTKVZ								
64001010	33	und	CCONJ	KON								
64001010	34	wehren	VERB	VVFIN		Fin	Pres	3	S	Ind		
64001010	35	auch	ADV	ADV								
64001010	36	der	PRON	PDS					P		Dat	
64001010	37	der	DET	ART					S		Nom	F
64001010	38	es	PRON	PPER				3	S		Nom	N
64001010	39	wollen	AUX	VMFIN		Fin	Pres	3	P	Ind		
64001010	40	und	CCONJ	KON								
64001010	41	stoßen	VERB	VVFIN		Fin	Pres	3	S	Ind		
64001010	42	sie	PRON	PPER				3	P		Nom	
64001010	43	aus	ADP	PTKVZ								
64001010	44	der	DET	ART					S		Nom	M
64001010	45	Versammlung	NOUN	NN					S		Nom	F
64001011	1	Geliebter	NOUN	NN					S		Nom	M
64001011	2	ahmen	VERB	VVFIN		Fin	Pres	3	S	Sub		
64001011	3	nicht	PART	PTKNEG								
64001011	4	der	DET	ART					S		Nom	N
64001011	5	böse	ADV	ADV								
64001011	6	nach	ADP	APPR								
64001011	7	sondern	CCONJ	KON								
64001011	8	der	DET	ART					S		Nom	N
64001011	9	gut	ADV	ADV								
64001011	10	wer	PRON	PWS					S		Nom	M
