HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
65001001	1	Judas	PROPN	NE					S		Nom	M
65001001	2	Knecht	NOUN	NN					S		Nom	M
65001001	3	Jesu	PROPN	NE					S		Gen	
65001001	4	Christi	PROPN	NE					S		Nom	
65001001	5	und	CCONJ	KON								
65001001	6	Bruder	NOUN	NN					S		Nom	M
65001001	7	der	DET	ART					S		Gen	M
65001001	8	Jakobus	PROPN	NE					S		Nom	M
65001001	9	der	DET	ART					S		Acc	M
65001001	10	in	ADP	APPR								
65001001	11	Gott	NOUN	NN					S		Nom	M
65001001	12	der	DET	ART					S		Dat	M
65001001	13	Vater	NOUN	NN					S		Nom	M
65001001	14	geliebt	ADJ	ADJA	Pos				S		Acc	M
65001001	15	und	CCONJ	KON								
65001001	16	in	ADP	APPR								
65001001	17	Jesu	PROPN	NE					S		Gen	
65001001	18	Christo	PROPN	NE					S		Nom	M
65001001	19	bewahren	VERB	VVFIN		Fin	Past	3	P	Ind		
65001001	20	berufener	NOUN	NN					P		Nom	
65001002	1	Barmherzigkeit	NOUN	NN					S		Nom	F
65001002	2	und	CCONJ	KON								
65001002	3	Friede	NOUN	NN					S		Nom	M
65001002	4	und	CCONJ	KON								
65001002	5	Liebe	NOUN	NN					S		Nom	F
65001002	6	sein	AUX	VAFIN		Fin	Pres	3	S	Sub		
65001002	7	euch	PRON	PPER				2	P		Dat	
65001002	8	vermehren	ADV	ADJD	Pos							
65001003	1	Geliebte	NOUN	NN					S		Nom	F
65001003	2	indem	SCONJ	KOUS								
65001003	3	ich	PRON	PPER				1	S		Nom	
65001003	4	aller	DET	PIS					P		Dat	
65001003	5	Fleiß	NOUN	NN					S		Acc	M
65001003	6	anwenden	VERB	VVFIN		Fin	Past	3	S	Ind		
65001003	7	euch	PRON	PPER				2	P		Dat	
65001003	8	über	ADP	APPR								
65001003	9	unser	DET	PPOSAT					S		Nom	N
65001003	10	gemeinsam	ADJ	ADJA	Pos				S		Nom	N
65001003	11	Heil	PROPN	NE					S		Nom	N
65001003	12	zu	ADP	PTKVZ								
65001003	13	schreiben	VERB	VVINF		Inf						
65001003	14	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
65001003	15	ich	PRON	PPER				1	S		Nom	
65001003	16	nötigen	VERB	VVPP		Part						
65001003	17	euch	PRON	PPER				2	P		Dat	
65001003	18	zu	ADP	PTKVZ								
65001003	19	schreiben	VERB	VVINF		Inf						
65001003	20	und	CCONJ	KON								
65001003	21	zu	ADP	PTKVZ								
65001003	22	ermahnen	VERB	VVINF		Inf						
65001003	23	für	ADP	APPR								
65001003	24	der	DET	ART					S		Acc	M
65001003	25	einmal	ADV	ADV								
65001003	26	der	DET	ART					S		Acc	M
65001003	27	heilig	NOUN	NN					P		Dat	
65001003	28	überliefert	ADJ	ADJA	Pos				S		Acc	M
65001003	29	Glaube	NOUN	NN					S		Acc	M
65001003	30	zu	ADP	PTKVZ								
65001003	31	kämpfen	VERB	VVFIN		Fin	Pres	3	P	Ind		
65001004	1	denn	CCONJ	KON								
65001004	2	gewiß	ADJ	ADJA	Pos				P		Nom	F
65001004	3	Mensch	NOUN	NN					P		Nom	M
65001004	4	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
65001004	5	sich	PRON	PRF				3	S		Acc	
65001004	6	nebeneingeschlich	VERB	ADJA		Fin	Past	3	P	Ind		
65001004	7	der	DET	ART					S		Nom	F
65001004	8	schon	ADV	ADV								
65001004	9	vorlängst	X	NE								
65001004	10	zu	ADP	PTKVZ								
65001004	11	dieser	DET	PDAT					S		Dat	N
65001004	12	Gericht	NOUN	NN					S		Nom	N
65001004	13	zuvor	ADV	ADV								
65001004	14	aufzeichnen	VERB	VVPP		Part						
65001004	15	sein	AUX	VAFIN		Fin	Past	3	P	Ind		
65001004	16	Gottlos	NOUN	NN					P		Nom	
65001004	17	welcher	DET	PWAT					S		Nom	F
65001004	18	der	DET	ART					S		Nom	F
65001004	19	Gnade	NOUN	NN					S		Nom	F
65001004	20	unser	DET	PPOSAT					S		Gen	M
65001004	21	Gott	NOUN	NN					S		Gen	M
65001004	22	in	ADP	APPR								
65001004	23	Ausschweifung	NOUN	NN					S		Nom	F
65001004	24	verkehren	VERB	VVFIN		Fin	Pres	3	P	Ind		
65001004	25	und	CCONJ	KON								
65001004	26	unser	DET	PPOSAT					S		Acc	M
65001004	27	alleinig	ADJ	ADJA	Pos				S		Dat	
65001004	28	Gebieter	NOUN	NN					P		Nom	M
65001004	29	und	CCONJ	KON								
65001004	30	Herr	NOUN	NN					S		Acc	M
65001004	31	Jesus	PROPN	PPER					S		Nom	M
65001004	32	Christus	PROPN	NE					S		Nom	M
65001004	33	verleugnen	VERB	VVINF		Inf						
65001005	1	ich	PRON	PPER				1	S		Nom	
