HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
66001001	1	Offenbarung	NOUN	NN					S		Nom	F
66001001	2	Jesu	PROPN	NE					S		Gen	
66001001	3	Christi	PROPN	NE					S		Nom	
66001001	4	welcher	DET	PWAT					S		Nom	F
66001001	5	Gott	NOUN	NN					S		Nom	M
66001001	6	ihm	PRON	PPER				3	S		Dat	M
66001001	7	geben	VERB	VVFIN		Fin	Past	3	S	Ind		
66001001	8	um	ADP	APPR								
66001001	9	sein	DET	PPOSAT					S		Acc	M
66001001	10	knechte	NOUN	NN					P		Nom	M
66001001	11	zu	ADP	PTKVZ								
66001001	12	zeigen	VERB	VVINF		Inf						
66001001	13	was	PRON	PWS					S		Nom	N
66001001	14	bald	ADV	ADV								
66001001	15	geschehen	VERB	VVPP		Part						
66001001	16	müssen	AUX	VMFIN		Fin	Pres	3	S	Ind		
66001001	17	und	CCONJ	KON								
66001001	18	durch	ADP	APPR								
66001001	19	sein	DET	PPOSAT					S		Acc	M
66001001	20	Engel	NOUN	NN					S		Nom	M
66001001	21	Sendend	ADV	ADJD	Pos							
66001001	22	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
66001001	23	er	PRON	PPER				3	S		Nom	M
66001001	24	es	PRON	PPER				3	S		Nom	N
66001001	25	sein	DET	PPOSAT					S		Dat	M
66001001	26	Knecht	NOUN	NN					P		Nom	M
66001001	27	Johannes	PROPN	NE					S		Nom	M
66001001	28	zeigen	VERB	VVPP		Part						
66001002	1	der	DET	ART					S		Nom	M
66001002	2	bezeugen	VERB	VVFIN		Fin	Pres	3	S	Ind		
66001002	3	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
66001002	4	der	DET	ART					S		Nom	N
66001002	5	Wort	NOUN	NN					S		Nom	N
66001002	6	Gott	NOUN	NN					S		Gen	M
66001002	7	und	CCONJ	KON								
66001002	8	der	DET	ART					S		Nom	N
66001002	9	Zeugnis	NOUN	NN					S		Nom	N
66001002	10	Jesu	PROPN	NE					S		Gen	
66001002	11	Christi	PROPN	NE					S		Nom	
66001002	12	alle	PRON	PIS					S		Nom	N
66001002	13	was	PRON	PWS					S		Nom	N
66001002	14	er	PRON	PPER				3	S		Nom	M
66001002	15	sehen	VERB	VVFIN		Fin	Past	3	S	Ind		
66001003	1	glückselig	ADV	ADJD	Pos							
66001003	2	der	DET	ART					S		Nom	M
66001003	3	da	ADV	ADV								
66001003	4	lesen	VERB	VVFIN		Fin	Pres	3	S	Ind		
66001003	5	und	CCONJ	KON								
66001003	6	der	DET	ART					S		Nom	F
66001003	7	da	ADV	ADV								
66001003	8	hören	VERB	VVINF		Inf						
66001003	9	der	DET	ART					S		Nom	F
66001003	10	Wort	NOUN	NN					P		Nom	N
66001003	11	der	DET	ART					S		Nom	M
66001003	12	Weissagung	NOUN	NN					S		Nom	F
66001003	13	und	CCONJ	KON								
66001003	14	bewahren	VERB	VVINF		Inf						
66001003	15	was	PRON	PWS					S		Nom	N
66001003	16	in	ADP	APPR								
66001003	17	ihr	PRON	PPOSAT				3	S		Dat	F
66001003	18	schreiben	VERB	VVPP		Part						
66001003	19	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
66001003	20	denn	CCONJ	KON								
66001003	21	der	DET	ART					S		Nom	F
66001003	22	Zeit	NOUN	NN					S		Nom	F
66001003	23	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
66001003	24	nah	ADP	APPR								
66001004	1	Johannes	PROPN	NE					S		Nom	M
66001004	2	der	DET	ART					S		Acc	M
66001004	3	sieben	NUM	CARD								
66001004	4	Versammlung	NOUN	NN					P		Nom	F
66001004	5	der	DET	ART					S		Nom	F
66001004	6	in	ADP	APPR								
66001004	7	Asien	PROPN	NE					S		Nom	N
66001004	8	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
66001004	9	Gnade	NOUN	NN					S		Nom	F
66001004	10	euch	PRON	PPER				2	P		Dat	
66001004	11	und	CCONJ	KON								
66001004	12	Friede	NOUN	NN					S		Nom	M
66001004	13	von	ADP	APPR								
66001004	14	der	DET	ART					S		Dat	M
66001004	15	der	DET	ART					S		Nom	M
66001004	16	da	ADV	ADV								
66001004	17	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
66001004	18	und	CCONJ	KON								
66001004	19	der	DET	ART					S		Nom	M
66001004	20	da	ADV	ADV								
66001004	21	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
66001004	22	und	CCONJ	KON								
66001004	23	der	DET	ART					S		Nom	M
66001004	24	da	ADV	ADV								
66001004	25	kommen	VERB	VVFIN		Fin	Pres	3	S	Ind		
66001004	26	und	CCONJ	KON								
66001004	27	von	ADP	APPR								
66001004	28	der	DET	ART					S		Acc	M
66001004	29	sieben	NUM	CARD								
66001004	30	Geister	NOUN	NN					P		Dat	M
66001004	31	der	DET	ART					S		Nom	F
66001004	32	vor	ADP	APPR								
66001004	33	sein	DET	PPOSAT					S		Dat	M
66001004	34	Throne	NOUN	NN					S		Nom	F
66001004	35	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
66001005	1	und	CCONJ	KON								
66001005	2	von	ADP	APPR								
66001005	3	Jesu	PROPN	NE					S		Gen	
66001005	4	Christo	PROPN	NE					S		Nom	M
66001005	5	welcher	PRON	PWAT					S		Nom	M
66001005	6	der	DET	ART					S		Nom	M
66001005	7	treu	ADJ	ADJA	Pos				S		Nom	F
66001005	8	Zeuge	NOUN	NN					S		Nom	M
66001005	9	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
66001005	10	der	DET	ART					S		Nom	M
66001005	11	Erstgeborene	NOUN	NN					S		Nom	F
66001005	12	der	DET	ART					S		Nom	M
66001005	13	tote	NOUN	NN					P		Nom	
66001005	14	und	CCONJ	KON								
66001005	15	der	DET	ART					S		Nom	M
66001005	16	Fürst	NOUN	NN					S		Nom	M
66001005	17	der	DET	ART					S		Nom	M
66001005	18	König	NOUN	NN					P		Nom	M
66001005	19	der	DET	ART					S		Nom	M
66001005	20	Erde	NOUN	NN					S		Nom	F
66001005	21	der	DET	ART					S		Dat	M
66001005	22	der	DET	ART					S		Nom	M
66001005	23	uns	PRON	PPER				1	P		Acc	
66001005	24	lieben	VERB	VVFIN		Fin	Pres	3	S	Ind		
66001005	25	und	CCONJ	KON								
66001005	26	uns	PRON	PPER				1	P		Acc	
66001005	27	von	ADP	APPR								
66001005	28	unser	DET	PPOSAT					S		Acc	M
66001005	29	Sünde	NOUN	NN					P		Nom	F
66001005	30	waschen	VERB	VVPP		Part						
66001005	31	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
66001005	32	in	ADP	APPR								
66001005	33	sein	DET	PPOSAT					S		Dat	M
66001005	34	Blut	NOUN	NN					S		Nom	N
66001006	1	und	CCONJ	KON								
66001006	2	uns	PRON	PPER				1	P		Acc	
66001006	3	machen	VERB	VVPP		Part						
66001006	4	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
66001006	5	zu	ADP	PTKVZ								
66001006	6	ein	DET	ART					S		Dat	M
66001006	7	Königtum	NOUN	NN					S		Nom	N
66001006	8	zu	ADP	PTKVZ								
66001006	9	Priester	NOUN	NN					P		Dat	M
66001006	10	sein	DET	PPOSAT					S		Dat	M
66001006	11	Gott	NOUN	NN					S		Nom	M
66001006	12	und	CCONJ	KON								
66001006	13	Vater	NOUN	NN					S		Nom	M
66001006	14	ihm	PRON	PPER				3	S		Dat	M
66001006	15	sein	AUX	VAFIN		Fin	Pres	3	S	Sub		
66001006	16	der	DET	ART					S		Nom	F
66001006	17	Herrlichkeit	NOUN	NN					S		Nom	F
66001006	18	und	CCONJ	KON								
66001006	19	der	DET	ART					S		Nom	F
66001006	20	Macht	NOUN	NN					S		Nom	F
66001006	21	in	ADP	APPR								
66001006	22	der	DET	ART					S		Nom	F
66001006	23	Zeitalter	NOUN	NN					S		Nom	N
66001006	24	der	DET	ART					S		Nom	M
66001006	25	Zeitalter	NOUN	NN					S		Nom	N
66001006	26	Amen	NOUN	NN					S		Nom	N
66001007	1	sehen	VERB	VVIMP				2	S	Imp		
66001007	2	er	PRON	PPER				3	S		Nom	M
66001007	3	kommen	VERB	VVFIN		Fin	Pres	3	S	Ind		
66001007	4	mit	ADP	APPR								
66001007	5	der	DET	ART					S		Acc	M
66001007	6	Wolke	NOUN	NN					P		Nom	F
66001007	7	und	CCONJ	KON								
66001007	8	jeder	DET	PIAT					S		Nom	N
66001007	9	Auge	NOUN	NN					S		Nom	N
66001007	10	werden	AUX	VAFIN		Fin	Pres	3	S	Ind		
66001007	11	ihn	PRON	PPER				3	S		Acc	M
66001007	12	sehen	VERB	VVINF		Fin	Pres	3	P	Ind		
66001007	13	auch	ADV	ADV								
66001007	14	der	DET	ART					S		Nom	F
66001007	15	ihn	PRON	PPER				3	S		Acc	M
66001007	16	durchstochen	VERB	VVINF		Inf						
66001007	17	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
66001007	18	und	CCONJ	KON								
66001007	19	wehklagen	VERB	VVFIN		Fin	Pres	3	P	Ind		
66001007	20	werden	AUX	VAFIN		Fin	Pres	3	P	Ind		
66001007	21	seinetwegen	ADV	ADV								
66001007	22	aller	PRON	PIS					P		Nom	
66001007	23	Stamm	NOUN	NN					P		Nom	M
66001007	24	der	DET	ART					S		Gen	M
66001007	25	Land	NOUN	NN					S		Gen	N
66001007	26	ja	PART	PTKANT								
66001007	27	Amen	NOUN	NN					S		Nom	N
66001008	1	ich	PRON	PPER				1	S		Nom	
66001008	2	sein	AUX	VAFIN		Fin	Pres	1	S	Ind		
66001008	3	der	DET	ART					S		Nom	N
66001008	4	Alpha	PROPN	NE					S		Nom	
66001008	5	und	CCONJ	KON								
66001008	6	der	DET	ART					S		Nom	N
66001008	7	Omega	PROPN	NE					S		Nom	
66001008	8	sprechen	VERB	VVFIN		Fin	Pres	3	S	Ind		
66001008	9	der	DET	ART					S		Nom	M
66001008	10	Herr	NOUN	NN					S		Nom	M
66001008	11	Gott	NOUN	NN					S		Nom	M
66001008	12	der	DET	ART					S		Nom	M
66001008	13	da	ADV	ADV								
66001008	14	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
66001008	15	und	CCONJ	KON								
66001008	16	der	DET	ART					S		Nom	M
66001008	17	da	ADV	ADV								
66001008	18	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
66001008	19	und	CCONJ	KON								
66001008	20	der	DET	ART					S		Nom	M
66001008	21	da	ADV	ADV								
66001008	22	kommen	VERB	VVFIN		Fin	Pres	3	S	Ind		
66001008	23	der	DET	ART					S		Nom	M
66001008	24	allmächtige	NOUN	ADJA					P		Nom	
66001009	1	ich	PRON	PPER				1	S		Nom	
66001009	2	Johannes	PROPN	NE					S		Nom	M
66001009	3	euer	DET	PPOSAT					S		Nom	M
66001009	4	Bruder	NOUN	NN					S		Nom	M
66001009	5	und	CCONJ	KON								
66001009	6	Mitgenoß	NOUN	NN					P		Nom	M
66001009	7	in	ADP	APPR								
