HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
7001001	1	und	CCONJ	KON								
7001001	2	es	PRON	PPER				3	S		Nom	N
7001001	3	geschehen	VERB	VVFIN		Fin	Past	3	S	Ind		
7001001	4	nach	ADP	APPR								
7001001	5	der	DET	ART					S		Dat	M
7001001	6	Tod	NOUN	NN					S		Nom	M
7001001	7	Josua	PROPN	NE					S		Gen	N
7001001	8	da	ADV	ADV								
7001001	9	befragen	VERB	VVFIN		Fin	Past	3	P	Ind		
7001001	10	der	DET	ART					S		Nom	F
7001001	11	Kind	NOUN	NN					P		Nom	N
7001001	12	Israel	PROPN	NE					S		Nom	N
7001001	13	Jahwe	NOUN	NN					S		Nom	M
7001001	14	und	CCONJ	KON								
7001001	15	sprechen	VERB	VVFIN		Fin	Past	3	P	Ind		
7001001	16	wer	PRON	PWS					S		Nom	M
7001001	17	von	ADP	APPR								
7001001	18	uns	PRON	PPER				1	P		Acc	
7001001	19	sollen	AUX	VMFIN		Fin	Pres	3	S	Ind		
7001001	20	zuerst	ADV	ADV								
7001001	21	wider	ADP	PTKVZ								
7001001	22	der	DET	ART					S		Nom	F
7001001	23	Kanaaniter	NOUN	NN					S		Nom	M
7001001	24	hinaufziehen	VERB	VVINF		Inf						
7001001	25	um	ADP	APPR								
7001001	26	wider	ADP	PTKVZ								
7001001	27	sie	PRON	PPER				3	P		Nom	
7001001	28	zu	ADP	PTKVZ								
7001001	29	streiten	VERB	VVINF		Inf						
7001002	1	und	CCONJ	KON								
7001002	2	Jahwe	NOUN	NN					S		Nom	M
7001002	3	sprechen	VERB	VVFIN		Fin	Past	3	S	Ind		
7001002	4	Juda	PROPN	NE					S		Nom	M
7001002	5	sollen	AUX	VMFIN		Fin	Pres	3	S	Ind		
7001002	6	hinaufziehen	VERB	VVINF		Inf						
7001002	7	sehen	VERB	VVIMP				2	S	Imp		
7001002	8	ich	PRON	PPER				1	S		Nom	
7001002	9	haben	AUX	VAFIN		Fin	Pres	3	S	Sub		
7001002	10	der	DET	ART					S		Nom	N
7001002	11	Land	NOUN	NN					S		Nom	N
7001002	12	in	ADP	APPR								
7001002	13	sein	DET	PPOSAT					S		Nom	F
7001002	14	Hand	NOUN	NN					S		Nom	F
7001002	15	geben	VERB	VVPP		Part						
7001003	1	und	CCONJ	KON								
7001003	2	Juda	PROPN	NE					S		Nom	M
7001003	3	sprechen	VERB	VVFIN		Fin	Past	3	S	Ind		
7001003	4	zu	ADP	PTKVZ								
7001003	5	Simeon	PROPN	NE					S		Nom	M
7001003	6	sein	DET	PPOSAT					S		Dat	M
7001003	7	Bruder	NOUN	NN					S		Nom	M
7001003	8	Ziehe	VERB	VVIMP				2	S	Imp		
7001003	9	mit	ADP	APPR								
7001003	10	mir	PRON	PPER				1	S		Dat	
7001003	11	hinauf	ADV	PTKVZ								
7001003	12	in	ADP	APPR								
7001003	13	mein	DET	PPOSAT					S		Nom	N
7001003	14	Los	NOUN	NE					S		Nom	N
7001003	15	und	CCONJ	KON								
7001003	16	laß	VERB	VVIMP				2	S	Imp		
7001003	17	uns	PRON	PPER				1	P		Acc	
7001003	18	wider	ADP	PTKVZ								
7001003	19	der	DET	ART					S		Nom	F
7001003	20	Kanaaniter	NOUN	NN					S		Nom	M
7001003	21	streiten	VERB	VVINF		Inf						
7001003	22	so	ADV	ADV								
7001003	23	wollen	AUX	VMFIN		Fin	Pres	3	S	Ind		
7001003	24	auch	ADV	ADV								
7001003	25	ich	PRON	PPER				1	S		Nom	
7001003	26	mit	ADP	APPR								
7001003	27	dir	PRON	PPER				2	S		Dat	
7001003	28	in	ADP	APPR								
7001003	29	dein	DET	PPER					S		Nom	N
7001003	30	Los	NOUN	NE					S		Nom	N
7001003	31	ziehen	VERB	VVINF		Inf						
7001003	32	und	CCONJ	KON								
7001003	33	Simeon	PROPN	NE					S		Nom	M
7001003	34	ziehen	VERB	VVFIN		Fin	Past	3	S	Ind		
7001003	35	mit	ADP	APPR								
7001003	36	ihm	PRON	PPER				3	S		Dat	M
7001004	1	und	CCONJ	KON								
7001004	2	Juda	PROPN	NE					S		Nom	M
7001004	3	ziehen	VERB	VVFIN		Fin	Past	3	S	Ind		
7001004	4	hinauf	ADV	PTKVZ								
7001004	5	und	CCONJ	KON								
7001004	6	Jahwe	NOUN	NN					S		Nom	M
7001004	7	geben	VERB	VVFIN		Fin	Past	3	S	Ind		
7001004	8	der	DET	ART					S		Nom	F
7001004	9	Kanaaniter	NOUN	NN					S		Nom	M
7001004	10	und	CCONJ	KON								
7001004	11	der	DET	ART					S		Nom	F
7001004	12	Perisiter	NOUN	NN					S		Nom	F
7001004	13	in	ADP	APPR								
7001004	14	ihr	DET	PPOSAT					S		Nom	F
7001004	15	Hand	NOUN	NN					S		Nom	F
7001004	16	und	CCONJ	KON								
7001004	17	sie	PRON	PPER				3	P		Nom	
7001004	18	schlagen	VERB	VVFIN		Fin	Past	3	P	Ind		
7001004	19	sie	PRON	PPER				3	P		Nom	
7001004	20	zu	ADP	PTKVZ								
7001004	21	Besek	PROPN	NE					S		Nom	
7001004	22	zehntausend	NUM	CARD								
7001004	23	Mann	NOUN	NN					S		Nom	M
7001005	1	und	CCONJ	KON								
7001005	2	sie	PRON	PPER				3	P		Nom	
7001005	3	finden	VERB	VVFIN		Fin	Past	3	P	Ind		
7001005	4	der	DET	ART					S		Acc	M
7001005	5	Adoni-Besek	NOUN	NN					S		Nom	F
7001005	6	in	ADP	APPR								
7001005	7	Besek	PROPN	NE					S		Nom	
7001005	8	und	CCONJ	KON								
7001005	9	streiten	VERB	VVFIN		Fin	Past	3	P	Ind		
7001005	10	wider	ADP	PTKVZ								
7001005	11	ihn	PRON	PPER				3	S		Acc	M
7001005	12	und	CCONJ	KON								
7001005	13	sie	PRON	PPER				3	P		Nom	
7001005	14	schlagen	VERB	VVFIN		Fin	Past	3	P	Ind		
7001005	15	der	DET	ART					S		Nom	F
7001005	16	Kanaaniter	NOUN	NN					S		Nom	M
7001005	17	und	CCONJ	KON								
7001005	18	der	DET	ART					S		Nom	F
7001005	19	Perisiter	NOUN	NN					S		Nom	F
7001006	1	und	CCONJ	KON								
7001006	2	Adoni-Besek	NOUN	NN					S		Nom	F
