HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
8001001	1	und	CCONJ	KON								
8001001	2	es	PRON	PPER				3	S		Nom	N
8001001	3	geschehen	VERB	VVFIN		Fin	Past	3	S	Ind		
8001001	4	in	ADP	APPR								
8001001	5	der	DET	ART					S		Acc	M
8001001	6	Tag	NOUN	NN					P		Dat	M
8001001	7	als	ADP	KOKOM								
8001001	8	der	DET	ART					S		Nom	F
8001001	9	Richter	NOUN	NN					S		Nom	M
8001001	10	richten	VERB	VVFIN		Fin	Past	3	P	Ind		
8001001	11	da	ADV	ADV								
8001001	12	entstehen	VERB	VVFIN		Fin	Past	3	S	Ind		
8001001	13	ein	DET	ART					S		Nom	F
8001001	14	Hungersnot	NOUN	NN					S		Nom	F
8001001	15	in	ADP	APPRART					S		Dat	N
8001001	16	Land	NOUN	NN					P		Nom	N
8001001	17	und	CCONJ	KON								
8001001	18	ein	DET	ART					S		Nom	N
8001001	19	Mann	NOUN	NN					S		Nom	M
8001001	20	von	ADP	APPR								
8001001	21	Bethlehem-Juda	PROPN	NE					S		Nom	M
8001001	22	ziehen	VERB	VVFIN		Fin	Past	3	S	Ind		
8001001	23	hin	ADV	ADV								
8001001	24	um	ADP	APPR								
8001001	25	sich	PRON	PRF				3	S		Acc	
8001001	26	in	ADP	APPR								
8001001	27	der	DET	ART					S		Acc	M
8001001	28	Gefilde	NOUN	NN							Nom	M
8001001	29	Moabs	PROPN	NE					S		Nom	
8001001	30	aufhalten	VERB	VVIZU		Inf						
8001001	31	er	PRON	PPER				3	S		Nom	M
8001001	32	und	CCONJ	KON								
8001001	33	sein	AUX	VAINF		Inf						
8001001	34	Weib	NOUN	NN					S		Nom	N
8001001	35	und	CCONJ	KON								
8001001	36	sein	DET	PPOSAT					S		Nom	F
8001001	37	beide	PRON	PIAT					P		Nom	
8001001	38	Sohn	NOUN	NN					P		Nom	M
8001002	1	und	CCONJ	KON								
8001002	2	der	DET	ART					S		Nom	M
8001002	3	Name	NOUN	NN					S		Nom	M
8001002	4	der	DET	ART					S		Gen	M
8001002	5	Mann	NOUN	NN					S		Gen	M
8001002	6	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
8001002	7	Elimelech	NOUN	NN					S		Nom	M
8001002	8	und	CCONJ	KON								
8001002	9	der	DET	ART					S		Nom	M
8001002	10	Name	NOUN	NN					S		Nom	M
8001002	11	sein	DET	PPOSAT					S		Gen	M
8001002	12	Weibe	NOUN	NN					S		Gen	N
8001002	13	Noomi	PROPN	NE					S		Nom	F
8001002	14	und	CCONJ	KON								
8001002	15	der	DET	ART					S		Nom	F
8001002	16	Name	NOUN	NN					P		Nom	M
8001002	17	sein	DET	PPOSAT					S		Dat	F
8001002	18	beide	PRON	PIAT					P		Nom	
8001002	19	Sohn	NOUN	NN					P		Nom	M
8001002	20	Machlon	PROPN	NE					S		Nom	M
8001002	21	und	CCONJ	KON								
8001002	22	Kiljon	PROPN	NE					S		Nom	
8001002	23	Ephratiter	NOUN	NN					S		Nom	M
8001002	24	von	ADP	APPR								
8001002	25	Bethlehem-Juda	PROPN	NE					S		Nom	M
8001002	26	und	CCONJ	KON								
8001002	27	sie	PRON	PPER				3	P		Nom	
8001002	28	kommen	VERB	VVFIN		Fin	Past	3	P	Ind		
8001002	29	in	ADP	APPR								
8001002	30	der	DET	ART					S		Nom	F
8001002	31	Gefilde	NOUN	NN					P		Nom	N
8001002	32	Moabs	PROPN	NE					S		Nom	
8001002	33	und	CCONJ	KON								
8001002	34	bleiben	VERB	VVFIN		Fin	Past	3	P	Ind		
8001002	35	daselbst	ADV	PROAV								
8001003	1	und	CCONJ	KON								
8001003	2	Elimelech	NOUN	NN					S		Nom	M
8001003	3	der	DET	ART					S		Nom	M
8001003	4	Mann	NOUN	NN					S		Nom	M
8001003	5	Noomi	PROPN	NE					S		Gen	
8001003	6	sterben	VERB	VVFIN		Fin	Past	3	S	Ind		
8001003	7	und	CCONJ	KON								
8001003	8	sie	PRON	PPER				3	P		Nom	
8001003	9	bleiben	VERB	VVFIN		Fin	Past	3	S	Ind		
8001003	10	mit	ADP	APPR								
8001003	11	ihr	DET	PPOSAT					S		Acc	M
8001003	12	beide	PRON	PIAT					P		Nom	
8001003	13	Söhn	NOUN	NN					P		Dat	M
8001003	14	übrig	ADP	PTKVZ								
8001004	1	und	CCONJ	KON								
8001004	2	sie	PRON	PPER				3	P		Nom	
8001004	3	nehmen	VERB	VVFIN		Fin	Past	3	P	Ind		
8001004	4	sich	PRON	PRF				3	S		Acc	
8001004	5	Moabitische	NOUN	NN					S		Nom	F
8001004	6	Weiber	NOUN	NN					P		Nom	M
8001004	7	der	DET	ART					S		Nom	M
8001004	8	Name	NOUN	NN					S		Nom	M
8001004	9	der	DET	ART					S		Nom	M
8001004	10	ein	DET	ART					S		Acc	M
8001004	11	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
8001004	12	Orpa	PROPN	NE					S		Nom	
8001004	13	und	CCONJ	KON								
8001004	14	der	DET	ART					S		Nom	M
8001004	15	Name	NOUN	NN					S		Nom	M
8001004	16	der	DET	ART					S		Nom	M
8001004	17	anderer	PRON	PIS					P		Dat	
8001004	18	Ruth	PROPN	NE					S		Nom	F
8001004	19	und	CCONJ	KON								
8001004	20	sie	PRON	PPER				3	P		Nom	
8001004	21	wohnen	VERB	VVFIN		Fin	Past	3	P	Ind		
8001004	22	daselbst	ADV	PROAV								
8001004	23	bei	ADP	APPR								
8001004	24	zehn	NUM	CARD								
8001004	25	Jahr	NOUN	NN					P		Dat	N
8001005	1	da	SCONJ	KOUS								
8001005	2	sterben	VERB	VVFIN		Fin	Past	3	P	Ind		
8001005	3	auch	ADV	ADV								
8001005	4	der	DET	ART					S		Nom	F
