BibleBookId;ChapterId;VerseId;Elb1871Words;SrGntWord
1;1;1;Jesu|Jesus|Jesum;Ἰησοῦς
1;1;1;Abraham|Abrahams;Ἀβραάμ
1;1;1;Geschlechts|Geschlecht|Geschlechter;γένεσις
1;1;1;Buch;βίβλος
1;1;1;Christi|Christus|Christum;χριστός
1;1;1;Sohnes|Sohne|Sohn|Söhne|Söhnen;υἱός
1;1;1;Davids|David;Δαυίδ
1;1;2;zeugte|zeugten|gezeugt;γεννάω
1;1;2;aber;δέ
1;1;2;und;καί
1;1;2;der|die|das|dem|des|den;ὁ
1;1;2;Bruder|Bruders|Brüder;ἀδελφός
1;1;20;sprach|spricht|sprachen|sprechen|sprichst;λέγω
1;1;20;Joseph|Joseph;Ἰωσήφ
1;1;20;nicht;μή
1;1;20;fürchte|fürchten;φοβέω
1;1;20;nehmen;παραλαμβάνω
1;1;20;Maria|Marias;Μαριάμ
1;1;20;Weib|Frau;γυνή
1;1;20;denn|weil|da;γάρ
