id;text;verse_id;form_id
0100100101;בְּרֵאשִׁ֖ית;01001001;H7225-001
0100100103;אֱלֹהִ֑ים;01001001;H0430-001
0100100104;אֵ֥ת;01001001;H0853-001
0100100105;הַשָּׁמַ֖יִם;01001001;H8064-001
0100100106;וְאֵ֥ת;01001001;H0853-002
0100100107;הָאָֽרֶץ׃;01001001;H0776-001
0100100201;וְהָאָ֗רֶץ;01001002;H0776-002
0100100202;הָיְתָ֥ה;01001002;H1961-001
0100100203;תֹ֙הוּ֙;01001002;H8414-001
0100100204;וָבֹ֔הוּ;01001002;H0922-001
0100100205;וְחֹ֖שֶׁךְ;01001002;H2822-001
0100100207;פְּנֵ֣י;01001002;H6440-001
0100100208;תְה֑וֹם;01001002;H8415-001
0100100209;וְר֣וּחַ;01001002;H7307-001
0100100210;אֱלֹהִ֔ים;01001002;H0430-001
0100100213;פְּנֵ֥י;01001002;H6440-001
0100100214;הַמָּֽיִם׃;01001002;H4325-001
0100100301;וַיֹּ֥אמֶר;01001003;H0559-001
0100100302;אֱלֹהִ֖ים;01001003;H0430-001
0100100303;יְהִ֣י;01001003;H1961-002
0100100304;א֑וֹר;01001003;H0216-001
0100100305;וַֽיְהִי־;01001003;H1961-003
0100100306;אֽוֹר׃;01001003;H0216-001
0100100401;וַיַּ֧רְא;01001004;H7200-001
0100100402;אֱלֹהִ֛ים;01001004;H0430-001
0100100403;אֶת־;01001004;H0853-001
0100100404;הָא֖וֹר;01001004;H0216-002
0100100407;וַיַּבְדֵּ֣ל;01001004;H0914-001
0100100408;אֱלֹהִ֔ים;01001004;H0430-001
0100100409;בֵּ֥ין;01001004;H0996-001
0100100410;הָא֖וֹר;01001004;H0216-002
0100100411;וּבֵ֥ין;01001004;H0996-002
0100100412;הַחֹֽשֶׁךְ׃;01001004;H2822-002
0100100501;וַיִּקְרָ֨א;01001005;H7121-001
0100100502;אֱלֹהִ֤ים ׀;01001005;H0430-001
0100100503;לָאוֹר֙;01001005;H0216-003
0100100504;י֔וֹם;01001005;H3117-001
0100100505;וְלַחֹ֖שֶׁךְ;01001005;H2822-003
0100100506;קָ֣רָא;01001005;H7121-002
0100100507;לָ֑יְלָה;01001005;H3915-001
0100100508;וַֽיְהִי־;01001005;H1961-003
0100100509;עֶ֥רֶב;01001005;H6153-001
0100100510;וַֽיְהִי־;01001005;H1961-003
0100100511;בֹ֖קֶר;01001005;H1242-001
0100100512;י֥וֹם;01001005;H3117-001
0100100513;אֶחָֽד׃;01001005;H0259-001
0100100514;פ;01001005;H????-001
0100100601;וַיֹּ֣אמֶר;01001006;H0559-001
0100100602;אֱלֹהִ֔ים;01001006;H0430-001
0100100603;יְהִ֥י;01001006;H1961-002
0100100604;רָקִ֖יעַ;01001006;H7549-001
0100100605;בְּת֣וֹךְ;01001006;H8432-001
0100100606;הַמָּ֑יִם;01001006;H4325-001
0100100607;וִיהִ֣י;01001006;H1961-004
0100100608;מַבְדִּ֔יל;01001006;H0914-002
0100100609;בֵּ֥ין;01001006;H0996-001
0100100610;מַ֖יִם;01001006;H4325-002
0100100611;לָמָֽיִם׃;01001006;H4325-003
0100100702;אֱלֹהִים֮;01001007;H0430-001
0100100703;אֶת־;01001007;H0853-001
0100100704;הָרָקִיעַ֒;01001007;H7549-002
0100100705;וַיַּבְדֵּ֗ל;01001007;H0914-001
0100100706;בֵּ֤ין;01001007;H0996-001
0100100707;הַמַּ֙יִם֙;01001007;H4325-001
0100100709;מִתַּ֣חַת;01001007;H8478-001
0100100710;לָרָקִ֔יעַ;01001007;H7549-003
0100100711;וּבֵ֣ין;01001007;H0996-002
0100100712;הַמַּ֔יִם;01001007;H4325-001
0100100715;לָרָקִ֑יעַ;01001007;H7549-003
0100100716;וַֽיְהִי־;01001007;H1961-003
0100100801;וַיִּקְרָ֧א;01001008;H7121-001
0100100802;אֱלֹהִ֛ים;01001008;H0430-001
0100100803;לָֽרָקִ֖יעַ;01001008;H7549-003
0100100804;שָׁמָ֑יִם;01001008;H8064-002
0100100805;וַֽיְהִי־;01001008;H1961-003
0100100806;עֶ֥רֶב;01001008;H6153-001
0100100807;וַֽיְהִי־;01001008;H1961-003
0100100808;בֹ֖קֶר;01001008;H1242-001
0100100809;י֥וֹם;01001008;H3117-001
0100100810;שֵׁנִֽי׃;01001008;H8145-001
0100100811;פ;01001008;H????-001
0100100901;וַיֹּ֣אמֶר;01001009;H0559-001
0100100902;אֱלֹהִ֗ים;01001009;H0430-001
0100100904;הַמַּ֜יִם;01001009;H4325-001
0100100905;מִתַּ֤חַת;01001009;H8478-001
0100100906;הַשָּׁמַ֙יִם֙;01001009;H8064-001
0100100907;אֶל־;01001009;H0413-001
0100100908;מָק֣וֹם;01001009;H4725-001
0100100909;אֶחָ֔ד;01001009;H0259-001
0100100910;וְתֵרָאֶ֖ה;01001009;H7200-002
0100100206;עַל־;01001002;H5921a-006
0100100211;מְרַחֶ֖פֶת;01001002;H7363b-001
0100100212;עַל־;01001002;H5921a-006
0100100405;כִּי־;01001004;H3588a-005
0100100406;ט֑וֹב;01001004;H2896a-003
0100100701;וַיַּ֣עַשׂ;01001007;H6213a-010
0100100708;אֲשֶׁר֙;01001007;H0834a-003
0100100713;אֲשֶׁ֖ר;01001007;H0834a-003
0100100714;מֵעַ֣ל;01001007;H5921a-010
0100100717;כֵֽן׃;01001007;H3651c-006
0100100903;יִקָּו֨וּ;01001009;H6960b-001
0100100911;הַיַּבָּשָׁ֑ה;01001009;H3004-001
0100100912;וַֽיְהִי־;01001009;H1961-003
0100101001;וַיִּקְרָ֨א;01001010;H7121-001
0100101002;אֱלֹהִ֤ים ׀;01001010;H0430-001
0100101003;לַיַּבָּשָׁה֙;01001010;H3004-002
0100101004;אֶ֔רֶץ;01001010;H0776-003
0100101006;הַמַּ֖יִם;01001010;H4325-001
0100101007;קָרָ֣א;01001010;H7121-002
0100101008;יַמִּ֑ים;01001010;H3220-001
0100101009;וַיַּ֥רְא;01001010;H7200-001
0100101010;אֱלֹהִ֖ים;01001010;H0430-001
0100101101;וַיֹּ֣אמֶר;01001011;H0559-001
0100101102;אֱלֹהִ֗ים;01001011;H0430-001
0100101103;תַּֽדְשֵׁ֤א;01001011;H1876-001
0100101104;הָאָ֙רֶץ֙;01001011;H0776-001
0100101105;דֶּ֔שֶׁא;01001011;H1877-001
0100101106;עֵ֚שֶׂב;01001011;H6212-001
0100101107;מַזְרִ֣יעַ;01001011;H2232-001
0100101108;זֶ֔רַע;01001011;H2233-001
0100101109;עֵ֣ץ;01001011;H6086-001
0100101110;פְּרִ֞י;01001011;H6529-001
0100101112;פְּרִי֙;01001011;H6529-001
0100101113;לְמִינ֔וֹ;01001011;H4327-001
0100101115;זַרְעוֹ־;01001011;H2233-002
0100101116;ב֖וֹ;01001011;H????-001
0100101118;הָאָ֑רֶץ;01001011;H0776-001
0100101119;וַֽיְהִי־;01001011;H1961-003
0100101201;וַתּוֹצֵ֨א;01001012;H3318-001
0100101202;הָאָ֜רֶץ;01001012;H0776-001
0100101203;דֶּ֠שֶׁא;01001012;H1877-001
0100101204;עֵ֣שֶׂב;01001012;H6212-001
0100101205;מַזְרִ֤יעַ;01001012;H2232-001
0100101206;זֶ֙רַע֙;01001012;H2233-001
0100101207;לְמִינֵ֔הוּ;01001012;H4327-001
0100101208;וְעֵ֧ץ;01001012;H6086-002
0100101210;פְּרִ֛י;01001012;H6529-001
0100101212;זַרְעוֹ־;01001012;H2233-002
0100101213;ב֖וֹ;01001012;H????-001
0100101214;לְמִינֵ֑הוּ;01001012;H4327-001
0100101215;וַיַּ֥רְא;01001012;H7200-001
0100101216;אֱלֹהִ֖ים;01001012;H0430-001
0100101301;וַֽיְהִי־;01001013;H1961-003
0100101302;עֶ֥רֶב;01001013;H6153-001
0100101303;וַֽיְהִי־;01001013;H1961-003
0100101304;בֹ֖קֶר;01001013;H1242-001
0100101305;י֥וֹם;01001013;H3117-001
0100101306;שְׁלִישִֽׁי׃;01001013;H7992-001
0100101307;פ;01001013;H????-001
0100101401;וַיֹּ֣אמֶר;01001014;H0559-001
0100101402;אֱלֹהִ֗ים;01001014;H0430-001
0100101403;יְהִ֤י;01001014;H1961-002
0100101404;מְאֹרֹת֙;01001014;H3974-001
0100101405;בִּרְקִ֣יעַ;01001014;H7549-004
0100101406;הַשָּׁמַ֔יִם;01001014;H8064-001
0100101407;לְהַבְדִּ֕יל;01001014;H0914-003
0100101408;בֵּ֥ין;01001014;H0996-001
0100101409;הַיּ֖וֹם;01001014;H3117-002
0100101410;וּבֵ֣ין;01001014;H0996-002
0100101411;הַלָּ֑יְלָה;01001014;H3915-002
0100101412;וְהָי֤וּ;01001014;H1961-005
0100101413;לְאֹתֹת֙;01001014;H0226-001
0100101414;וּלְמ֣וֹעֲדִ֔ים;01001014;H4150-001
0100101415;וּלְיָמִ֖ים;01001014;H3117-003
0100101416;וְשָׁנִֽים׃;01001014;H8141-001
0100101501;וְהָי֤וּ;01001015;H1961-005
0100101502;לִמְאוֹרֹת֙;01001015;H3974-002
0100101503;בִּרְקִ֣יעַ;01001015;H7549-004
0100101504;הַשָּׁמַ֔יִם;01001015;H8064-001
0100101505;לְהָאִ֖יר;01001015;H0215-001
0100101507;הָאָ֑רֶץ;01001015;H0776-001
0100101508;וַֽיְהִי־;01001015;H1961-003
0100101602;אֱלֹהִ֔ים;01001016;H0430-001
0100101603;אֶת־;01001016;H0853-001
0100101604;שְׁנֵ֥י;01001016;H8147-001
0100101605;הַמְּאֹרֹ֖ת;01001016;H3974-003
0100101607;אֶת־;01001016;H0853-001
0100101608;הַמָּא֤וֹר;01001016;H3974-004
0100101610;לְמֶמְשֶׁ֣לֶת;01001016;H4475-001
0100101611;הַיּ֔וֹם;01001016;H3117-002
0100101612;וְאֶת־;01001016;H0853-002
0100101613;הַמָּא֤וֹר;01001016;H3974-004
0100101615;לְמֶמְשֶׁ֣לֶת;01001016;H4475-001
0100101616;הַלַּ֔יְלָה;01001016;H3915-002
0100101617;וְאֵ֖ת;01001016;H0853-002
0100101005;וּלְמִקְוֵ֥ה;01001010;H4723c-001
0100101011;כִּי־;01001010;H3588a-005
0100101012;טֽוֹב׃;01001010;H2896a-003
0100101111;עֹ֤שֶׂה;01001011;H6213a-137
0100101114;אֲשֶׁ֥ר;01001011;H0834a-003
0100101117;עַל־;01001011;H5921a-006
0100101120;כֵֽן׃;01001011;H3651c-006
0100101209;עֹֽשֶׂה־;01001012;H6213a-137
0100101211;אֲשֶׁ֥ר;01001012;H0834a-003
0100101217;כִּי־;01001012;H3588a-005
0100101506;עַל־;01001015;H5921a-006
0100101509;כֵֽן׃;01001015;H3651c-006
0100101601;וַיַּ֣עַשׂ;01001016;H6213a-010
0100101606;הַגְּדֹלִ֑ים;01001016;H1419a-019
0100101609;הַגָּדֹל֙;01001016;H1419a-015
0100101614;הַקָּטֹן֙;01001016;H6996b-001
0100101618;הַכּוֹכָבִֽים׃;01001016;H3556-001
0100101701;וַיִּתֵּ֥ן;01001017;H5414-001
0100101702;אֹתָ֛ם;01001017;H0853-003
0100101703;אֱלֹהִ֖ים;01001017;H0430-001
0100101704;בִּרְקִ֣יעַ;01001017;H7549-004
0100101705;הַשָּׁמָ֑יִם;01001017;H8064-001
0100101706;לְהָאִ֖יר;01001017;H0215-001
0100101708;הָאָֽרֶץ׃;01001017;H0776-001
0100101801;וְלִמְשֹׁל֙;01001018;H4910-001
0100101802;בַּיּ֣וֹם;01001018;H3117-004
0100101803;וּבַלַּ֔יְלָה;01001018;H3915-003
0100101804;וּֽלֲהַבְדִּ֔יל;01001018;H0914-004
0100101805;בֵּ֥ין;01001018;H0996-001
0100101806;הָא֖וֹר;01001018;H0216-002
0100101807;וּבֵ֣ין;01001018;H0996-002
0100101808;הַחֹ֑שֶׁךְ;01001018;H2822-002
0100101809;וַיַּ֥רְא;01001018;H7200-001
0100101810;אֱלֹהִ֖ים;01001018;H0430-001
